peak_i,trough_i,end_i,peak_date,trough_date,end_date,depth,fall_days,rec_days,episode_days,recovered
207,382,666,2018-01-24,2018-10-18,2019-12-16,0.28510877078699615,175,284.0,459,True
1282,1672,1829,2022-07-04,2024-02-05,2024-10-08,0.25316720730142905,390,157.0,547,True
1053,1237,1282,2021-07-21,2022-04-26,2022-07-04,0.16014178899056797,184,45.0,229,True
2213,2261,2283,2026-05-11,2026-07-17,2026-08-18,0.10047120664231923,48,,70,False
954,973,1013,2021-02-25,2021-03-24,2021-05-25,0.08611698409134683,19,40.0,59,True
8,30,85,2017-04-07,2017-05-10,2017-07-28,0.06580354293009882,22,55.0,77,True
685,694,700,2020-01-13,2020-02-03,2020-02-11,0.05680059932451542,9,6.0,15,True
936,940,948,2021-01-25,2021-01-29,2021-02-10,0.05399173968283799,4,8.0,12,True
1018,1028,1046,2021-06-01,2021-06-16,2021-07-12,0.05209664361447908,10,18.0,28,True
948,953,954,2021-02-10,2021-02-24,2021-02-25,0.05015908101590172,5,1.0,6,True
2167,2181,2211,2026-03-02,2026-03-20,2026-05-07,0.04901167225769032,14,30.0,44,True
156,174,195,2017-11-13,2017-12-07,2018-01-08,0.048163775390942964,18,21.0,39,True
718,729,731,2020-03-06,2020-03-23,2020-03-25,0.044432967029588766,11,2.0,13,True
927,932,935,2021-01-12,2021-01-19,2021-01-22,0.03165919896959479,5,3.0,8,True
766,769,775,2020-05-19,2020-05-22,2020-06-01,0.030683170013531713,3,6.0,9,True
708,713,717,2020-02-21,2020-02-28,2020-03-05,0.027530503926829764,5,4.0,9,True
1891,2038,2067,2025-01-03,2025-08-13,2025-09-23,0.026465332652610196,147,29.0,176,True
924,926,927,2021-01-07,2021-01-11,2021-01-12,0.020979616270735857,2,1.0,3,True
