symbol,config,module,n,cum_R,pnl,wins,hold_days,win_rate,avg_hold_d
603993.SS,fund_only,B_STOCK,1,37.8,631251.0,1,175,1.0,175.0
518850.SS,fund_only,A_ETF,12,61.55,614851.0,4,269,0.333,22.4
510300.SS,fund_only,A_ETF,5,40.55,572406.0,3,178,0.6,35.6
600030.SS,fund_only,B_STOCK,7,25.53,400412.0,4,309,0.571,44.1
300003.SZ,fund_only,B_STOCK,2,23.73,399591.0,1,127,0.5,63.5
159915.SZ,fund_only,A_ETF,5,36.52,357574.0,2,148,0.4,29.6
512980.SS,fund_only,A_ETF,2,3.65,310979.0,1,7,0.5,3.5
300073.SZ,fund_only,B_STOCK,1,16.76,272149.0,1,80,1.0,80.0
600893.SS,fund_only,B_STOCK,1,4.81,196403.0,1,75,1.0,75.0
512400.SS,fund_only,A_ETF,4,8.33,138537.0,1,117,0.25,29.2
002371.SZ,fund_only,B_STOCK,1,13.46,135845.0,1,126,1.0,126.0
515300.SS,fund_only,A_ETF,6,16.04,123137.0,2,247,0.333,41.2
600196.SS,fund_only,B_STOCK,6,3.01,88205.0,1,128,0.167,21.3
512010.SS,fund_only,A_ETF,1,7.45,74231.0,1,72,1.0,72.0
002049.SZ,fund_only,B_STOCK,3,3.64,62576.0,1,55,0.333,18.3
512760.SS,fund_only,A_ETF,1,3.54,60821.0,1,56,1.0,56.0
601225.SS,fund_only,B_STOCK,1,2.97,49301.0,1,44,1.0,44.0
600460.SS,fund_only,B_STOCK,2,0.77,44939.0,1,86,0.5,43.0
512480.SS,fund_only,A_ETF,1,2.42,41585.0,1,56,1.0,56.0
159928.SZ,fund_only,A_ETF,4,2.56,24451.0,1,165,0.25,41.2
600850.SS,fund_only,B_STOCK,2,1.91,23918.0,1,53,0.5,26.5
603160.SS,fund_only,B_STOCK,2,1.71,17562.0,1,83,0.5,41.5
002594.SZ,fund_only,B_STOCK,6,1.83,17483.0,2,96,0.333,16.0
300059.SZ,fund_only,B_STOCK,2,1.9,16869.0,2,110,1.0,55.0
002747.SZ,fund_only,B_STOCK,1,1.7,16300.0,1,85,1.0,85.0
000725.SZ,fund_only,B_STOCK,2,-0.03,9452.0,1,33,0.5,16.5
601688.SS,fund_only,B_STOCK,1,0.9,8796.0,1,48,1.0,48.0
159901.SZ,fund_only,A_ETF,5,4.49,5833.0,1,106,0.2,21.2
510050.SS,fund_only,A_ETF,8,1.81,5699.0,2,175,0.25,21.9
000661.SZ,fund_only,B_STOCK,1,0.25,2447.0,1,35,1.0,35.0
002281.SZ,fund_only,B_STOCK,2,0.56,220.0,1,99,0.5,49.5
600660.SS,fund_only,B_STOCK,1,0.01,54.0,1,54,1.0,54.0
512000.SS,fund_only,A_ETF,1,0.0,0.0,0,0,0.0,0.0
600745.SS,fund_only,B_STOCK,1,-0.09,-906.0,0,35,0.0,35.0
002304.SZ,fund_only,B_STOCK,1,-0.2,-1342.0,0,3,0.0,3.0
600809.SS,fund_only,B_STOCK,1,-0.11,-1964.0,0,35,0.0,35.0
300136.SZ,fund_only,B_STOCK,1,-0.12,-2341.0,0,58,0.0,58.0
002008.SZ,fund_only,B_STOCK,1,-0.28,-2914.0,0,1,0.0,1.0
000858.SZ,fund_only,B_STOCK,1,-0.1,-3345.0,0,9,0.0,9.0
300274.SZ,fund_only,B_STOCK,2,-0.43,-4450.0,1,2,0.5,1.0
000596.SZ,fund_only,B_STOCK,1,-0.26,-4764.0,0,1,0.0,1.0
300383.SZ,fund_only,B_STOCK,1,-0.38,-5214.0,0,3,0.0,3.0
600760.SS,fund_only,B_STOCK,1,-0.57,-5518.0,0,10,0.0,10.0
601899.SS,fund_only,B_STOCK,1,-0.28,-6330.0,0,14,0.0,14.0
601318.SS,fund_only,B_STOCK,2,-1.17,-11828.0,0,46,0.0,23.0
