symbol,cagr5,dd5,cagr10,dd10
000568.SZ,-0.8,-12.2,-1.6,-23.0
000596.SZ,-0.3,-7.6,-0.6,-14.4
000625.SZ,0.2,-19.1,0.1,-34.6
000661.SZ,0.7,-15.9,1.3,-28.2
000725.SZ,-0.3,-10.6,-0.6,-19.4
000768.SZ,-1.2,-22.7,-2.6,-40.6
000858.SZ,-0.5,-9.3,-1.0,-17.7
002008.SZ,-0.2,-8.8,-0.5,-16.6
002049.SZ,1.6,-17.1,3.0,-25.9
002050.SZ,0.8,-14.0,1.3,-23.1
002179.SZ,0.2,-14.2,0.4,-24.9
002230.SZ,0.0,-19.1,-0.1,-34.3
002241.SZ,-0.2,-12.4,-0.5,-23.1
002281.SZ,0.3,-14.6,0.5,-25.2
002304.SZ,-0.3,-13.0,-0.6,-23.8
002326.SZ,-0.3,-8.9,-0.6,-16.5
002371.SZ,5.3,-22.4,8.9,-29.1
002384.SZ,2.5,-12.4,4.5,-19.2
002410.SZ,-0.3,-8.4,-0.6,-15.9
002415.SZ,-0.8,-18.1,-1.8,-33.3
002460.SZ,-1.3,-17.2,-2.6,-31.7
002466.SZ,-0.1,-9.1,-0.2,-16.7
002475.SZ,-1.3,-18.8,-2.6,-34.0
002555.SZ,-0.5,-20.4,-1.2,-35.9
002594.SZ,0.5,-20.7,0.3,-37.8
002747.SZ,0.8,-7.9,1.6,-13.7
002812.SZ,-2.1,-22.8,-4.3,-40.8
002821.SZ,-0.5,-10.4,-1.0,-19.5
159611.SZ,-8.1,-35.9,-16.3,-60.7
159825.SZ,-5.3,-34.1,-11.2,-58.4
159901.SZ,1.6,-31.8,2.2,-45.8
159915.SZ,10.9,-26.0,16.4,-31.6
159928.SZ,0.7,-33.6,0.4,-55.9
159995.SZ,2.2,-38.4,2.2,-57.9
300003.SZ,9.5,-18.6,15.3,-28.7
300014.SZ,-0.9,-13.9,-1.8,-25.7
300059.SZ,0.9,-14.2,1.8,-24.2
300073.SZ,5.8,-15.2,9.4,-20.9
300122.SZ,-0.2,-5.9,-0.4,-11.4
300136.SZ,-0.1,-8.1,-0.1,-15.1
300223.SZ,2.9,-17.3,5.3,-25.2
300274.SZ,-0.4,-6.7,-0.9,-13.4
300347.SZ,-0.0,-11.0,-0.1,-20.5
300383.SZ,-0.2,-7.2,-0.4,-13.8
300394.SZ,-0.5,-10.7,-0.9,-20.0
300474.SZ,-0.2,-9.8,-0.5,-18.2
300750.SZ,3.2,-7.2,5.8,-11.5
510050.SS,0.2,-33.1,-0.8,-57.0
510300.SS,14.7,-42.0,24.2,-57.3
510500.SS,-8.0,-61.4,-19.1,-90.2
512000.SS,0.0,0.0,0.0,0.0
512010.SS,3.2,-14.9,5.7,-21.6
512100.SS,-1.0,-24.7,-2.2,-42.9
512200.SS,-0.7,-11.4,-1.4,-21.5
512400.SS,2.4,-27.6,2.0,-50.9
512480.SS,1.6,-15.7,3.0,-25.1
512580.SS,-2.1,-31.7,-4.6,-54.1
512660.SS,-1.0,-14.0,-2.2,-26.8
512760.SS,2.3,-18.0,4.3,-27.6
512800.SS,-7.4,-62.4,-14.8,-85.4
512890.SS,-11.0,-64.3,-25.0,-91.5
512980.SS,0.5,-30.6,-2.4,-60.0
515050.SS,13.3,-28.4,18.2,-38.3
515130.SS,0.4,-33.8,-0.9,-54.8
515210.SS,-0.6,-27.0,-1.2,-43.5
515220.SS,-4.9,-31.6,-10.0,-54.4
515300.SS,8.5,-27.2,13.3,-45.3
518850.SS,36.2,-44.5,53.5,-61.4
562500.SS,-1.3,-16.9,-2.7,-30.3
600030.SS,9.6,-25.5,16.1,-41.9
600196.SS,0.5,-31.7,-0.7,-56.4
600276.SS,0.9,-10.2,1.6,-17.4
600362.SS,-0.9,-13.2,-1.8,-25.1
600438.SS,-0.1,-8.1,-0.1,-15.1
600460.SS,0.5,-30.4,0.9,-44.5
600519.SS,-2.2,-23.8,-4.3,-41.9
600600.SS,-1.0,-12.3,-2.1,-23.2
600660.SS,0.4,-16.9,0.7,-28.9
600703.SS,0.5,-9.7,0.9,-17.9
600745.SS,0.7,-13.9,1.3,-25.0
600760.SS,-0.3,-7.2,-0.6,-13.7
600809.SS,-0.1,-7.4,-0.2,-13.9
600850.SS,0.6,-14.5,1.1,-25.9
600893.SS,2.4,-28.5,4.5,-40.0
601012.SS,-0.1,-4.9,-0.2,-9.4
601127.SS,0.5,-21.0,0.8,-36.6
601225.SS,3.0,-24.0,5.8,-35.9
601238.SS,-1.8,-25.0,-3.6,-43.7
601318.SS,-1.9,-17.9,-4.0,-33.8
601688.SS,0.4,-9.1,0.9,-16.2
601899.SS,0.9,-19.6,1.6,-33.6
603160.SS,1.2,-12.9,2.3,-22.5
603259.SS,-0.6,-9.5,-1.2,-18.0
603799.SS,0.2,-10.7,0.3,-18.8
603986.SS,0.2,-9.0,0.3,-16.4
603993.SS,10.9,-14.7,16.4,-17.5
