symbol,BH_final,BH_cagr,BH_max_dd,W_20_80_final,W_20_80_cagr,W_20_80_max_dd,W_15_85_final,W_15_85_cagr,W_15_85_max_dd,W_20_80z_final,W_20_80z_cagr,W_20_80z_max_dd,STRAT_final,STRAT_cagr,STRAT_max_dd,STRAT_n,STRAT_cum_R
518850.SS,2480897,0.1581,-0.3032,1877948,0.1071,-0.1732,1718735,0.0914,-0.2132,1924410,0.1114,-0.1732,1760882,0.0953,-0.1334,13,76.8
510300.SS,1722416,0.0565,-0.4475,1473424,0.0399,-0.3003,1543296,0.0447,-0.3125,1458589,0.0388,-0.3004,1256216,0.0231,-0.1034,5,40.5
512400.SS,1967703,0.0759,-0.5414,1807504,0.0667,-0.4184,1797829,0.0661,-0.4132,1897894,0.0725,-0.4184,1047261,0.0052,-0.0367,4,8.3
515050.SS,3010506,0.1776,-0.5202,2002905,0.1084,-0.3347,2098531,0.116,-0.355,1879475,0.0982,-0.3347,1068712,0.0097,-0.046,4,33.3
512010.SS,1185166,0.0181,-0.6551,1330712,0.0296,-0.44,1282167,0.0258,-0.4655,1347722,0.0309,-0.44,1044700,0.0044,-0.0268,1,7.4
603993.SS,6357317,0.2045,-0.7172,3883045,0.1461,-0.5622,4333641,0.1587,-0.5432,4050356,0.1509,-0.5622,1223404,0.0204,-0.0443,2,37.3
600030.SS,2271021,0.0848,-0.4549,2138348,0.0786,-0.3031,2201282,0.0817,-0.3166,2195916,0.0815,-0.3031,1156662,0.0147,-0.0581,7,25.5
300003.SZ,726335,-0.0337,-0.8039,1366912,0.0303,-0.5382,1231759,0.0196,-0.5683,1413462,0.0337,-0.5291,1162800,0.0152,-0.0496,4,26.8
159915.SZ,1658000,0.0512,-0.5658,1673457,0.0525,-0.3844,1635329,0.05,-0.4021,1649048,0.0509,-0.3844,1219106,0.02,-0.0862,5,36.5
512980.SS,805791,-0.0247,-0.5306,1076821,0.0087,-0.3553,1078362,0.0088,-0.3557,1052260,0.006,-0.3553,1019924,0.0023,-0.0373,2,3.7
300073.SZ,1395309,0.0337,-0.7599,2443552,0.0933,-0.6179,2222477,0.083,-0.5721,2795712,0.1082,-0.6179,1036674,0.0036,-0.0159,3,15.9
002371.SZ,26503987,0.3821,-0.5388,16140709,0.3174,-0.4468,14757016,0.3056,-0.5034,17869141,0.3308,-0.4469,1080766,0.0078,-0.0508,1,13.5
