,0
2020-01-03,1000000.0
2020-01-13,1000000.0
2020-01-14,1000000.0
2020-01-17,995950.0
2020-01-21,995950.0
2020-01-23,985394.34
2020-02-03,963864.29
2020-02-04,954878.41
2020-02-05,949087.39
2020-02-11,949087.39
2020-02-12,948808.54
2020-02-17,947403.24
2020-02-18,947403.24
2020-02-21,947403.24
2020-02-24,946519.1
2020-03-03,946519.1
2020-03-16,942952.34
2020-03-20,946580.71
2020-03-24,946843.65
2020-03-31,951816.91
2020-06-01,951816.91
2020-06-02,951816.91
2020-06-09,951816.91
2020-06-22,951816.91
2020-07-02,949675.48
2020-07-03,951079.25
2020-07-22,951079.25
2020-07-23,951079.25
2020-07-27,934023.62
2020-08-12,1041644.52
2020-08-13,1063654.05
2020-08-17,1063654.05
2020-08-24,1063654.05
2020-08-26,1063654.05
2020-08-27,1061901.53
2020-08-28,1060076.8
2020-09-07,1079810.71
2020-09-16,1100024.33
2020-10-15,1100024.33
2020-10-22,1097560.42
2020-10-30,1097560.42
2020-11-03,1093901.65
2020-11-04,1093901.65
2020-11-05,1093901.65
2020-11-12,1091288.91
2020-11-16,1086372.74
2020-11-18,1086372.74
2020-11-19,1086372.74
2020-11-20,1088546.06
2020-11-30,1088546.06
2020-12-03,1088546.06
2020-12-04,1076302.87
2020-12-09,1076302.87
2020-12-10,1065983.28
2020-12-15,1065983.28
2020-12-17,1065983.28
2020-12-21,1065983.28
2020-12-23,1091693.97
2020-12-25,1091693.97
2020-12-29,1084680.38
2020-12-31,1084680.38
2021-01-25,1253841.4
2021-01-27,1243894.26
2021-02-02,1089986.75
2021-02-24,1096576.86
2021-02-25,1253841.41
2021-03-05,1243894.26
2021-03-10,1235667.95
2021-03-31,1235667.95
2021-04-06,1229027.07
2021-04-08,1229027.07
2021-04-12,1227207.74
2021-04-20,1227207.74
2021-04-21,1224145.32
2021-04-29,1224145.32
2021-05-13,1224145.32
2021-05-18,1224145.32
2021-05-25,1224145.32
2021-06-09,1222924.15
2021-06-15,1226578.85
2021-06-16,1228092.71
2021-06-21,1228092.71
2021-06-24,1228092.71
2021-06-28,1232707.76
2021-06-29,1231596.18
2021-07-05,1227293.33
2021-07-12,1227293.33
2021-07-13,1227293.33
2021-07-19,1227293.33
2021-07-22,1223455.57
2021-07-27,1220241.54
2021-07-29,1221199.62
2021-08-03,1221199.62
2021-08-09,1221199.62
2021-08-17,1221199.62
2021-08-18,1214165.61
2021-08-19,1215305.93
2021-08-25,1215305.93
2021-09-01,1215305.93
2021-09-02,1215305.93
2021-09-16,1212003.88
2021-09-29,1212003.88
2021-09-30,1210695.17
2021-10-08,1209261.62
2021-10-11,1209261.62
2021-10-19,1206285.41
2021-11-02,1205362.84
2021-11-30,1216102.32
2021-12-02,1230555.32
2021-12-14,1230555.32
2021-12-17,1230555.32
2021-12-20,1222083.09
2021-12-21,1200498.17
2021-12-24,1200498.17
2021-12-29,1200498.17
2021-12-30,1197610.63
2021-12-31,1197610.63
2022-01-07,1190312.44
2022-01-17,1182536.9
2022-03-02,1182536.9
2022-03-03,1183731.63
2022-03-04,1183731.63
2022-03-08,1176636.41
2022-03-14,1176636.41
2022-03-18,1176636.41
2022-03-21,1174091.33
2022-03-24,1171333.95
2022-03-30,1171333.95
2022-03-31,1170794.97
2022-04-01,1170794.97
2022-04-12,1167327.62
2022-04-15,1167327.62
2022-04-25,1164949.55
2022-04-26,1164508.98
2022-05-05,1164508.98
2022-05-06,1164508.98
2022-05-09,1157331.99
2022-05-12,1157331.99
2022-05-13,1157331.99
2022-05-17,1154670.48
2022-05-23,1154670.48
2022-05-25,1152142.16
2022-05-27,1152142.16
2022-06-01,1152142.16
2022-06-02,1151368.7
2022-06-07,1151368.7
2022-06-10,1147516.38
2022-06-14,1141592.48
2022-06-24,1141592.48
2022-07-07,1143295.5
2022-07-18,1158180.98
2022-07-25,1170155.05
2022-07-26,1188384.85
2022-07-27,1190295.18
2022-07-29,1200521.01
2022-08-08,1222750.93
2022-08-15,1222750.93
2022-08-16,1220674.27
2022-09-07,1220674.27
2022-09-19,1213820.38
2022-10-20,1213820.38
2022-10-25,1210341.99
2022-11-03,1210341.99
2022-11-04,1210341.99
2022-11-07,1210341.99
2022-11-08,1210341.99
2022-11-09,1210341.99
2022-11-10,1207509.06
2022-11-11,1208281.37
2022-12-16,1214754.62
2022-12-19,1219811.32
2022-12-20,1220746.99
2022-12-26,1222978.28
2022-12-27,1222978.28
2023-01-03,1216753.84
2023-01-06,1216753.84
2023-02-03,1216753.84
2023-02-07,1212904.58
2023-03-07,1218061.44
2023-03-14,1218061.44
2023-03-16,1218061.44
2023-03-31,1216160.26
2023-04-04,1216160.26
2023-04-11,1216160.26
2023-04-21,1212866.9
2023-04-27,1212866.9
2023-04-28,1212866.9
2023-05-04,1220346.77
2023-05-05,1221698.97
2023-05-18,1221698.97
2023-05-19,1221698.97
2023-05-22,1227166.21
2023-05-24,1231705.57
2023-06-02,1227451.82
2023-06-14,1227451.82
2023-06-28,1227451.82
2023-07-04,1227451.82
2023-07-06,1224866.49
2023-07-10,1223397.76
2023-07-14,1223397.76
2023-07-20,1223397.76
2023-07-24,1223397.76
2023-07-25,1240591.95
2023-07-26,1240591.95
2023-07-27,1240591.95
2023-07-28,1239295.61
2023-08-01,1239295.61
2023-08-02,1230984.57
2023-08-07,1230984.57
2023-08-08,1233527.26
2023-08-11,1229683.76
2023-08-23,1224041.09
2023-08-24,1224041.09
2023-08-25,1224041.09
2023-08-28,1226754.48
2023-08-31,1236807.04
2023-09-05,1236807.04
2023-09-08,1234611.2
2023-09-20,1230162.31
2023-10-09,1226051.2
2023-10-18,1226051.2
2023-10-19,1221229.31
2023-10-30,1221229.31
2023-11-01,1218452.68
2023-11-03,1216375.45
2023-11-16,1216375.45
2023-11-21,1204775.18
2023-11-23,1202361.45
2023-12-06,1199289.52
2023-12-11,1199289.52
2023-12-12,1199289.52
2023-12-13,1199021.51
2023-12-22,1199021.51
2023-12-26,1199021.51
2023-12-27,1195249.85
2023-12-29,1189422.33
2024-01-03,1187103.93
2024-01-04,1172310.16
2024-01-05,1180133.89
2024-01-09,1172647.07
2024-01-17,1172310.16
2024-01-23,1164001.15
2024-01-24,1162619.19
2024-01-26,1162619.19
2024-01-30,1157384.44
2024-02-02,1155127.23
2024-02-05,1155127.23
2024-02-06,1155127.23
2024-02-08,1155127.23
2024-02-21,1155127.23
2024-02-28,1155127.23
2024-03-05,1155127.23
2024-03-06,1155127.23
2024-03-07,1155127.23
2024-03-08,1153743.75
2024-03-12,1153743.75
2024-03-13,1153743.75
2024-03-15,1149341.97
2024-03-19,1149745.9
2024-03-25,1146313.25
2024-03-26,1146121.09
2024-03-28,1146121.09
2024-04-19,1148975.01
2024-04-26,1148975.01
2024-04-30,1148975.01
2024-05-10,1500084.21
2024-05-13,1500084.21
2024-05-14,1499574.7
2024-05-15,1488329.85
2024-05-31,1516820.09
2024-06-12,1572789.27
2024-06-13,1572789.27
2024-06-18,1553352.74
2024-07-03,1553352.74
2024-07-05,1553352.74
2024-07-10,1553352.74
2024-07-18,1536844.65
2024-07-19,1536844.65
2024-07-22,1536844.65
2024-07-23,1536844.65
2024-07-24,1531963.08
2024-07-30,1519264.55
2024-07-31,1502219.53
2024-08-01,1502219.53
2024-08-06,1493054.59
2024-08-07,1493054.59
2024-08-09,1489624.95
2024-08-15,1488921.32
2024-08-23,1484290.47
2024-08-29,1483796.2
2024-09-09,1483796.2
2024-09-20,1483796.2
2024-09-25,1483796.2
2024-09-26,1483796.2
2024-10-09,1483796.2
2024-11-14,1543220.67
2024-11-19,1562337.46
2024-11-25,1600056.46
2024-11-29,1600056.46
2024-12-03,1597466.22
2024-12-04,1597466.22
2024-12-06,1596760.47
2024-12-16,1718353.73
