,S0,S2_v1,S3
2021-06-18,1000000.0,1000000.0,1000000.0
2021-06-21,997632.5191524889,999700.0,1000000.0
2021-06-22,1003858.9153880376,1003444.703254564,1000000.0
2021-06-23,1008803.5794428973,1006418.542194213,1000000.0
2021-06-24,1010485.1179918746,1007429.859598184,1000000.0
2021-06-25,1026947.7331566869,1017330.8691475505,1000000.0
2021-06-28,1029258.3787851767,1018614.7803953332,1000000.0
2021-06-29,1017260.2680662503,1013864.6720994201,1000000.0
2021-06-30,1023825.7157807886,1016463.9636367133,1000000.0
2021-07-01,1024927.14312872,1016900.0238886413,1000000.0
2021-07-02,995815.7519789435,1005374.6876214913,1000000.0
2021-07-05,996730.9949887015,1005632.6207473075,1000000.0
2021-07-06,996203.7993363999,1005313.4452451523,1000000.0
2021-07-07,1007451.2931972162,1012122.9181331408,1000000.0
2021-07-08,997215.0742679526,1005925.6926767959,1000000.0
2021-07-09,993526.664536979,1003692.6506877395,1000000.0
2021-07-12,1005926.5414593325,1011198.6561207653,1000000.0
2021-07-13,1007766.8266545419,1012308.6155141788,1000000.0
2021-07-14,996199.8796661225,1005332.0656314038,1000000.0
2021-07-15,1009601.2323443352,1013415.028711447,1000000.0
2021-07-16,998490.9269432257,1006713.9000626076,1000000.0
2021-07-19,1002159.7383228122,1008926.2724146395,1000000.0
2021-07-20,1001277.8125104116,1008393.5438551949,1000000.0
2021-07-21,1008147.0346714434,1012542.9074126467,1000000.0
2021-07-22,1009658.0675633566,1013455.6490111616,1000000.0
2021-07-23,997405.1782764033,1006054.2735586115,1000000.0
2021-07-26,965277.6008482167,986643.1084532086,1000000.0
2021-07-27,931178.4292705299,965730.6593024278,1000000.0
2021-07-28,932975.5980926884,966832.8327532735,1000000.0
2021-07-29,950572.9578027898,977624.9978733874,1000000.0
2021-07-30,942910.0024105973,972925.4360491703,1000000.0
2021-08-02,966931.7017052525,987558.9791932793,1000000.0
2021-08-03,967072.8098352366,987674.2853795512,1000145.9339162584
2021-08-04,975772.5180157846,994783.2320581761,1009143.1652255694
