,S0,S2_v1,S3
1986-03-31,1024486.4333603362,1003496.4797071702,1000000.0
1986-04-30,1009991.8598853317,1007051.8246391395,1000000.0
1986-05-31,1060723.0306353609,1045095.3336140991,1049003.5514635711
1986-06-30,1075689.3250640936,1058205.4274436692,1049003.5514635711
1986-07-31,1012564.8297315725,1029410.2693623201,1040236.4991582916
1986-08-31,1084651.9577499258,1077956.2931558837,1089298.02094179
1986-09-30,991980.8092216245,1043402.7317117957,1086386.2357946094
1986-10-31,1046271.2516538699,1088275.566087267,1120814.1956166876
1986-11-30,1068742.2214137365,1099195.2541670934,1120814.1956166876
1986-12-31,1038509.3513166178,1084381.644762456,1120814.1956166876
1987-01-31,1175350.5026062764,1144273.7766777612,1120814.1956166876
1987-02-28,1218748.6994792684,1152709.7211200902,1120814.1956166876
1987-03-31,1250911.3133198188,1161860.7668532152,1120814.1956166876
1987-04-30,1236588.1141238841,1161064.5900726132,1129707.3269494325
1987-05-31,1244049.9295264992,1166716.7830803294,1136524.2027032892
1987-06-30,1303657.9476703175,1204652.5049802237,1161878.114410654
1987-07-31,1366525.152561715,1233821.6509550414,1161878.114410654
1987-08-31,1414297.2869338074,1250439.028010514,1161878.114410654
1987-09-30,1380119.144057782,1251570.5201955335,1191483.1696492992
1987-10-31,1079763.2430635623,1086314.2949231602,987998.1130387194
1987-11-30,987606.6754175081,993598.6024340164,903673.5951193159
1987-12-31,1059565.1582152995,1068632.4330892551,978679.7591003323
1988-01-31,1102405.783407515,1078687.7287273298,978679.7591003323
1988-02-29,1148505.5299123041,1094941.0273105435,978679.7591003323
1988-03-31,1110210.609108291,1090582.4782645,978679.7591003323
1988-04-30,1120674.0590773404,1107934.3971967313,986684.0659518392
1988-05-31,1124233.4616295672,1115143.3322605137,1008682.1171428012
1988-06-30,1172863.3180520784,1142492.2297363882,1026982.9838095511
1988-07-31,1166516.5151410059,1146413.8883830926,1026982.9838095511
1988-08-31,1121488.8557642351,1123890.6049689292,1038217.8519014659
1988-09-30,1166044.8596222831,1151206.1522213076,1053848.3363590715
1988-10-31,1196320.5896479206,1165736.8885975936,1053848.3363590715
1988-11-30,1173721.0401024974,1173513.0622633686,1077387.9471487622
1988-12-31,1190960.1540078288,1186223.9741846444,1087944.2103646868
1989-01-31,1275655.0371212787,1217381.7943012149,1087944.2103646868
1989-02-28,1238732.2883799209,1214449.8859123148,1087944.2103646868
1989-03-31,1264505.3048158856,1233584.2504625523,1087944.2103646868
1989-04-30,1327844.296096017,1259241.6897212188,1087944.2103646868
1989-05-31,1374501.4179765666,1280356.2165999976,1087944.2103646868
1989-06-30,1363609.1069823077,1275250.915752114,1087944.2103646868
1989-07-31,1484111.5954755621,1325644.572163458,1087944.2103646868
1989-08-31,1507140.1369162053,1334074.8058578712,1087944.2103646868
1989-09-30,1497276.85681643,1335820.056463838,1087944.2103646868
1989-10-31,1459582.2367517017,1333971.9796804965,1110946.7138711428
1989-11-30,1483725.6598138767,1346462.3213105707,1107748.7025173525
1989-12-31,1515502.337992742,1369641.8281902354,1107748.7025173525
1990-01-31,1411209.670770314,1326552.1855702454,1081714.9203259794
1990-02-28,1423260.05048965,1338895.165454176,1090951.7302827055
1990-03-31,1457781.203663837,1363882.9038288496,1096484.246705349
1990-04-30,1418585.6354458807,1348895.6514228238,1096484.246705349
1990-05-31,1549080.1801294829,1422859.7233381437,1128171.4028842754
