date,b9_cash0,b9_cash_const_1.0,b9_cash_const_1.8,b9_cash_const_2.5,b9_cash_bond,combo_cash0,combo_cash_const_1.0,combo_cash_const_1.8,combo_cash_const_2.5,combo_cash_bond
2015-06-16,1.000000,1.000000,1.000000,1.000000,1.000000,,,,,
2015-06-17,1.000000,1.000040,1.000071,1.000099,0.998564,,,,,
2015-06-18,1.000000,1.000079,1.000143,1.000198,0.999263,,,,,
2015-06-19,1.000000,1.000119,1.000214,1.000298,1.000020,,,,,
2015-06-23,1.000000,1.000159,1.000286,1.000397,1.001927,,,,,
2015-06-24,1.000000,1.000198,1.000357,1.000496,1.004523,,,,,
2015-06-25,1.000000,1.000238,1.000429,1.000595,1.000039,,,,,
2015-06-26,1.000000,1.000278,1.000500,1.000695,0.996057,,,,,
2015-06-29,1.000000,1.000318,1.000572,1.000794,0.997581,,,,,
2015-06-30,1.000000,1.000357,1.000643,1.000893,0.996972,,,,,
2015-07-01,1.000000,1.000397,1.000715,1.000993,0.998761,,,,,
2015-07-02,1.000000,1.000437,1.000786,1.001092,0.996333,,,,,
2015-07-03,1.000000,1.000476,1.000857,1.001191,0.997158,,,,,
2015-07-06,0.999500,1.000016,1.000429,1.000790,1.003372,,,,,
2015-07-07,0.977422,0.977946,0.978366,0.978733,0.984692,,,,,
2015-07-08,0.953587,0.954118,0.954542,0.954914,0.963165,,,,,
2015-07-09,0.981599,0.982164,0.982616,0.983013,0.990689,,,,,
2015-07-10,1.009303,1.009904,1.010385,1.010806,1.015717,,,,,
2015-07-13,1.027941,1.028573,1.029079,1.029522,1.035176,,,,,
2015-07-14,1.014767,1.015390,1.015890,1.016327,1.021909,,,,,
2015-07-15,0.967272,0.967866,0.968342,0.968759,0.974080,,,,,
2015-07-16,0.978418,0.979020,0.979501,0.979923,0.985305,,,,,
2015-07-17,1.025186,1.025817,1.026321,1.026763,1.032402,,,,,
2015-07-20,1.029072,1.029704,1.030211,1.030654,1.036314,,,,,
2015-07-21,1.029072,1.029745,1.030284,1.030756,1.035906,,,,,
2015-07-22,1.029072,1.029786,1.030358,1.030858,1.035467,,,,,
2015-07-23,1.029072,1.029827,1.030431,1.030961,1.036803,,,,,
2015-07-24,1.029072,1.029868,1.030505,1.031063,1.032744,,,,,
2015-07-27,1.029072,1.029909,1.030579,1.031165,1.033303,,,,,
2015-07-28,1.029072,1.029949,1.030652,1.031267,1.036045,,,,,
2015-07-29,1.029072,1.029990,1.030726,1.031370,1.039506,,,,,
2015-07-30,1.029072,1.030031,1.030799,1.031472,1.034968,,,,,
2015-07-31,1.029072,1.030072,1.030873,1.031574,1.034110,,,,,
2015-08-03,1.028557,1.029598,1.030431,1.031161,1.035717,,,,,
2015-08-04,1.049199,1.050281,1.051147,1.051906,1.055450,,,,,
2015-08-05,1.039603,1.040696,1.041571,1.042338,1.047024,,,,,
2015-08-06,1.036478,1.037588,1.038477,1.039256,1.044879,,,,,
2015-08-07,1.049923,1.051069,1.051986,1.052789,1.058770,,,,,
2015-08-10,1.074713,1.075906,1.076862,1.077699,1.083636,,,,,
2015-08-11,1.074713,1.075949,1.076939,1.077805,1.082908,,,,,
2015-08-12,1.074713,1.075992,1.077016,1.077912,1.082169,,,,,
2015-08-13,1.074713,1.076034,1.077093,1.078019,1.080983,,,,,
2015-08-14,1.074713,1.076077,1.077170,1.078126,1.080463,,,,,
2015-08-17,1.074713,1.076120,1.077246,1.078233,1.076926,,,,,
2015-08-18,1.074713,1.076162,1.077323,1.078340,1.072942,,,,,
2015-08-19,1.074713,1.076205,1.077400,1.078447,1.073598,,,,,
2015-08-20,1.074713,1.076248,1.077477,1.078554,1.073473,,,,,
2015-08-21,1.074713,1.076291,1.077554,1.078661,1.073754,,,,,
2015-08-24,1.074176,1.075795,1.077092,1.078229,1.074984,,,,,
2015-08-25,1.036026,1.037609,1.038877,1.039988,1.037414,,,,,
2015-08-26,1.024165,1.025751,1.027021,1.028134,1.026039,,,,,
2015-08-27,1.049535,1.051181,1.052499,1.053654,1.052832,,,,,
