date,hold,b9,lei,combo_10,combo_20,combo_30,combo_rebal_20
2017-03-24,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2017-03-27,0.995375,0.999500,1.000000,0.999550,0.999600,0.999650,0.999600
2017-03-28,0.994249,0.998935,1.000000,0.999041,0.999148,0.999254,0.999148
2017-03-29,0.990835,0.997220,0.997635,0.997262,0.997303,0.997345,0.997303
2017-03-30,0.978470,0.990998,0.997635,0.991661,0.992325,0.992989,0.992325
2017-03-31,0.982950,0.993266,0.997635,0.993703,0.994140,0.994577,0.994140
2017-04-05,1.001331,1.002052,0.997635,1.001610,1.001168,1.000727,1.001175
2017-04-06,1.002550,1.003271,0.997635,1.002708,1.002144,1.001581,1.002151
2017-04-07,1.003069,1.003791,0.997635,1.003176,1.002560,1.001945,1.002568
2017-04-10,0.993920,0.994138,0.997635,0.994488,0.994838,0.995187,0.994838
2017-04-11,0.998338,0.996348,0.997635,0.996476,0.996605,0.996734,0.996607
2017-04-12,0.997169,0.995765,0.997635,0.995952,0.996139,0.996326,0.996141
2017-04-13,1.001176,0.997765,0.997635,0.997752,0.997739,0.997726,0.997742
2017-04-14,0.990718,0.992554,0.997635,0.993062,0.993570,0.994078,0.993570
2017-04-17,0.986364,0.989878,0.997635,0.990653,0.991429,0.992205,0.991427
2017-04-18,0.979779,0.983269,0.997635,0.984706,0.986142,0.987579,0.986135
2017-04-19,0.972048,0.975511,0.997635,0.977723,0.979936,0.982148,0.979923
2017-04-20,0.973577,0.977045,0.985952,0.977936,0.978826,0.979717,0.978823
2017-04-21,0.971976,0.975438,0.985952,0.976490,0.977541,0.978592,0.977537
2017-04-24,0.954739,0.958140,0.985952,0.960921,0.963702,0.966484,0.963686
2017-04-25,0.958866,0.962282,0.985952,0.964649,0.967016,0.969383,0.967003
2017-04-26,0.960728,0.964150,0.985952,0.966330,0.968510,0.970691,0.968498
2017-04-27,0.963104,0.966534,0.985952,0.968476,0.970418,0.972360,0.970407
2017-04-28,0.961057,0.964481,0.985952,0.966628,0.968775,0.970922,0.968763
2017-05-02,0.957344,0.960754,0.985952,0.963274,0.965793,0.968313,0.965768
2017-05-03,0.954309,0.957709,0.985952,0.960533,0.963358,0.966182,0.963321
2017-05-04,0.949655,0.953038,0.985952,0.956330,0.959621,0.962912,0.959568
2017-05-05,0.940255,0.943605,0.985952,0.947839,0.952074,0.956309,0.951988
2017-05-08,0.930491,0.933805,0.985952,0.939020,0.944235,0.949449,0.944114
2017-05-09,0.932708,0.936030,0.985952,0.941023,0.946015,0.951007,0.945902
2017-05-10,0.920966,0.924247,0.985952,0.930418,0.936588,0.942759,0.936433
2017-05-11,0.922052,0.925336,0.985952,0.931398,0.937459,0.943521,0.937308
2017-05-12,0.924648,0.927942,0.985952,0.933743,0.939544,0.945345,0.939402
2017-05-15,0.928271,0.931578,0.985952,0.937015,0.942452,0.947890,0.942324
2017-05-16,0.943949,0.947312,0.985952,0.951176,0.955040,0.958904,0.954967
2017-05-17,0.941326,0.944679,0.985952,0.948806,0.952933,0.957061,0.952851
2017-05-18,0.935542,0.938875,0.985952,0.943583,0.948290,0.952998,0.948187
