,A1,U0,U1,U2,A1xU0,A1xU1,A1xU2
2010-06,1.023114,1030.7099609375,3.351884,3607047.281695461,1.0,1.0,1.0
2010-07,1.023114,1101.5999755859375,3.339143,3851727.84197154,1.0343889247873177,0.9980994270684784,1.0339170159367954
2010-08,1.023114,1049.3299560546875,3.270203,3671315.160044837,1.0098484697674346,0.987796038668805,1.0097029814323049
2010-09,1.023114,1141.199951171875,3.276716,3992186.590650688,1.0540551434887546,0.9887796955854934,1.0538267934745296
2010-10,1.023114,1183.260009765625,3.396904,4132318.800490405,1.073479268529531,1.0069136220614268,1.0723223063976641
2010-11,1.023114,1180.550048828125,3.389125,4122965.2298387103,1.0722500007181783,1.0057606926489358,1.071108696928195
2010-12,1.023114,1257.6400146484375,3.600585,4389045.242970625,1.1072589848727454,1.0371372509150878,1.1056712751039406
2011-01,1.023114,1286.1199951171875,3.682122,4487345.371871771,1.1197962427111259,1.0488804898648505,1.118052968940326
2011-02,1.045363,1327.219970703125,3.79979,4629204.06810103,1.1498644058817737,1.0770444663813905,1.147882292212676
2011-03,1.045363,1325.8299560546875,3.775013,4624406.360487929,1.1492622719464902,1.0735329656479906,1.147287459544762
2011-04,1.026972,1363.6099853515625,3.878569,4754806.090004839,1.1555271585044524,1.0788142253930026,1.153371079587738
2011-05,1.004184,1345.199951171875,3.827694,4691262.902714963,1.1349065119907704,1.0597696720089054,1.1328678925586078
2011-06,0.94522,1320.6400146484375,3.741402,4606493.008693901,1.0912263526188017,1.0167099349825497,1.089372528101225
2011-07,0.94522,1292.280029296875,3.643514,4508607.049159899,1.0795096232178125,1.0034096130556929,1.0777981834748556
2011-08,0.94522,1218.8900146484375,3.637025,4255297.602454249,1.0488563494439422,1.0025160903494374,1.0475209317051275
2011-09,0.94522,1131.4200439453125,3.637025,3953390.4477835386,1.0112223410202579,1.0025160903494374,1.0103608910340935
2011-10,0.94522,1253.300048828125,3.620907,4347834.816002867,1.0656883125755203,1.0002946931437195,1.0607646101457358
2011-11,0.94522,1246.9599609375,3.592497,4459540.4537889,1.0629928057924247,0.9963704868285321,1.074391322329125
2011-12,0.94522,1257.5999755859375,3.576759,4496265.0190698635,1.0675279389880055,0.9941880384198477,1.0788151586709003
2012-01,0.94522,1312.4100341796875,3.641211,4685444.793852902,1.0907910075401244,1.003145506263255,1.1015106634825926
2012-02,1.043604,1365.6800537109375,3.789005,4859588.141509089,1.169696257517627,1.075710576831476,1.1793063398729362
2012-03,0.962969,1408.469970703125,3.907724,5007279.770878921,1.1428320873001228,1.0510050560326805,1.151666879338455
2012-04,0.972352,1397.9100341796875,3.878426,4970831.599421304,1.144115699819003,1.0521855263352227,1.153086186218914
2012-05,1.042353,1310.3299560546875,3.613632,4668544.393746655,1.1494591165909422,1.0541414581627746,1.1595314875400002
2012-06,1.003958,1362.1600341796875,3.558746,4847438.614458167,1.1510224108910452,1.0267213797739647,1.1603919336633115
2012-07,0.92819,1379.3199462890625,3.491441,4906666.946543043,1.1148390324834434,0.978269446444423,1.1236940673673523
2012-08,0.968864,1406.5799560546875,3.528642,5000756.29273225,1.1502820724635159,1.0049153942902023,1.1590885124550174
2012-09,0.945576,1440.6700439453125,3.611994,5118420.009977364,1.1503969605391007,1.0047069520234402,1.1587945601863436
2012-10,0.948336,1412.1600341796875,3.536318,5020016.223560595,1.140693043570045,0.9956482868154936,1.1493465798890516
2012-11,0.831946,1416.1800537109375,3.480991,5033891.530745559,1.0723175952542356,0.9267613078877587,1.0804048840119085
2012-12,0.978789,1426.18994140625,3.506272,5068441.180462376,1.1707422373102312,1.011915859319144,1.1794611866937699
2013-01,1.032841,1498.1099853515625,3.683087,5273139.839824197,1.2325875382168043,1.0653710970013572,1.2358454753760064
2013-02,1.04522,1514.6800537109375,3.723824,5330332.295426691,1.2467906670017785,1.0776473396999884,1.2499535068397936
2013-03,1.065114,1569.18994140625,3.857836,5520112.147568006,1.28109052505087,1.107293984263558,1.2841004053891247
2013-04,1.089134,1597.5699462890625,3.927608,5618067.2153478265,1.307120583499841,1.1297927383849227,1.309972909414415
2013-05,1.160002,1630.739990234375,4.009156,5696151.967605437,1.3632163311741423,1.178278344339182,1.3616952733647607
2013-06,1.142012,1606.280029296875,3.944136,5611727.136058787,1.3424219004549198,1.159587037343108,1.3410451824355303
2013-07,1.300848,1685.72998046875,4.120999,5885952.788389723,1.4689763307712624,1.2662263525180335,1.4670704978211602
2013-08,1.370185,1632.969970703125,3.993408,5703848.861558277,1.4851375423027855,1.2803702293707293,1.483474290649575
2013-09,1.370185,1681.550048828125,4.110891,5871525.53621471,1.507228609231706,1.2992039843560903,1.505279219394345
2013-10,1.358227,1756.5400390625,4.292242,6130382.070263696,1.534259596870463,1.3221917610067848,1.5318921577123328
2013-11,1.388876,1805.81005859375,4.411393,6300440.113686357,1.5730878093441902,1.3554614547292922,1.5704235734631178
2013-12,1.408101,1848.3599853515625,4.514293,6447303.40623329,1.6025084215134646,1.3806514139380388,1.5995958668027659
2014-01,1.516469,1782.5899658203125,4.355239,6220294.751806828,1.6356623036283897,1.4094566101000496,1.6329878527008401
2014-02,1.539338,1859.449951171875,4.52977,6485581.001959234,1.6832579970368773,1.4483253587660274,1.6801231721807328
2014-03,1.579366,1872.3399658203125,4.561171,6530071.560145686,1.7109775120841406,1.4721760374584358,1.7077303719157726
2014-04,1.593132,1883.949951171875,4.589454,6570144.030419423,1.7237387907006225,1.4831562445058586,1.720412627276445
2014-05,1.648962,1923.5699462890625,4.685972,6706894.511018905,1.772067649225297,1.524739915491502,1.7684621188090934
2014-06,1.767018,1960.22998046875,4.775278,6827699.559237746,1.8523887967309263,1.593850497411868,1.8476947033902087
2014-07,1.759316,1930.6700439453125,4.703268,6725671.895829058,1.8343848866449128,1.5783594610593836,1.8298626448711475
2014-08,1.759316,2003.3699951171875,4.836451,6976599.570931166,1.8689220392018022,1.600706757460766,1.8639977607633205
2014-09,1.759316,1972.2900390625,4.735475,6869325.480792637,1.854424963027755,1.5839968842974321,1.8496670928087418
2014-10,1.759316,2018.050048828125,4.730692,7027268.542349743,1.8759376469477391,1.5831969373969002,1.8709313409737547
2014-11,1.759316,2067.56005859375,4.841146,7196796.163792975,1.8989493882259147,1.601679480175339,1.8934987537748613
2014-12,1.759316,2058.89990234375,4.821844,7172833.060197904,1.894972430375398,1.5984864740848033,1.8903463713979556
2015-01,1.759316,1994.989990234375,4.6855,6952244.66360226,1.865561694735186,1.5758868172084488,1.8612791624180798
2015-02,1.759316,2104.5,4.919129,7330224.176764961,1.9167643775578764,1.6151753521799133,1.9118761584756192
2015-03,1.759316,2067.889892578125,4.837512,7203862.480607957,1.900092258345518,1.6017760525560503,1.8953972685807583
2015-04,1.759316,2085.510009765625,4.876794,7264679.234534424,1.908187430235296,1.6082794955342286,1.9033979702589536
2015-05,1.759316,2107.389892578125,4.925571,7340198.791798875,1.9181971921550016,1.6163223869249326,1.9132913025983012
2015-06,1.759316,2063.110107421875,4.747171,7187364.802722178,1.8980449270580015,1.5870514745954374,1.8933724999652881
2015-07,2.074029,2103.840087890625,4.746278,7327946.455683888,2.086545230104785,1.7288510428359487,2.081236024241026
2015-08,1.909316,1972.1800537109375,4.673719,6873514.978570385,1.938402875953831,1.6469860730854773,1.9340609978241683
2015-09,1.991362,1920.030029296875,4.673719,6693516.447191728,1.954422397884195,1.6823727297081559,1.9502917813823395
2015-10,2.369621,2079.360107421875,4.664956,7243452.528510477,2.2211355931882797,1.840578805926331,2.215638155372985
2015-11,2.625652,2080.409912109375,4.631628,7247075.984186818,2.3416900656492934,1.9334386783329907,2.3358891190138062
2015-12,2.746061,2043.93994140625,4.52748,7121197.97665486,2.374858372317032,1.9560332709452875,2.3691629434710313
2016-01,2.174597,1940.239990234375,4.522688,6763272.182230531,2.0675059919758327,1.7514697507895887,2.0631083261899525
2016-02,2.050925,1932.22998046875,4.522688,6735625.215358748,2.004447485660727,1.7016656337463731,2.0002257783445265
2016-03,2.440928,2059.739990234375,4.531782,7154613.154972879,2.2611677754801294,1.8651704427115172,2.2526185881549
2016-04,2.332368,2065.300048828125,4.47875,7192293.364880351,2.2139370796335482,1.8127804832591676,2.208457885298905
2016-05,2.355338,2096.949951171875,4.547385,7301534.655115478,2.241802757337591,1.8355969980921485,2.236104486279873
2016-06,2.428658,2098.860107421875,4.441743,7308127.659132816,2.2777166744560406,1.8428456940133462,2.271918216986245
2016-07,2.437716,2173.60009765625,4.563535,7572487.310248101,2.3225187151505007,1.8715475533606278,2.317246402327035
2016-08,2.530525,2170.949951171875,4.557971,7563340.191305336,2.365314455878516,1.9060335149950636,2.3599580876061363
2016-09,2.545938,2168.27001953125,4.552344,7554090.267340827,2.371057888568029,1.9106616411346722,2.3657020325311797
2016-10,2.545938,2126.14990234375,4.469273,7408710.483970788,2.348028183959001,1.8932288006912987,2.3429378586309575
2016-11,2.545938,2198.81005859375,4.55253,7659500.806519867,2.3881495541732547,1.9108630501832358,2.3825929472290195
2016-12,2.531814,2238.830078125,4.607515,7797631.993192929,2.4032583039029434,1.9171022463091183,2.3974678402745284
2017-01,2.553395,2278.8701171875,4.689918,7935832.278323228,2.4349912703355314,1.9424160533125556,2.428931361692896
2017-02,2.587679,2363.639892578125,4.864374,8228419.583523631,2.4966269744919964,1.991583383428159,2.4900140899318646
2017-03,2.598653,2362.719970703125,4.862481,8225244.425147182,2.5014350647373034,1.995418884354592,2.4948135783704557
2017-04,2.563422,2384.199951171875,4.906687,8299383.699105951,2.4958491105357963,1.990962949716995,2.489145632899079
2017-05,2.442912,2411.800048828125,4.963488,8394646.877040517,2.451628746040505,1.9556879292940377,2.4449221845229046
2017-06,2.518175,2423.409912109375,4.987381,8434718.926253257,2.495295316787409,1.9905211517737342,2.4884200976225412
2017-07,2.404921,2470.300048828125,5.083881,8596562.68105616,2.4633233369342777,1.9650168014926377,2.456335867236823
2017-08,2.561545,2471.64990234375,5.086659,8601221.770934977,2.5442101263748644,2.029540974049851,2.536987733195287
2017-09,2.585927,2519.360107421875,5.184846,8765896.034492256,2.5808740423646976,2.0587880001193763,2.573347745563146
2017-10,2.589812,2575.260009765625,5.299889,8958837.465708226,2.6114451375977787,2.0831750422333934,2.603601084062583
2017-11,2.452017,2647.580078125,5.448723,9208453.95714839,2.578640246047267,2.057006103749564,2.5706082950103815
2017-12,2.42757,2673.610107421875,5.502293,9298297.962174531,2.578461638249994,2.0568636583529396,2.5703339185091756
2018-01,2.403199,2823.81005859375,5.811405,9816720.934892133,2.6379460349918684,2.104314991838934,2.62908577871819
2018-02,2.42892,2713.830078125,5.4567,9437119.29075585,2.600692229702399,2.0513565411566814,2.5923231845460846
2018-03,2.632327,2640.8701171875,5.280695,9185294.176676445,2.6746290063513056,2.104167649793177,2.6662812208493265
2018-04,2.500902,2648.050048828125,5.279379,9210076.085565232,2.61149635094054,2.051377747568399,2.603317910652808
2018-05,2.41523,2705.27001953125,5.318552,9407573.801638275,2.5949811195031525,2.0238519108842605,2.5866400370602536
2018-06,2.225435,2718.3701171875,5.313896,9452789.472594604,2.499303981657,1.943446293964868,2.4912237064922715
2018-07,2.162473,2816.2900390625,5.329025,9790765.194894427,2.5089632408586358,1.9187208633794481,2.500518556663132
2018-08,1.987872,2901.52001953125,5.490299,10084940.921947166,2.4456393374235774,1.8702942360117683,2.4371365247697265
2018-09,1.954824,2913.97998046875,5.513876,10127947.12760014,2.430561328391519,1.8587633939760049,2.422074515958821
2018-10,1.766777,2711.739990234375,5.221685,9429905.24312572,2.2293111663570477,1.7201104939875824,2.222109581045856
2018-11,1.841315,2760.169921875,5.186807,9597063.680617252,2.2962440523075,1.7506503960285242,2.2886785437803523
