date,value
2005-01-31,1.85
2005-02-28,2.03
2005-03-31,1.81
2005-04-29,1.72
2005-05-31,1.47
2005-06-30,1.56
2005-07-29,1.65
2005-08-31,1.64
2005-09-30,1.59
2005-10-31,1.41
2005-11-30,1.44
2005-12-30,1.58
2006-01-25,1.67
2006-02-28,1.74
2006-03-31,1.68
2006-04-28,1.75
2006-05-31,1.92
2006-06-30,1.92
2006-07-31,1.76
2006-08-31,1.81
2006-09-29,1.92
2006-10-31,1.82
2006-11-30,2.22
2006-12-29,2.54
2007-01-31,2.84
2007-02-28,2.9
2007-03-30,3.11
2007-04-30,3.43
2007-05-31,4.08
2007-06-29,3.73
2007-07-31,4.27
2007-08-31,4.73
2007-09-28,5.42
2007-10-31,5.83
2007-11-30,4.8
2007-12-28,5.46
2008-01-31,4.43
2008-02-29,4.51
2008-03-31,3.29
2008-04-30,3.3
2008-05-30,3.3
2008-06-30,2.5
2008-07-31,2.62
2008-08-29,2.2
2008-09-26,2.28
2008-10-31,1.47
2008-11-28,1.69
2008-12-31,1.53
2009-01-23,1.82
2009-02-27,1.89
2009-03-31,2.1
2009-04-30,2.25
2009-05-27,2.38
2009-06-30,2.58
2009-07-31,3.37
2009-08-31,2.66
2009-09-30,2.76
2009-10-30,2.83
2009-11-30,3.04
2009-12-31,3.26
2010-01-29,2.47
2010-02-26,2.48
2010-03-31,2.44
2010-04-30,2.11
2010-05-31,2.01
2010-06-30,1.88
2010-07-30,2.03
2010-08-31,1.87
2010-09-30,1.86
2010-10-29,1.97
2010-11-30,1.76
2010-12-31,1.74
2011-01-31,1.91
2011-02-28,1.92
2011-03-31,1.92
2011-04-29,1.84
2011-05-31,1.76
2011-06-30,1.82
2011-07-29,1.75
2011-08-31,1.61
2011-09-30,1.56
2011-10-31,1.57
2011-11-30,1.51
2011-12-30,1.5
2012-01-31,1.68
2012-02-29,1.72
2012-03-30,1.57
2012-04-27,1.58
2012-05-31,1.49
2012-06-29,1.47
2012-07-31,1.42
2012-08-31,1.35
2012-09-28,1.36
2012-10-31,1.31
2012-11-30,1.3
2012-12-31,1.44
2013-01-31,1.5
2013-02-28,1.45
2013-03-29,1.34
2013-04-26,1.28
2013-05-31,1.27
2013-06-28,1.17
2013-07-31,1.17
2013-08-30,1.14
2013-09-30,1.16
2013-10-31,1.11
2013-11-29,1.13
2013-12-31,1.05
2014-01-30,1.0
2014-02-28,1.02
2014-03-31,1.0
2014-04-30,0.95
2014-05-30,0.96
2014-06-30,1.0
2014-07-31,1.08
2014-08-29,1.0
2014-09-30,1.01
2014-10-31,0.99
2014-11-28,1.1
2014-12-31,1.4
2015-01-30,1.33
2015-02-27,1.31
2015-03-31,1.38
2015-04-30,1.49
2015-05-29,1.38
2015-06-30,1.44
2015-07-31,1.33
2015-08-31,1.12
2015-09-30,1.09
2015-10-30,1.14
2015-11-30,1.13
2015-12-31,1.15
2016-01-29,0.98
2016-02-29,0.96
2016-03-31,1.0
2016-04-29,0.97
2016-05-31,0.97
2016-06-30,0.97
2016-07-29,1.01
2016-08-31,1.03
2016-09-30,1.0
2016-10-31,0.98
2016-11-30,1.03
2016-12-30,1.0
2017-01-26,1.05
2017-02-28,1.07
2017-03-31,1.07
2017-04-28,1.04
2017-05-31,1.08
2017-06-30,1.1
2017-07-31,1.17
2017-08-31,1.16
2017-09-29,1.16
2017-10-31,1.14
2017-11-30,1.15
2017-12-29,1.15
2018-01-31,1.31
2018-02-28,1.21
2018-03-30,1.12
2018-04-27,1.09
2018-05-31,1.06
2018-06-29,1.01
2018-07-31,1.07
2018-08-31,1.02
2018-09-28,1.07
2018-10-31,0.98
2018-11-30,0.94
2018-12-28,0.92
2019-01-31,0.97
2019-02-28,1.01
2019-03-29,0.99
2019-04-30,0.98
2019-05-31,0.94
2019-06-28,0.97
2019-07-31,0.98
2019-08-30,0.93
2019-09-30,0.94
2019-10-31,0.92
2019-11-29,0.91
2019-12-31,0.88
2020-01-23,0.84
2020-02-28,0.81
2020-03-31,0.77
2020-04-30,0.76
2020-05-29,0.74
2020-06-30,0.74
2020-07-31,0.76
2020-08-31,0.76
2020-09-30,0.74
2020-10-30,0.74
2020-11-30,0.79
2020-12-31,0.7
2021-01-29,0.71
2021-02-26,0.75
2021-03-31,0.75
2021-04-30,0.69
2021-05-31,0.7
2021-06-30,0.67
2021-07-30,0.63
2021-08-31,0.64
