date,value
2005-01-31,11.7
2005-02-28,12.77
2005-03-31,10.99
2005-04-29,10.66
2005-05-31,9.7
2005-06-30,9.88
2005-07-29,10.44
2005-08-31,10.4
2005-09-30,9.96
2005-10-31,9.19
2005-11-30,9.39
2005-12-30,10.27
2006-01-25,10.52
2006-02-28,11.04
2006-03-31,10.99
2006-04-28,12.13
2006-05-31,13.52
2006-06-30,13.12
2006-07-31,12.19
2006-08-31,12.89
2006-09-29,13.42
2006-10-31,11.76
2006-11-30,14.36
2006-12-29,17.01
2007-01-31,18.94
2007-02-28,19.31
2007-03-30,21.09
2007-04-30,19.87
2007-05-31,23.43
2007-06-29,20.76
2007-07-31,23.89
2007-08-31,25.45
2007-09-28,29.12
2007-10-31,33.0
2007-11-30,27.21
2007-12-28,31.0
2008-01-31,24.73
2008-02-29,25.19
2008-03-31,18.82
2008-04-30,23.57
2008-05-30,23.28
2008-06-30,17.1
2008-07-31,17.93
2008-08-29,16.82
2008-09-26,17.53
2008-10-31,12.05
2008-11-28,13.84
2008-12-31,12.57
2009-01-23,14.5
2009-02-27,15.05
2009-03-31,18.81
2009-04-30,24.74
2009-05-27,26.09
2009-06-30,27.61
2009-07-31,35.66
2009-08-31,22.17
2009-09-30,22.77
2009-10-30,21.04
2009-11-30,21.7
2009-12-31,23.71
2010-01-29,15.52
2010-02-26,15.64
2010-03-31,14.58
2010-04-30,12.37
2010-05-31,11.45
2010-06-30,10.51
2010-07-30,11.36
2010-08-31,10.23
2010-09-30,10.13
2010-10-29,10.65
2010-11-30,9.94
2010-12-31,10.16
2011-01-31,11.73
2011-02-28,11.82
2011-03-31,11.45
2011-04-29,10.92
2011-05-31,10.48
2011-06-30,10.28
2011-07-29,9.92
2011-08-31,9.14
2011-09-30,8.8
2011-10-31,9.0
2011-11-30,8.66
2011-12-30,8.64
2012-01-31,9.6
2012-02-29,9.86
2012-03-30,9.39
2012-04-27,9.7
2012-05-31,9.24
2012-06-29,8.71
2012-07-31,8.42
2012-08-31,8.18
2012-09-28,8.22
2012-10-31,8.19
2012-11-30,8.12
2012-12-31,9.03
2013-01-31,9.01
2013-02-28,8.75
2013-03-29,8.06
2013-04-26,7.79
2013-05-31,7.85
2013-06-28,6.89
2013-07-31,6.88
2013-08-30,6.75
2013-09-30,6.86
2013-10-31,6.62
2013-11-29,6.74
2013-12-31,6.15
2014-01-30,5.88
2014-02-28,5.93
2014-03-31,5.91
2014-04-30,5.8
2014-05-30,5.85
2014-06-30,5.82
2014-07-31,6.1
2014-08-29,5.89
2014-09-30,5.94
2014-10-31,6.01
2014-11-28,6.7
2014-12-31,8.52
2015-01-30,8.14
2015-02-27,8.13
2015-03-31,9.02
2015-04-30,10.45
2015-05-29,9.7
2015-06-30,10.06
2015-07-31,9.0
2015-08-31,7.91
2015-09-30,7.71
2015-10-30,8.38
2015-11-30,8.47
2015-12-31,8.53
2016-01-29,7.3
2016-02-29,7.22
2016-03-31,7.73
2016-04-29,7.76
2016-05-31,7.81
2016-06-30,7.7
2016-07-29,7.83
2016-08-31,8.21
2016-09-30,8.0
2016-10-31,8.05
2016-11-30,8.45
2016-12-30,7.46
2017-01-26,7.82
2017-02-28,7.96
2017-03-31,7.92
2017-04-28,7.85
2017-05-31,8.23
2017-06-30,8.28
2017-07-31,8.64
2017-08-31,8.73
2017-09-29,8.65
2017-10-31,8.62
2017-11-30,8.68
2017-12-29,8.7
2018-01-31,9.94
2018-02-28,9.16
2018-03-30,8.55
2018-04-27,8.32
2018-05-31,8.08
2018-06-29,7.58
2018-07-31,7.91
2018-08-31,7.5
2018-09-28,7.91
2018-10-31,7.46
2018-11-30,7.13
2018-12-28,6.88
2019-01-31,7.39
2019-02-28,7.7
2019-03-29,7.6
2019-04-30,7.77
2019-05-31,7.45
2019-06-28,7.66
2019-07-31,7.54
2019-08-30,7.16
2019-09-30,7.22
2019-10-31,7.4
2019-11-29,7.33
2019-12-31,7.2
2020-01-23,6.89
2020-02-28,6.58
2020-03-31,6.33
2020-04-30,6.65
2020-05-29,6.51
2020-06-30,6.43
2020-07-31,6.41
2020-08-31,7.0
