date,value
2007-01-31,39.62
2007-02-28,45.58
2007-03-30,50.36
2007-04-30,58.93
2007-05-31,64.53
2007-06-29,55.54
2007-07-31,62.06
2007-08-31,61.44
2007-09-28,64.29
2007-10-31,51.59
2007-11-30,46.71
2007-12-28,56.38
2008-01-31,54.05
2008-02-29,57.58
2008-03-31,45.1
2008-04-30,38.7
2008-05-30,37.53
2008-06-30,28.26
2008-07-31,29.56
2008-08-29,21.86
2008-09-26,20.09
2008-10-31,14.68
2008-11-28,17.22
2008-12-31,18.31
2009-01-23,21.6
2009-02-27,24.01
2009-03-31,31.53
2009-04-30,36.1
2009-05-27,38.29
2009-06-30,40.35
2009-07-31,45.96
2009-08-31,36.95
2009-09-30,38.64
2009-10-30,40.23
2009-11-30,45.86
2009-12-31,47.37
2010-01-29,45.98
2010-02-26,47.49
2010-03-31,46.32
2010-04-30,37.92
2010-05-31,35.14
2010-06-30,31.43
2010-07-30,35.46
2010-08-31,36.82
2010-09-30,37.44
2010-10-29,39.21
2010-11-30,39.63
2010-12-31,38.48
2011-01-31,35.62
2011-02-28,39.04
2011-03-31,37.6
2011-04-29,34.67
2011-05-31,31.7
2011-06-30,32.83
2011-07-29,32.14
2011-08-31,28.94
2011-09-30,25.12
2011-10-31,25.36
2011-11-30,24.22
2011-12-30,21.02
2012-01-31,20.68
2012-02-29,23.54
2012-03-30,22.49
2012-04-27,24.46
2012-05-31,25.2
2012-06-29,23.54
2012-07-31,22.05
2012-08-31,21.54
2012-09-28,22.01
2012-10-31,22.54
2012-11-30,20.03
2012-12-31,23.71
2013-01-31,25.09
2013-02-28,26.38
2013-03-29,24.89
2013-04-26,23.81
2013-05-31,26.77
2013-06-28,22.67
2013-07-31,23.41
2013-08-30,23.99
2013-09-30,25.59
2013-10-31,23.57
2013-11-29,25.15
2013-12-31,24.52
2014-01-30,25.05
2014-02-28,25.54
2014-03-31,24.74
2014-04-30,24.22
2014-05-30,24.67
2014-06-30,24.37
2014-07-31,26.08
2014-08-29,26.63
2014-09-30,29.68
2014-10-31,29.39
2014-11-28,30.76
2014-12-31,31.25
2015-01-30,33.3
2015-02-27,35.87
2015-03-31,44.27
2015-04-30,50.55
2015-05-29,59.84
2015-06-30,53.17
2015-07-31,46.52
2015-08-31,37.99
2015-09-30,35.5
2015-10-30,40.2
2015-11-30,42.4
2015-12-31,44.86
2016-01-29,32.17
2016-02-29,31.35
2016-03-31,36.07
2016-04-29,34.43
2016-05-31,34.23
2016-06-30,37.12
2016-07-29,37.34
2016-08-31,36.98
2016-09-30,36.62
2016-10-31,35.66
2016-11-30,36.48
2016-12-30,36.64
2017-01-26,36.25
2017-02-28,36.45
2017-03-31,36.5
2017-04-28,32.85
2017-05-31,30.51
2017-06-30,32.34
2017-07-31,32.59
2017-08-31,31.47
2017-09-29,32.08
2017-10-31,28.67
2017-11-30,27.29
2017-12-29,27.28
2018-01-31,27.15
2018-02-28,26.05
2018-03-30,25.97
2018-04-27,23.92
2018-05-31,23.27
2018-06-29,21.49
2018-07-31,21.42
2018-08-31,18.53
2018-09-28,18.24
2018-10-31,16.26
2018-11-30,16.61
2018-12-28,15.29
2019-01-31,15.46
2019-02-28,18.89
2019-03-29,20.76
2019-04-30,19.84
2019-05-31,18.42
2019-06-28,18.77
2019-07-31,18.6
2019-08-30,18.85
2019-09-30,19.08
2019-10-31,19.55
2019-11-29,19.56
2019-12-31,20.51
2020-01-23,20.83
2020-02-28,20.94
2020-03-31,19.62
2020-04-30,22.49
2020-05-29,22.94
2020-06-30,23.74
2020-07-31,26.69
2020-08-31,26.04
2020-09-30,24.25
2020-10-30,23.06
2020-11-30,23.34
2020-12-31,23.35
2021-01-29,23.29
2021-02-26,23.18
2021-03-31,22.77
2021-04-30,20.24
2021-05-31,21.03
2021-06-30,19.31
2021-07-30,19.09
2021-08-31,18.75
2021-09-30,18.57
2021-10-29,17.41
2021-11-30,17.93
2021-12-31,18.3
2022-01-28,16.41
2022-02-28,17.22
2022-03-31,15.89
2022-04-29,14.29
2022-05-31,15.45
2022-06-30,16.95
2022-07-29,16.4
2022-08-31,16.42
2022-09-30,15.34
2022-10-31,15.91
2022-11-30,16.9
2022-12-30,17.13
2023-01-31,18.26
2023-02-28,18.48
2023-03-31,18.71
2023-04-28,18.84
2023-05-31,18.31
2023-06-30,19.03
2023-07-31,19.34
2023-08-31,18.75
2023-09-28,18.67
2023-10-31,17.99
2023-11-30,18.06
2023-12-29,17.49
2024-01-31,15.42
2024-02-29,17.6
2024-03-29,17.6
2024-04-30,19.51
2024-05-31,19.19
2024-06-28,18.19
2024-07-31,17.84
2024-08-30,16.8
2024-09-30,20.75
2024-10-31,21.0
2024-11-29,20.85
2024-12-31,21.7
2025-01-27,21.51
2025-02-28,22.0
2025-03-31,22.08
2025-04-30,21.01
2025-05-30,21.24
2025-06-30,22.13
2025-07-31,23.2
2025-08-29,25.23
2025-09-30,26.45
2025-10-31,25.66
2025-11-28,24.68
2025-12-31,25.97
2026-01-30,29.09
2026-02-27,29.99
2026-03-31,26.96
2026-04-30,29.42
2026-05-29,29.69
2026-06-30,33.81
2026-07-31,28.38
2026-08-31,27.63
2026-09-04,26.63
