date,b200,cap,equity,drawdown_pct
2017-03-24,,1.0,1000000.0,0.0
2017-03-29,,1.0,997635.47,0.236
2017-04-05,,1.0,997635.47,0.236
2017-04-20,,1.0,985951.93,1.405
2017-06-12,,1.0,985951.93,1.405
2017-06-27,,1.0,985951.93,1.405
2017-06-28,,1.0,985951.93,1.405
2017-07-03,,1.0,973095.26,2.69
2017-07-06,,1.0,973095.26,2.69
2017-07-11,,1.0,962284.52,3.772
2017-07-17,,1.0,964731.84,3.527
2017-07-18,,1.0,952928.65,4.707
2017-07-20,,1.0,952928.65,4.707
2017-07-21,,1.0,957657.58,4.234
2017-07-24,,1.0,957657.58,4.234
2017-07-27,,1.0,957657.58,4.234
2017-08-03,,1.0,967501.16,3.25
2017-08-10,,1.0,982445.6,1.755
2017-08-31,,1.0,981539.15,1.846
2017-09-07,,1.0,981539.15,1.846
2017-10-10,,1.0,981539.15,1.846
2017-10-11,,1.0,981539.15,1.846
2017-10-17,,1.0,997839.5,0.216
2017-10-27,,1.0,985836.98,1.416
2017-11-01,,1.0,1042808.31,0.0
2017-11-02,,1.0,1042808.31,0.0
2017-11-08,,1.0,1037439.97,0.515
2017-12-01,,1.0,1035895.75,0.663
2018-03-12,,1.0,1035895.75,0.663
2018-05-29,,1.0,1047257.19,0.0
2018-06-06,,1.0,1047257.19,0.0
2018-06-08,,1.0,1047257.19,0.0
2018-06-11,,1.0,1038634.57,0.823
2018-06-20,,1.0,1035256.66,1.146
2018-07-10,,1.0,1035256.66,1.146
2018-07-11,,1.0,1029891.42,1.658
2018-07-16,,1.0,1029891.42,1.658
2018-07-18,,1.0,1027518.31,1.885
2019-02-15,,1.0,1027518.31,1.885
2019-04-10,,1.0,1046624.44,0.06
2019-07-10,,1.0,1046624.44,0.06
2019-08-07,,1.0,1037878.15,0.896
2019-08-23,,1.0,1037878.15,0.896
2019-09-26,,1.0,1037013.26,0.978
2019-10-15,,1.0,1037013.26,0.978
2019-10-23,,1.0,1037013.26,0.978
2019-10-24,,1.0,1009173.44,3.637
2019-11-01,,1.0,1009173.44,3.637
2019-11-07,,1.0,1009173.44,3.637
2019-11-12,,1.0,992021.04,5.274
2019-11-25,,1.0,966791.71,7.683
2019-12-05,,1.0,966791.71,7.683
2019-12-12,,1.0,966791.71,7.683
2020-01-03,,1.0,966791.71,7.683
2020-01-13,,1.0,966791.71,7.683
2020-01-14,,1.0,966791.71,7.683
2020-01-17,,1.0,953740.02,8.93
2020-01-21,,1.0,953740.02,8.93
2020-01-23,,1.0,953740.02,8.93
2020-02-03,,1.0,912109.87,12.905
2020-02-04,,1.0,870385.7,16.889
2020-02-05,,1.0,859188.3,17.958
2020-02-11,,1.0,859188.3,17.958
2020-02-12,,1.0,858765.31,17.999
2020-02-17,,1.0,856633.66,18.202
2020-02-18,,1.0,856633.66,18.202
2020-02-21,,1.0,856633.66,18.202
2020-02-24,,1.0,855291.53,18.33
2020-03-03,,1.0,855291.53,18.33
2020-03-06,,1.0,991136.48,5.359
2020-03-16,,1.0,982935.05,6.142
2020-03-20,,1.0,988442.93,5.616
2020-03-24,,1.0,988842.07,5.578
2020-03-31,,1.0,996391.48,4.857
2020-06-02,,1.0,996391.48,4.857
2020-06-09,,1.0,996391.48,4.857
2020-06-22,,1.0,996391.48,4.857
2020-07-22,,1.0,996391.48,4.857
2020-07-23,,1.0,996391.48,4.857
2020-07-27,,1.0,927363.61,11.448
2020-08-12,,1.0,1290334.79,0.0
2020-08-13,,1.0,1364565.96,0.0
2020-08-17,,1.0,1364565.96,0.0
2020-08-24,,1.0,1364565.96,0.0
2020-08-26,,1.0,1364565.96,0.0
2020-08-27,,1.0,1359352.41,0.382
2020-08-28,,1.0,1342888.63,1.589
2020-09-07,,1.0,1385686.34,0.0
2020-09-16,,1.0,1453860.49,0.0
2020-10-22,,1.0,1446530.63,0.504
2020-10-30,,1.0,1446530.63,0.504
2020-11-03,,1.0,1429549.62,1.672
2020-11-04,,1.0,1429549.62,1.672
