month,equity,cum_R,n_open,cap_month_end,b200_month_end
2017-03,997635.47,-0.2365,0,1.0,
2017-04,985951.93,-1.4076,0,1.0,
2017-06,985951.93,-1.4076,4,1.0,
2017-07,957657.58,-4.3015,4,1.0,
2017-08,981539.15,-1.8821,1,1.0,
2017-09,981539.15,-1.8821,2,1.0,
2017-10,985836.98,-1.4028,2,1.0,
2017-11,1037439.97,3.8546,1,1.0,
2017-12,1035895.75,3.7065,0,1.0,
2018-03,1035895.75,3.7065,1,1.0,
2018-05,1047257.19,4.8033,0,1.0,
2018-06,1035256.66,3.6574,0,1.0,
2018-07,1027518.31,2.9087,0,1.0,
2019-02,1027518.31,2.9087,1,1.0,
2019-04,1046624.44,4.7681,0,1.0,
2019-07,1046624.44,4.7681,1,1.0,
2019-08,1037878.15,3.9325,1,1.0,
2019-09,1037013.26,3.8491,0,1.0,
2019-10,1009173.44,1.1645,0,1.0,
2019-11,966791.71,-3.0351,1,1.0,
2019-12,966791.71,-3.0351,3,1.0,
2020-01,953740.02,-4.3851,6,1.0,
2020-02,855291.53,-14.7326,4,1.0,
2020-03,996391.48,-0.5066,0,1.0,
2020-06,996391.48,-0.5066,4,1.0,
2020-07,927363.61,-7.4344,4,1.0,
2020-08,1342888.63,34.8556,3,1.0,
2020-09,1453860.49,45.9929,1,1.0,
2020-10,1446530.63,45.4558,2,1.0,
2020-11,1397292.98,42.0413,3,1.0,
2020-12,1403091.0,42.358,5,1.0,
2021-01,1375263.03,40.3747,5,1.0,
2021-02,1970315.25,86.8608,0,1.0,
2021-03,1937476.67,85.1941,1,1.0,
2021-04,1911056.53,83.8305,0,1.0,
2021-05,1911056.53,83.8305,1,1.0,
2021-06,1856355.44,80.9681,2,0.4,44.99
2021-07,1842829.25,79.1406,0,0.4,44.34
2021-08,1843252.56,79.1981,1,0.4,55.5
2021-09,1832454.3,77.7335,1,0.4,50.26
2021-10,1830772.96,77.5055,1,0.4,41.93
2021-12,1809785.57,69.5522,1,0.2,69.69
2022-01,1805423.49,68.3471,0,0.2,37.94
2022-03,1783998.27,65.7899,0,0.7,34.81
2022-05,1762080.58,64.5613,1,0.7,24.25
2022-06,1754771.21,63.8206,0,0.7,37.5
2022-08,1752974.93,63.5007,0,0.4,34.82
2022-09,1738312.07,62.007,0,0.7,18.26
2023-03,1736573.76,61.382,1,0.4,54.63
2023-04,1736573.76,61.382,4,0.4,40.95
2023-05,1753074.59,66.5507,1,0.4,44.18
2023-06,1749156.72,65.8508,0,0.4,50.83
2023-07,1747806.72,65.6096,3,0.4,56.86
2023-08,1743385.17,64.8229,2,0.7,38.96
2023-09,1732880.29,63.7432,1,0.7,37.66
2023-10,1724760.13,62.9071,0,0.7,34.45
2023-11,1707282.56,59.7405,0,0.4,44.28
2023-12,1689224.18,57.8513,5,0.7,38.04
2024-01,1645408.87,53.1761,1,1.0,7.7
2024-02,1640266.97,52.7855,2,1.0,14.32
2024-03,1641187.82,52.8556,2,0.7,21.36
2024-04,1641187.82,52.8556,3,1.0,24.18
2024-05,2415725.23,112.3395,3,0.7,25.55
2024-06,2471810.11,123.7818,0,0.7,17.12
2024-07,2351769.69,118.9059,0,1.0,17.16
2024-09,2351769.69,118.9059,2,1.0,77.97
2024-10,2351769.69,118.9059,2,0.2,83.12
2024-11,2507574.43,125.5309,1,0.1,90.15
2024-12,2994875.31,146.2515,1,0.1,77.25
2025-01,2965234.03,138.3349,0,0.2,68.99
2025-02,2963575.96,138.0553,2,0.2,78.96
2025-03,2933653.89,132.9976,2,0.2,78.48
2025-04,2917291.2,130.2168,1,0.4,62.3
2025-05,2905989.4,128.8892,2,0.2,69.4
2025-06,2907129.98,129.0854,2,0.2,76.6
2025-07,2907129.98,129.0854,2,0.2,77.21
2025-08,2907129.98,129.0854,2,0.2,86.62
2025-09,3049185.95,153.5177,1,0.2,78.54
2025-10,3049185.95,153.5177,2,0.2,80.55
2025-11,3253950.94,188.933,1,0.2,72.4
2025-12,3250766.22,188.4437,1,0.2,64.09
2026-01,3240554.28,186.873,2,0.2,74.75
2026-02,3242622.95,187.1911,2,0.2,76.38
2026-03,3221808.51,183.9786,0,0.4,44.07
2026-04,3189949.94,181.5007,1,0.4,50.62
2026-05,3200564.08,182.3262,2,0.4,36.71
2026-06,3052584.52,175.3281,2,0.7,28.39
2026-07,2997864.55,173.5595,0,0.7,14.49
