symbol,module,signal_date,entry_date,entry_price,stop_price,exit_date,exit_price,r_net,risk_budget,shares,deesc_factor,cap,pnl,entry_reason,exit_reason
518850.SS,A,2023-04-26,2023-04-27,4.353,4.335,2023-05-04,4.4,2.0555555555555975,5557.04,308724.2234793246,0.8,0.4,11422.8,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,structure_stop_C
518850.SS,A,2023-07-19,2023-07-20,4.495,4.411,2023-08-11,4.418,-1.0357142857142767,5592.98,66583.11313197756,0.8,0.4,-5792.73,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis
518850.SS,A,2023-08-23,2023-08-24,4.568,4.446,2023-10-09,4.476,-0.8360655737704898,9712.35,79609.38786717676,0.8,0.7,-8120.16,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis
518850.SS,A,2023-11-15,2023-11-16,4.582,4.564,2023-11-21,4.535,-3.1666666666667003,5519.23,306624.0237036796,0.8,0.4,-17477.57,SMA60 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,structure_stop_C
518850.SS,A,2023-12-08,2023-12-11,4.573,4.593,2023-12-11,4.573,0.0,9560.78,,0.8,0.7,0.0,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,invalid_nonpositive_risk
518850.SS,A,2023-12-21,2023-12-22,4.641,4.577,2024-01-23,4.645,-0.09375000000000014,5461.94,85342.78726748197,0.8,0.4,-512.06,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis
518850.SS,A,2024-02-02,2024-02-05,4.669,4.674,2024-02-05,4.669,0.0,13122.14,,0.8,1.0,0.0,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,invalid_nonpositive_risk
518850.SS,A,2024-02-27,2024-02-28,4.66,4.649,2024-05-10,5.341,60.999999999999375,13122.14,1192921.4310871,0.8,1.0,800450.28,SMA60 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=EMA20收复,exit_a6_1_costbasis
518850.SS,A,2024-09-06,2024-09-09,5.517,5.485,2024-11-14,5.739,6.624999999999979,23517.7,734928.0278940088,1.0,1.0,155804.74,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis
518850.SS,A,2025-03-06,2025-03-07,6.549,6.539,2025-03-12,6.544,-1.499999999999969,5884.96,588496.2658062235,1.0,0.2,-8827.44,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,structure_stop_C
