date,hold,b9,gold,gold_5,gold_10,gold_15,gold_20,gold_rebal_10,gold_gated_ref
2015-06-16,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2015-06-17,1.017599,1.000000,0.997044,0.999852,0.999704,0.999557,0.999409,0.999704,1.000000
2015-06-18,0.973459,1.000000,0.996622,0.999831,0.999662,0.999493,0.999324,0.999662,1.000000
2015-06-19,0.912407,1.000000,0.998311,0.999916,0.999831,0.999747,0.999662,0.999831,1.000000
2015-06-23,0.935570,1.000000,0.994088,0.999704,0.999409,0.999113,0.998818,0.999409,1.000000
2015-06-24,0.953990,1.000000,0.997889,0.999894,0.999789,0.999683,0.999578,0.999789,1.000000
2015-06-25,0.919308,1.000000,0.996199,0.999810,0.999620,0.999430,0.999240,0.999620,1.000000
2015-06-26,0.843415,1.000000,0.993666,0.999683,0.999367,0.999050,0.998733,0.999367,1.000000
2015-06-29,0.804411,1.000000,0.994510,0.999726,0.999451,0.999177,0.998902,0.999451,1.000000
2015-06-30,0.853266,1.000000,0.990709,0.999535,0.999071,0.998606,0.998142,0.999071,1.000000
2015-07-01,0.810552,1.000000,0.991976,0.999599,0.999198,0.998796,0.998395,0.999199,1.000000
2015-07-02,0.773094,1.000000,0.983953,0.999198,0.998395,0.997593,0.996791,0.998390,1.000000
2015-07-03,0.733395,1.000000,0.976351,0.998818,0.997635,0.996453,0.995270,0.997623,1.000000
2015-07-06,0.735267,0.999500,0.983953,0.998723,0.997945,0.997168,0.996391,0.997940,1.003893
2015-07-07,0.702784,0.977422,0.976774,0.977390,0.977357,0.977325,0.977292,0.977364,1.000230
2015-07-08,0.668508,0.953587,0.944257,0.953120,0.952654,0.952187,0.951721,0.952653,0.983582
2015-07-09,0.707783,0.981599,0.977618,0.981400,0.981201,0.981002,0.980803,0.981205,1.000957
2015-07-10,0.747736,1.009303,0.971706,1.007423,1.005543,1.003664,1.001784,1.005520,0.997930
2015-07-13,0.776114,1.027941,0.975507,1.025320,1.022698,1.020076,1.017454,1.022662,1.001834
2015-07-14,0.766167,1.014767,0.975084,1.012783,1.010798,1.008814,1.006830,1.010773,1.001400
2015-07-15,0.730307,0.967272,0.974240,0.967620,0.967969,0.968317,0.968665,0.967982,1.000533
2015-07-16,0.738723,0.978418,0.970861,0.978041,0.977663,0.977285,0.976907,0.977664,0.997063
2015-07-17,0.774034,1.025186,0.970861,1.022470,1.019754,1.017038,1.014321,1.019716,0.997063
2015-07-20,0.777745,1.029072,0.947213,1.024979,1.020886,1.016793,1.012700,1.020825,0.997063
2015-07-21,0.783829,1.029072,0.940034,1.024620,1.020168,1.015716,1.011264,1.020101,0.997063
2015-07-22,0.782471,1.029072,0.930743,1.024155,1.019239,1.014322,1.009406,1.019164,0.997063
2015-07-23,0.802796,1.029072,0.932855,1.024261,1.019450,1.014639,1.009828,1.019377,0.997063
