symbol,is_etf,gated,n,cum_R,win,avg_hold_d,final,cagr,max_dd,bh_cagr,bh_dd,dd_improve,span
000568.SZ,False,False,3,-1.5,0.0,20.0,984853,-0.0015,-0.0257,0.3797,-0.7811,75.5,2016-08-25→2026-08-25
000596.SZ,False,False,3,-0.6,0.0,7.0,994077,-0.0006,-0.0158,0.1771,-0.7454,73.0,2016-08-25→2026-08-25
000625.SZ,False,False,5,0.7,0.4,24.0,1006518,0.0006,-0.0415,0.009,-0.7612,72.0,2016-08-25→2026-08-25
000661.SZ,False,False,6,1.6,0.33,23.0,1016174,0.0016,-0.0354,0.0727,-0.8769,84.2,2016-08-25→2026-08-25
000725.SZ,False,False,3,-0.6,0.33,15.0,993929,-0.0006,-0.0235,0.1225,-0.6692,64.6,2016-08-25→2026-08-25
000768.SZ,False,False,3,-2.2,0.67,34.0,977501,-0.0023,-0.0499,-0.0087,-0.5444,49.5,2016-08-25→2026-08-25
000858.SZ,False,False,2,-1.0,0.0,16.0,990389,-0.001,-0.0193,0.3435,-0.7861,76.7,2016-08-25→2026-08-25
002008.SZ,False,False,3,-0.4,0.33,20.0,995539,-0.0004,-0.0183,0.1531,-0.7581,74.0,2016-08-25→2026-08-25
002049.SZ,False,False,3,3.6,0.33,18.0,1036200,0.0036,-0.0455,0.0933,-0.7403,69.5,2016-08-25→2026-08-25
002050.SZ,False,False,3,2.0,0.33,42.0,1019348,0.0019,-0.0344,0.2648,-0.5859,55.1,2016-08-25→2026-08-25
002179.SZ,False,False,4,0.5,0.5,23.0,1004975,0.0005,-0.032,0.1225,-0.4773,44.5,2016-08-25→2026-08-25
002230.SZ,False,False,2,0.3,0.5,43.0,1002473,0.0002,-0.0419,0.0709,-0.5911,54.9,2016-08-25→2026-08-25
002241.SZ,False,False,3,-0.4,0.33,24.0,996104,-0.0004,-0.0264,0.0559,-0.7573,73.1,2016-08-25→2026-08-25
002281.SZ,False,False,2,0.6,0.5,50.0,1005585,0.0006,-0.0335,0.2426,-0.6334,60.0,2016-08-25→2026-08-25
002304.SZ,False,False,4,-0.5,0.25,22.0,994498,-0.0006,-0.028,-0.0002,-0.8452,81.7,2016-08-25→2026-08-25
002326.SZ,False,False,3,-0.6,0.33,3.0,994153,-0.0006,-0.019,0.0174,-0.9049,88.6,2016-09-01→2026-08-25
002371.SZ,False,False,1,13.5,1.0,126.0,1134610,0.0127,-0.0784,0.3821,-0.5388,46.0,2016-08-25→2026-08-25
002384.SZ,False,False,2,5.7,0.5,46.0,1057046,0.0056,-0.0329,0.3321,-0.6786,64.6,2016-08-25→2026-08-25
002410.SZ,False,False,2,-0.6,0.0,24.0,993765,-0.0006,-0.0176,-0.0132,-0.8751,85.8,2016-08-25→2026-08-25
002415.SZ,False,False,5,-1.6,0.2,15.0,984049,-0.0016,-0.0391,0.1381,-0.6421,60.3,2016-08-25→2026-08-25
002460.SZ,False,False,4,-2.5,0.0,5.0,974837,-0.0025,-0.0367,0.155,-0.8385,80.2,2016-08-25→2026-08-25
002466.SZ,False,False,3,-0.2,0.33,29.0,997582,-0.0002,-0.0195,0.068,-0.8265,80.7,2016-08-25→2026-08-25
002475.SZ,False,False,5,-2.6,0.0,8.0,974593,-0.0026,-0.0408,0.2836,-0.6027,56.2,2016-08-25→2026-08-25
002555.SZ,False,False,9,-0.7,0.33,25.0,992217,-0.0008,-0.0458,0.0138,-0.8313,78.6,2016-08-24→2026-08-24
002594.SZ,False,False,6,1.8,0.33,16.0,1016506,0.0016,-0.0475,0.1911,-0.5649,51.7,2016-08-25→2026-08-25
002747.SZ,False,False,1,1.7,1.0,85.0,1017021,0.0017,-0.0179,0.1134,-0.724,70.6,2016-08-25→2026-08-25
002812.SZ,False,False,7,-4.2,0.0,11.0,959095,-0.0042,-0.05,0.2342,-0.9205,87.0,2016-09-14→2026-08-25
