,0
2020-01-02,1000000.0
2020-01-03,1000000.0
2020-01-10,1000000.0
2020-01-13,1000000.0
2020-01-14,1000000.0
2020-01-16,960000.0
2020-01-21,960000.0
2020-01-23,939733.14
2020-02-03,843061.93
2020-02-04,825090.15
2020-02-05,813508.13
2020-02-11,813508.13
2020-02-12,813107.63
2020-02-17,811089.31
2020-02-18,811089.31
2020-02-21,811089.31
2020-02-24,809818.54
2020-03-02,801445.32
2020-03-05,801445.32
2020-03-10,791614.26
2020-03-11,791614.26
2020-03-13,782044.52
2020-03-20,787259.57
2020-03-24,787637.48
2020-03-31,794785.52
2020-05-11,794785.52
2020-05-13,794785.52
2020-05-25,780542.97
2020-05-27,780542.97
2020-06-01,780542.97
2020-06-02,780542.97
2020-06-09,780542.97
2020-06-22,780542.97
2020-07-02,778214.57
2020-07-03,779740.9
2020-07-22,779740.9
2020-07-23,779740.9
2020-07-27,745168.87
2020-08-12,927146.89
2020-08-13,1000671.78
2020-08-17,1000671.78
2020-08-24,1000671.78
2020-08-26,1000671.78
2020-08-27,996848.55
2020-08-28,984775.23
2020-09-07,1006232.14
2020-09-16,1056186.89
2020-10-15,1056186.89
2020-10-22,1050811.72
2020-10-30,1050811.72
2020-11-03,1038476.1
2020-11-04,1038476.1
2020-11-05,1038476.1
2020-11-10,1038476.1
2020-11-12,1031178.7
2020-11-16,1015043.72
2020-11-18,1015043.72
2020-11-20,1019859.22
2020-11-24,1019859.22
2020-11-27,1007421.91
2020-12-03,1007421.91
2020-12-04,973841.18
2020-12-07,973841.18
2020-12-10,961774.26
2020-12-15,961774.26
2020-12-16,961774.26
2020-12-21,953707.77
2020-12-23,951658.14
2020-12-25,951658.14
2020-12-29,937498.45
2020-12-31,937498.45
2021-01-25,1470836.35
2021-01-27,1441664.76
2021-01-29,1424181.23
2021-02-02,1011493.12
2021-02-03,1424181.23
2021-02-04,1424181.23
2021-02-24,1024880.95
2021-02-25,1405442.01
2021-03-10,1385503.47
2021-03-12,1385503.47
2021-03-22,1373627.73
2021-03-31,1373627.73
2021-04-06,1354896.44
2021-04-08,1354896.44
2021-04-12,1350964.52
2021-04-20,1350964.52
2021-04-21,1344346.03
2021-04-29,1344346.03
2021-05-13,1344346.03
2021-05-18,1344346.03
2021-05-25,1344346.03
2021-05-27,1344346.03
2021-06-09,1340937.83
2021-06-15,1330911.73
2021-06-16,1297205.83
2021-06-21,1297205.83
2021-06-22,1297205.83
2021-06-28,1307179.85
2021-06-29,1304077.51
2021-06-30,1304077.51
2021-07-05,1257710.31
2021-07-06,1257710.31
2021-07-19,1257710.31
2021-07-22,1246929.93
2021-07-26,1208919.13
2021-07-27,1210393.9
2021-07-29,1221603.92
2021-08-02,1221603.92
2021-08-03,1221603.92
2021-08-17,1221603.92
2021-08-18,1219021.83
2021-08-19,1222165.13
2021-08-25,1222165.13
2021-09-01,1222165.13
2021-09-02,1222165.13
2021-09-16,1217029.44
2021-09-27,1263547.57
2021-09-29,1263547.57
2021-09-30,1259912.41
2021-10-08,1257682.8
2021-10-11,1257682.8
2021-10-19,1252883.22
2021-11-02,1251391.91
2021-11-30,1268095.08
2021-12-02,1291402.75
2021-12-09,1291402.75
2021-12-10,1291402.75
2021-12-14,1272462.18
2021-12-17,1272462.18
2021-12-20,1242994.63
2021-12-21,1158844.64
2021-12-24,1158844.64
2021-12-29,1158844.64
2021-12-30,1149203.06
2021-12-31,1149203.06
2022-01-07,1124834.21
2022-01-11,1115970.56
2022-01-17,1107910.77
2022-01-20,1107910.77
2022-01-28,1100405.57
2022-02-09,1100405.57
2022-02-24,1095157.48
2022-03-02,1095157.48
2022-03-03,1096485.22
2022-03-04,1096485.22
2022-03-08,1083327.4
2022-03-09,1067976.61
2022-03-14,1067976.61
2022-03-18,1067976.61
2022-03-21,1064306.39
2022-03-24,1060330.01
2022-03-30,1060330.01
2022-03-31,1059551.36
2022-04-01,1059551.36
2022-04-12,1054541.2
2022-04-15,1054541.2
