signal_date,symbol,rr,r_net,r_gross,hold,stage,module,date,weekday,vol20,hold_b
2024-06-12,159611.SZ,0.3158,-2.0000,-1.4737,3,4,A,2024-06-12,2,10.4546,1-5
2024-07-09,159611.SZ,,-1.7333,-1.4000,6,4,A,2024-07-09,1,8.3584,6-10
2024-07-15,159611.SZ,1.2381,-1.4211,-0.8947,11,4,A,2024-07-15,0,9.2960,11-20
2024-07-16,159611.SZ,0.8800,-1.3333,-0.9167,10,4,A,2024-07-16,1,9.5676,6-10
2024-07-18,159611.SZ,0.8889,-1.1538,-0.7692,8,4,A,2024-07-18,3,9.3140,6-10
2024-07-19,159611.SZ,0.6452,-1.1250,-0.8125,7,4,A,2024-07-19,4,9.4202,6-10
2024-07-29,159611.SZ,1.0909,-3.0000,-1.8889,1,1,A,2024-07-29,0,11.9275,1-5
2025-09-09,159611.SZ,0.1818,-2.5000,-1.6667,7,4,A,2025-09-09,1,18.9145,6-10
2026-04-20,159611.SZ,5.9412,1.4444,2.0000,32,1,A,2026-04-20,0,22.7948,21-40
2026-05-25,159611.SZ,1.0800,-0.6739,-0.4565,10,4,A,2026-05-25,0,15.5261,6-10
2026-05-26,159611.SZ,1.6364,-1.0833,-0.6667,9,4,A,2026-05-26,1,15.5107,6-10
2026-05-27,159611.SZ,1.3667,-1.5806,-1.2581,8,4,A,2026-05-27,2,15.7905,6-10
2026-05-28,159819.SZ,0.4865,-1.6026,-1.4744,2,4,A,2026-05-28,3,15.7850,1-5
2026-01-23,159825.SZ,0.4667,-2.6923,-1.9231,6,4,A,2026-01-23,4,10.8430,6-10
2026-02-04,159825.SZ,1.1154,-1.1304,-0.6957,1,1,A,2026-02-04,2,11.7956,1-5
2026-02-04,159825.SZ,1.1154,-1.1304,-0.6957,1,1,A,2026-02-04,2,11.7956,1-5
2026-02-26,159825.SZ,1.0000,-3.0000,-2.3333,17,4,A,2026-02-26,3,14.0449,11-20
2026-02-26,159825.SZ,1.0000,-3.0000,-2.3333,17,4,A,2026-02-26,3,14.0449,11-20
2026-03-02,159825.SZ,0.0909,-2.9091,-2.4545,15,4,A,2026-03-02,0,14.0655,11-20
2020-03-02,159901.SZ,0.8491,-1.1986,-1.1301,9,4,A,2020-03-02,0,24.4379,6-10
2020-03-02,159901.SZ,0.8491,-1.1986,-1.1301,9,4,A,2020-03-02,0,24.4379,6-10
2020-03-06,159901.SZ,1.6190,0.0000,0.0000,0,4,A,2020-03-06,4,24.3542,
2020-11-27,159901.SZ,0.9506,-0.4026,-0.2727,8,4,A,2020-11-27,4,14.4449,6-10
2020-12-04,159901.SZ,1.1591,-3.2308,-2.9744,3,4,A,2020-12-04,4,15.1051,1-5
2020-12-16,159901.SZ,1.1579,7.9636,8.1455,44,4,A,2020-12-16,2,14.1905,40+
2020-12-28,159901.SZ,,3.6582,3.7848,36,4,A,2020-12-28,0,14.5749,21-40
2026-01-21,159901.SZ,2.6970,-0.9048,-0.6667,4,4,A,2026-01-21,2,10.6819,1-5
2026-01-21,159901.SZ,2.6970,-0.9048,-0.6667,4,4,A,2026-01-21,2,10.6819,1-5
2026-06-18,159901.SZ,0.3835,-0.9662,-0.8986,5,4,A,2026-06-18,3,19.7598,1-5
2020-06-08,159915.SZ,1.2727,36.4286,37.1429,44,4,A,2020-06-08,0,15.2914,40+
2020-11-03,159915.SZ,0.6076,-0.7027,-0.5676,6,4,A,2020-11-03,1,17.0567,6-10
2020-11-05,159915.SZ,0.1148,-1.5781,-1.4219,4,4,A,2020-11-05,3,17.6616,1-5
2020-11-13,159915.SZ,4.0345,-1.8333,-1.5556,2,1,A,2020-11-13,4,15.3278,1-5
2020-12-30,159915.SZ,0.1134,1.7850,1.8785,32,4,A,2020-12-30,2,13.4851,21-40
2021-02-03,159915.SZ,2.4217,-1.3433,-1.1940,8,4,A,2021-02-03,2,22.8581,6-10
2021-07-12,159915.SZ,,-0.8973,-0.8432,10,4,A,2021-07-12,0,16.8239,6-10
2026-02-04,159915.SZ,0.9062,-2.0645,-1.7419,1,1,A,2026-02-04,2,11.7956,1-5
2026-02-09,159915.SZ,0.4104,-0.4071,-0.3357,2,1,A,2026-02-09,0,12.9043,1-5
2026-03-10,159915.SZ,0.2857,-0.0985,-0.0493,5,4,A,2026-03-10,1,14.5241,1-5
2026-03-11,159915.SZ,0.2048,-0.6477,-0.5341,4,4,A,2026-03-11,2,14.1041,1-5
2026-03-11,159915.SZ,0.2048,-0.6477,-0.5341,4,4,A,2026-03-11,2,14.1041,1-5
2026-05-26,159915.SZ,0.3525,-1.3577,-1.2847,9,4,A,2026-05-26,1,15.5107,6-10
2019-08-22,159928.SZ,0.6667,-0.0833,0.7500,23,4,A,2019-08-22,3,16.6487,21-40
