,S0_bh,S1_dca,v1_hedge0
2021-06-30,1022820.9368898929,1000156.9462637204,1000000.0
2021-07-31,941984.6339110241,997169.6646045613,1000000.0
2021-08-31,940896.0349705281,996706.0678887183,1000000.0
2021-09-30,952794.2647572065,997598.7247219477,1000000.0
2021-10-31,961093.8527226055,998514.9590453126,1000000.0
2021-11-30,946068.8378496468,995792.505131938,1000000.0
2021-12-31,967280.8538952075,999840.2936384572,1000000.0
2022-01-31,893545.8968824869,981235.1865395425,991347.999487269
2022-02-28,897046.6431155921,982037.4022739963,993273.009343338
2022-03-31,826747.8212477819,960411.7255300216,964941.4341641766
2022-04-30,786344.3540965734,945606.9880906406,931483.8836851068
2022-05-31,801083.5138520637,952047.2260878922,946600.5367645579
2022-06-30,878125.383833305,986534.1355306862,1025615.5715710568
2022-07-31,816468.7844895029,956661.3115769511,962379.8486532838
2022-08-31,798600.8817359689,946965.1010529457,944054.3204913455
2022-09-30,744963.8889753877,916104.5190240294,888375.6474091263
2022-10-31,686972.5004528232,879971.4121419352,824085.7183951181
2022-11-30,754391.234116552,923283.4785574988,898826.9120771586
2022-12-31,758030.9920848646,925401.5346568229,902861.9901701746
2023-01-31,813876.509314653,966549.3132315364,964772.9812659762
2023-02-28,796764.360501823,953429.2346883528,945802.2537065573
2023-03-31,793136.3500040914,950759.7960308463,941780.1989963052
2023-04-30,788860.2707126475,946805.6319983874,937039.6876702445
2023-05-31,743720.6150055769,905577.3242565425,886997.3393999465
2023-06-30,752317.8055590249,913234.4097481837,896528.2850193296
2023-07-31,786029.1303026528,947386.8397696747,933901.0524241439
2023-08-31,737206.6425684732,896733.4054534334,879775.8736573622
2023-09-30,722375.4609600994,880441.941366606,863333.8529179344
2023-10-31,699465.9354156001,854738.4828030377,838734.5663397561
2023-11-30,684525.1107484711,836834.4135667126,821486.4278440243
2023-12-31,671781.0630799689,821498.2904644598,806774.3149533523
2024-01-31,629537.1588710877,769839.6519624555,757779.1110099849
2024-02-29,688417.4393342728,841842.351057319,827192.3959724408
2024-03-31,692607.3705081237,846966.0758623935,832131.8576097785
2024-04-30,705707.7581175796,862986.0958019982,847575.7537852114
2024-05-31,700916.74803234,857127.331971149,841927.6871372837
2024-06-30,677762.4835174053,828812.7667632928,814597.1507944993
2024-07-31,673928.8922845082,824124.7979930424,810033.7784637227
2024-08-31,650306.6868581015,795238.0037064888,781914.7349648359
2024-09-30,786659.5778904939,961979.3321527521,944224.4264152688
2024-10-31,761831.2988177825,931617.6712867938,914669.7152168119
2024-11-30,766831.8054617149,937732.6213578968,920622.1426595103
2024-12-31,770420.6577241768,942121.3071371967,924894.1863174845
2025-01-31,747350.583415072,913909.6952782277,897472.9134038722
2025-02-28,761637.4655531979,931380.639157961,914554.9655035349
2025-03-31,761100.9977300039,930724.6108417972,913913.5399484701
2025-04-30,738244.3358031185,902773.9737509371,886677.7252967245
2025-05-31,751883.1491475321,919452.4162706331,903022.7117726869
2025-06-30,770649.7334005041,942401.4360167264,925512.9063423253
2025-07-31,797964.5604128373,975803.8120707431,958247.4607962662
2025-08-31,880425.930155396,1076643.0259096804,1057070.5723966267
2025-09-30,908606.154167188,1111103.6666196983,1090842.2333711497
2025-10-31,908602.2383436611,1111098.878091843,1090837.5405814638
2025-11-30,886280.0863282062,1083801.8750532193,1064086.2929770355
2025-12-31,906501.3990214452,1108529.832897523,1088319.8589149828
2026-01-31,921459.8448944454,1126822.0093044247,1106246.315515091
2026-02-28,922303.7048645059,1127853.9370572225,1107257.6116924006
2026-03-31,871280.524308173,1065459.4191038378,1046108.1343125801
2026-04-30,941228.8799703202,1150996.892181452,1130013.642193562
2026-05-31,957833.9296364083,1171302.6445514692,1149931.9821235456
2026-06-30,974928.4572433671,1192206.962903388,1170437.4680248178
2026-07-31,898329.0753206726,1098536.1752637,1078553.8206859708
2026-08-31,893420.590529624,1092533.7555971944,1072665.920885892
