,S0_bh,S1_dca,v1_hedge0
2002-01-31,927604.3809225202,999975.7094182725,972319.9098949961
2002-02-28,944947.6127138812,1000379.9117364514,981150.7798708763
2002-03-31,997230.8929681598,1001598.2798799204,1007772.5107796465
2002-04-30,1027707.3919979291,1003130.0991531404,1023290.6104907969
2002-05-31,940372.4555639997,997148.4656359772,978821.1899538491
2002-06-30,1086599.823096834,1010290.3954791959,1098001.8428214635
2002-07-31,1031164.1942719766,1004673.6532116923,1054738.8913629702
2002-08-31,1033546.6773679487,1004941.3820974109,1056598.2235779501
2002-09-30,976113.4981844225,997301.5150924955,1011713.8482642586
2002-10-31,930320.9279325228,990657.9279549951,970115.2982334489
2002-11-30,884220.1077963132,983128.8972327888,928236.7301087885
2002-12-31,837924.1639648632,974488.6174495874,886149.6591513213
2003-01-31,916851.3190715793,990721.1578969329,963732.2462124532
2003-02-28,921607.9336656728,991816.9994405301,968407.8292277482
2003-03-31,922599.4961014086,992359.094003695,969382.4998451422
2003-04-30,941416.4052953451,996856.1127712015,987878.8525109154
2003-05-31,987663.7580120271,1009297.934057236,1033338.3558166864
2003-06-30,922128.0104409247,990617.7196450557,968919.0462054779
2003-07-31,928346.1546589016,992270.343132234,975209.3858015124
2003-08-31,894816.0077604263,981454.8889821266,941115.3178579136
2003-09-30,855768.4916272698,968097.1459286292,900964.6480055343
2003-10-31,843979.8316428342,963621.7026248528,888764.7235763292
2003-11-30,867787.9594068537,972842.5180112752,913615.8187169275
2003-12-31,907092.8566010472,988310.032294085,954642.553340744
2004-01-31,972835.116409914,1015332.9315004821,1023264.7973685652
2004-02-29,1026191.1973699315,1037823.5995065212,1078958.2587532417
2004-03-31,1051507.1681640977,1049072.1810626164,1105383.25130277
2004-04-30,941240.2625043108,997952.2845404786,990283.9083043834
2004-05-31,916277.3365283813,986175.7386888204,964123.8794048013
2004-06-30,818824.8189163372,938282.9428551488,861998.0036350166
2004-07-31,826562.9539431529,941812.0654311492,870109.5907089035
2004-08-31,801730.6165881627,928618.6936072938,844023.2549567366
2004-09-30,842238.9031090344,951151.0445156174,886619.079865907
2004-10-31,797424.9882780104,925341.2443556364,839495.7420606106
2004-11-30,806926.8289236736,930834.5121659113,849487.2468913312
2004-12-31,759236.1682511461,901431.4156116409,799334.138100682
2005-01-31,724978.6731034861,879430.9536370568,763286.5365759977
2005-02-28,789597.2633833411,921664.2990785176,831297.8116374342
2005-03-31,715354.5954347346,871394.0874691354,753158.0626165807
2005-04-30,707908.0070965274,865633.2732090473,745319.2242637859
2005-05-31,649865.1612698955,824071.219764765,684215.5921730805
2005-06-30,667130.1917359265,836783.8686580019,702391.5923256166
2005-07-31,674326.2321386109,842933.9770551795,709969.1395558312
2005-08-31,704507.3882989305,866531.4817435488,741744.2172451519
2005-09-30,696517.1868642555,859650.7358846142,733332.0387987237
2005-10-31,665304.9879874508,833501.2722682192,700471.4671593604
2005-11-30,663439.5447220578,831850.3667743223,698507.7220278028
2005-12-31,701117.3988076891,865180.144255911,738176.2906550288
2006-01-31,766522.5577578522,924336.5939008228,807037.1400678569
2006-02-28,799483.2775301393,954863.6285187743,841739.3439491643
2006-03-31,805616.3872972721,961063.6590719095,848196.4974044242
2006-04-30,890088.2441407263,1042569.5342542385,937131.436285183
2006-05-31,1036699.7851746957,1186085.710852331,1091489.2180163693
2006-06-30,1058347.1268038724,1208154.6938845469,1114280.2998827188
2006-07-31,982700.6311801694,1131160.3016429706,1034637.0113812546
2006-08-31,1016384.9030207997,1166407.783083416,1070101.6428849648
2006-09-30,1065409.5416409445,1217927.652022696,1121716.9041359236
2006-10-31,1111880.8690272607,1267242.4842714076,1170643.928816487
2006-11-30,1301602.5989306981,1471363.180160762,1370391.1769262545
2006-12-31,1549636.703500497,1741362.6052380744,1631532.216755503
2007-01-31,1811032.6053953476,2028047.4096645045,1906741.135086798
2007-02-28,1931930.335882987,2161831.341813922,2034027.498013772
2007-03-31,2112031.0250623464,2362585.8387678154,2223645.2980652447
2007-04-30,2701900.5850808676,3022432.901941911,2844685.499508633
2007-05-31,2982243.2255544257,3336033.196883627,3139842.3642015713
2007-06-30,2857824.1577184373,3196854.025624378,3008848.5849161395
2007-07-31,3386621.519599005,3788383.763555161,3565590.3532378664
2007-08-31,4021532.006062858,4498615.055806375,4234052.497771167
2007-09-30,4237155.077846183,4739817.959486194,4461070.107415493
2007-10-31,4318947.590251879,4831313.694744739,4547185.068006928
