,S0_bh,S1_dca,v1_hedge50
1999-03-31,1025770.7432899774,1000326.2081190615,1000000.0
1999-04-30,1050209.060206764,1000484.9536445759,1000000.0
1999-05-31,1017217.9253559824,999267.0869107376,1000000.0
1999-06-30,1126576.477302228,1005331.970446547,1000000.0
1999-07-31,1106415.0118799617,1003430.1431727561,1000000.0
1999-08-31,1166898.434586211,1008565.5668169929,1000000.0
1999-09-30,1176674.04457054,1008922.0526632742,1000000.0
1999-10-31,1285421.5545136367,1021130.8619457283,1000000.0
1999-11-30,1436934.5702147805,1039074.1447005335,1000000.0
1999-12-31,1786394.040998595,1085656.2029159735,1000000.0
2000-01-31,1753403.0831588225,1080749.8798319986,1000000.0
2000-02-29,2086976.966454341,1131562.6775900866,1000000.0
2000-03-31,2140739.635169988,1139464.255147668,1000000.0
2000-04-30,1852374.8946120858,1092247.0848437177,1000000.0
2000-05-31,1625105.1497966086,1052523.9879518596,1000000.0
2000-06-30,1826715.3787440464,1089596.0324105388,1000000.0
2000-07-31,1748514.747133631,1073517.640243235,1000000.0
2000-08-31,1986782.893983771,1123122.8674405213,1000000.0
2000-09-30,1735073.7701854536,1068935.8551825169,1000000.0
2000-10-31,1597306.4558845211,1038264.3336866868,1000000.0
2000-11-30,1231353.010774397,951383.3668506814,1000000.0
2000-12-31,1141238.741707163,928251.006536801,1000000.0
2001-01-31,1257073.7724515584,958474.3464298283,1000000.0
2001-02-28,927653.9835158021,867260.5282429435,1000000.0
2001-03-31,765387.5490164837,819526.3423197116,949258.2118050967
2001-04-30,902238.6543347108,862818.7099723346,1029585.4694640707
2001-05-31,874477.3982510316,852832.4070631166,1017990.4597612481
2001-06-30,893441.2956917499,859640.9333285613,1029121.6659900665
2001-07-31,816413.8930491419,831490.4627984734,983909.0240863974
2001-08-31,716121.5352158116,791813.6157271343,925040.5914919333
2001-09-30,566562.9423180479,729854.1418703467,816920.671644503
2001-10-31,662749.7068080882,771482.7881926817,912370.243919029
2001-11-30,775162.9819898037,823436.6102473576,1023921.9640643129
2001-12-31,760695.6067058037,815893.5761349192,1009565.469279255
2002-01-31,752875.7028546702,811414.9871987319,1001805.4985413279
2002-02-28,660403.7356527481,762343.7691206299,910042.2526976508
2002-03-31,704977.5416262267,786120.0315127647,954274.4372125668
2002-04-30,620325.9208029608,737181.1917792258,870271.601242731
2002-05-31,587286.2406829546,717190.0344597396,837485.1430199026
2002-06-30,510258.4397655762,668553.3952121643,761047.6966644595
2002-07-31,466270.85000123107,639425.0773153692,717334.8048575339
2002-08-31,459232.67101869744,634380.8015740383,708464.6831989883
2002-09-30,405079.07348962204,593929.413724785,640215.637597438
2002-10-31,479955.8808780997,652389.4943142163,748380.7755950664
2002-11-30,541929.5150165653,702823.2174115769,836337.2980527827
2002-12-31,476436.7250077045,647469.5550621718,743386.1885154215
2003-01-31,477805.46263497835,647892.0663756732,744897.0476719552
2003-02-28,491881.24531426624,660947.3158430324,765782.0852432803
2003-03-31,493640.8675022161,662235.5562463552,768392.9365432755
2003-04-30,536651.0467274861,704502.7519788418,832209.5803161978
2003-05-31,582398.3471852855,750892.0627107655,897108.883730234
2003-06-30,585526.7512532615,754048.9269649494,907393.9324200589
2003-07-31,621694.1716499598,792515.4855162601,961057.5865878968
2003-08-31,652778.9421863109,827216.8171139958,1007179.8247141645
2003-09-30,633815.3102621061,805492.72628788,979042.4078294481
2003-10-31,687773.708900981,867156.7833535329,1059103.546065098
2003-11-30,691683.7935848044,871846.7549949526,1064905.1606104034
2003-12-31,713076.2820693244,897724.6016838441,1097396.672926868
2004-01-31,725006.5585609913,911918.6628538882,1111930.0057736072
2004-02-29,715227.6296202431,899691.7393016777,1097420.4539434721
2004-03-31,700950.8951929613,881732.8972540776,1076237.2528595028
2004-04-30,680023.6358929073,855408.2957723369,1045186.2906000741
2004-05-31,714836.8778178239,899200.2088375364,1096840.673318797
2004-06-30,738110.3295369792,928476.1084107651,1131372.8144184328
2004-07-31,682370.8018725582,858360.8185150379,1048668.9139673188
2004-08-31,665355.5743774269,836957.1996030606,1023422.455307271
2004-09-30,687260.3327220607,864511.4065686535,1055923.788372866
2004-10-31,721682.1590532742,907810.9541802484,1106997.4055621154
2004-11-30,765099.8176213161,962426.4459981874,1166942.6529005794
2004-12-31,788224.1818181215,991514.8069379289,1201253.584382488
2005-01-31,738466.3871816299,928923.9967589509,1127425.1206922561
2005-02-28,734912.4929007138,924453.5188376919,1122152.0060617875
2005-03-31,722077.867163946,908308.7192323833,1103108.5434825649
2005-04-30,690683.3716145562,868817.2802336876,1056526.7487773504
2005-05-31,751893.3802600945,945813.9409614275,1147347.5123135967
2005-06-30,726895.6643020419,914369.0727579839,1110256.982509562
