,S0_bh,S1_dca,v1_hedge0,v1_hedge50,v1_hedge100,v3_hedge50
1986-10-31,1036106.6708948107,1000169.2511907902,1000000.0,1000000.0,1000000.0,1000000.0
1986-11-30,1058359.3339904184,1000593.7193172957,1000000.0,1000000.0,1000000.0,1000000.0
1986-12-31,1028420.1778314344,999399.0441577672,1000000.0,1000000.0,1000000.0,1000000.0
1987-01-31,1163931.910071064,1005713.3036331491,1000000.0,1000000.0,1000000.0,1000000.0
1987-02-28,1206908.4911573124,1008290.5084850981,1000000.0,1000000.0,1000000.0,1000000.0
1987-03-31,1238758.6434968058,1010428.4242650984,1000000.0,1000000.0,1000000.0,1000000.0
1987-04-30,1224574.5949415155,1009148.731009838,1000000.0,1000000.0,1000000.0,1000000.0
1987-05-31,1231963.918411327,1009972.8230831733,1000000.0,1000000.0,1000000.0,1000000.0
1987-06-30,1290992.8414941344,1016616.2254986288,1000000.0,1000000.0,1000000.0,1000000.0
1987-07-31,1353249.28815223,1024729.1319030358,1000000.0,1000000.0,1000000.0,1000000.0
1987-08-31,1400557.3137025514,1031228.4732079481,1000000.0,1000000.0,1000000.0,1000000.0
1987-09-30,1366711.2132991722,1026356.1854047738,1000000.0,1000000.0,1000000.0,1000000.0
1987-10-31,1069273.2858297818,976767.2110195378,945108.0428415178,945108.0428415178,945108.0428415178,1059104.4632975473
1987-11-30,978012.024131239,959792.6040850019,907118.5764252096,907118.5764252096,907118.5764252096,1011385.5317409392
1987-12-31,1049271.4264481883,973869.4963249315,936781.8379315883,936781.8379315883,936781.8379315883,1048645.8377967519
1988-01-31,1091695.852692142,983215.1562841289,954441.919394735,967708.1862926962,980974.4531906574,1087492.7193129924
1988-02-29,1137347.7377120825,994022.4990224319,973445.5001093538,986711.767007315,999978.0339052762,1111363.2985286582
1988-03-31,1099424.8540968567,984602.1814424362,957659.2827516643,970925.5496496254,984191.8165475867,1091534.0801507463
1988-04-30,1109786.6510939251,987165.6422558259,961972.6039977918,975238.8708957529,988505.1377937142,1096952.0841592804
1988-05-31,1113311.4738613793,988528.5370514351,963439.887417453,976706.1543154141,989972.4212133754,1098795.1528749522
1988-06-30,1161468.888646861,1002335.601083377,983486.4488789027,996850.3178671384,1010214.1868553741,1124098.4290846228
1988-07-31,1155183.7452630377,1000616.7351096061,980870.1225312555,994233.9915194912,1007597.8605077269,1120812.0365739993
1988-08-31,1110593.531987747,986524.3505432124,962308.4855541859,975672.3545424216,989036.2235306574,1097496.587107535
1988-09-30,1154716.6719027208,1001183.830730079,980675.6931818746,994039.5621701103,1007403.431158346,1120567.8120114845
1988-10-31,1184698.2716037424,1011496.1724051298,993156.1800144091,1006520.0490026448,1019883.9179908806,1136244.6707077469
1988-11-30,1162318.2778820216,1003740.9829535906,992308.6156699377,1005672.4846581734,1019036.3536464091,1124542.5599899287
1988-12-31,1179389.9128804936,1010167.7595419553,1003211.3279339398,1016575.1969221755,1029939.0659104112,1133469.0219617393
1989-01-31,1263261.9807078263,1043218.6997470382,1056775.794523703,1064990.824724497,1073205.8549252914,1173108.7235289994
1989-02-28,1226697.938430815,1028375.484017994,1033424.3561763655,1047801.5107337678,1062178.6652911701,1159035.1834827878
1989-03-31,1252220.5686437483,1039060.9126236382,1049724.253254592,1064101.4078119944,1078478.5623693967,1172380.5243383485
1989-04-30,1314944.2182607623,1066129.5376615468,1089782.390860252,1104159.5454176546,1118536.6999750568,1205177.6332906866
1989-05-31,1361148.0637250955,1086641.4056238714,1119290.2401455217,1140475.5282050637,1161660.816264606,1234910.8988736982
1989-06-30,1350361.5721104469,1081420.2786351435,1112401.5025159325,1137880.3761568572,1163359.249797782,1232786.149957241
1989-07-31,1469693.372530201,1137447.5756231188,1188612.1457283935,1214091.0193693181,1239569.8930102428,1295182.679555604
1989-08-31,1492498.1904681036,1148515.2583914394,1203176.3259157138,1228655.1995566385,1254134.0731975632,1307106.923490937
1989-09-30,1482730.7326581648,1143781.4589480408,1196938.3890067958,1222417.2626477205,1247896.1362886452,1301999.6891393657
1989-10-31,1445402.31782867,1125011.0160485972,1173098.7880433425,1198577.6616842672,1224056.535325192,1282481.3081832782
1989-11-30,1469311.1862539593,1137432.1041718312,1188368.0644203357,1213846.9380612604,1239325.811702185,1294982.8409776748
1989-12-31,1500779.152317211,1153976.7992698676,1208464.9197919345,1233943.7934328592,1259422.667073784,1311436.8948757916
1990-01-31,1397499.6938940159,1098455.8402273438,1143589.1017503468,1169067.9753912715,1194546.8490321962,1257433.8566098998
1990-02-28,1409433.003534593,1105011.30840537,1152286.8776431163,1177765.751284041,1203244.6249249657,1263673.577334598
1990-03-31,1443618.7818728753,1124049.6343550903,1177203.7068935048,1202682.5805344295,1228161.4541753542,1281548.7281529426
1990-04-30,1404804.0006811505,1101703.1388219374,1148912.9578640359,1174391.8315049605,1199870.7051458852,1261253.1519950007
1990-05-31,1534030.783934859,1177008.687221092,1243101.8823064512,1262194.432890096,1281286.9834737405,1324242.095179969
1990-06-30,1520398.8254225627,1168880.8131194403,1233166.0201114137,1252258.5706950584,1271351.121278703,1317114.1804095206
1990-07-31,1512457.5415083587,1163924.034287781,1227377.8934418652,1246470.44402551,1265562.9946091545,1312961.820727871
1990-08-31,1369811.341449046,1076307.67204133,1121159.5544113053,1140252.1049949501,1159344.6555785947,1250862.9694649882
1990-09-30,1299698.497960822,1032028.9813951047,1067017.5035778605,1086110.0541615053,1105202.6047451498,1200945.7107121325
1990-10-31,1290992.8414941344,1026318.9727488391,1060079.7129443754,1079172.2635280201,1098264.8141116647,1193886.9891232543
1990-11-30,1368367.4834281546,1076906.1103591453,1121741.8136869483,1140834.364270593,1159926.9148542376,1256623.9070732458
1990-12-31,1402340.9792569478,1099502.7373271172,1148816.2798170636,1168477.7922339982,1188139.3046509326,1284749.1809629055
1991-01-31,1460563.0214459333,1139606.468951525,1195215.1172288987,1214876.6296458333,1234538.1420627676,1331956.7853199774
1991-02-28,1558831.4203380458,1207302.942373796,1273528.0600850848,1269970.393553636,1266412.727022187,1388010.8753398727
1991-03-31,1593441.8932939083,1231516.0140293327,1301110.1517989612,1297552.4852675125,1293994.8187360635,1416073.7438426302
1991-04-30,1593951.474995564,1231691.6338656677,1301516.2522659702,1297958.5857345215,1294400.9192030726,1416486.9229489432
1991-05-31,1655485.9278439127,1276357.4015397832,1350554.8459942557,1346997.179462807,1343439.512931358,1466380.296578206
1991-06-30,1576200.354528684,1218274.4679525355,1287369.8685003992,1283812.2019689505,1280254.5354375015,1402093.9569795404
1991-07-31,1646907.6668026391,1270825.140641229,1343718.580477523,1340160.9139460742,1336603.2474146252,1459424.869765906
1991-08-31,1679267.4008437882,1295304.898608384,1369506.9929415148,1365949.326410066,1362391.6598786172,1485662.7938283433
1991-09-30,1647119.9493121284,1270917.8517509683,1343887.7545784793,1340330.0880470306,1336772.4215155817,1459596.9926998175
1991-10-31,1666612.356590668,1286023.687284749,1359421.8204078178,1355864.1538763691,1352306.4873449202,1475401.8290843833
1991-11-30,1593441.8932939083,1229562.4780316702,1301110.1517989612,1297552.4852675125,1293994.8187360635,1416073.7438426302
1991-12-31,1771250.6563520776,1366766.7176350432,1442811.1223825086,1435602.5458299117,1428393.9692773144,1556530.121718108
1992-01-31,1735960.697927807,1339535.5968063544,1414687.528952323,1410579.7970144905,1406472.0650766576,1531071.2074026493
1992-02-29,1752607.7679073003,1352381.1311820324,1427954.0627996717,1423846.3308618392,1419738.5989240063,1544568.9870020926
1992-03-31,1714345.0767585696,1322856.1327851715,1397461.412270744,1393353.6803329117,1389245.9483950788,1513544.8264354982
1992-04-30,1762162.8136091481,1359754.1805039528,1436370.5045451913,1432262.7726073589,1428155.040669526,1552316.41048893
1992-05-31,1763861.4624808675,1361064.9248271736,1437740.0418715142,1433632.3099336817,1429524.5779958488,1553693.709203692
1992-06-30,1733242.8856527763,1337438.4258898778,1413053.7841386173,1408946.052200785,1404838.320262952,1528867.5504752614
1992-07-31,1801487.046903927,1390098.306599868,1468075.7063811184,1463967.974443286,1459860.242505453,1584201.2908062388
1992-08-31,1758255.8045654523,1356739.378557502,1433220.4746545483,1429112.742716716,1425005.010778883,1549148.5288719365
1992-09-30,1774265.7678192744,1369093.2963090134,1446128.5233008673,1442020.7913630349,1437913.059425202,1562129.7295073322
1992-10-31,1778002.8730962179,1371976.9938221278,1449141.568112178,1445033.8361743456,1440926.1042365127,1565159.8497285026
1992-11-30,1831808.4541384536,1413495.4977830518,1492522.370836434,1488414.6388986015,1484306.9069607686,1608786.4984434245
