symbol,group,module,variant,signal_date,signal_pos,reward_risk,trend_stage,rv_pct,mom_20,mom_121,ivol_60,fwd_20,fwd_60,vol_up,adx14,mkt_rv_pct_stock,year,regime,mkt_rv_pct_sector,regime_sector,signal_ts,rank_date,mom_rank_pct,in_top20,in_top30
002241.SZ,cn_stock,C,v1,2016-09-13,13,4.462686567164194,0,,,,,0.1057041820418205,-0.0907134071340712,False,60.94835309078142,,2016,na,,na,2016-09-13,2016-08-31,0.48890010090817354,False,False
000596.SZ,cn_stock,C,v1,2016-09-13,13,1.5750344827586222,0,,,,,0.3012820512820513,0.2833333333333334,False,60.5823006584245,,2016,na,,na,2016-09-13,2016-08-31,0.8763874873864783,True,True
000831.SZ,cn_stock,C,v1,2016-09-14,14,3.4545454545454795,0,,,,,-0.0113725833260431,0.0787332691802993,False,64.13032020795119,,2016,na,,na,2016-09-14,2016-08-31,0.031786074672048435,False,False
002050.SZ,cn_stock,C,v1,2016-09-14,14,4.258426966292136,0,,,,,0.3618628067967275,0.236941472624292,False,72.0407687772437,,2016,na,,na,2016-09-14,2016-08-31,0.7028254288597376,False,True
002008.SZ,cn_stock,C,v1,2016-09-19,15,1.5789473684210555,0,,,,,0.0786329956146985,-0.0433489591209234,False,70.79180707803766,,2016,na,,na,2016-09-19,2016-08-31,0.46316851664984865,False,False
000625.SZ,cn_stock,C,v1,2016-09-19,15,2.167883211678843,0,,,,,0.0459595190990718,-0.0351544665956474,False,62.12014839438952,,2016,na,,na,2016-09-19,2016-08-31,0.8183652875882946,True,True
600276.SS,cn_stock,C,v1,2016-09-19,15,2.178571428571421,0,,,,,0.0798651716310105,0.0913530989887871,False,56.40571928146917,,2016,na,,na,2016-09-19,2016-08-31,0.830978809283552,True,True
600196.SS,cn_stock,C,v1,2016-09-19,15,0.4918032786885262,0,,,,,-0.0217094966426011,-0.0429141212702578,False,65.89422498306766,,2016,na,,na,2016-09-19,2016-08-31,0.5100908173562059,False,False
600660.SS,cn_stock,C,v1,2016-09-19,15,1.894736842105263,0,,,,,0.3884120171673819,0.3562231759656653,False,52.29491460060632,,2016,na,,na,2016-09-19,2016-08-31,0.8915237134207871,True,True
002466.SZ,cn_stock,C,v1,2016-09-20,15,1.3042096902303408,0,,,,,0.0445028327448886,-0.1102717792922243,False,57.2665077432585,,2016,na,,na,2016-09-20,2016-08-31,0.9944500504540867,True,True
300124.SZ,cn_stock,C,v1,2016-09-20,16,1.2473684210526297,0,,,,,0.1224425558703179,0.0728150246563843,False,68.04626875277934,,2016,na,,na,2016-09-20,2016-08-31,0.26185671039354186,False,False
600703.SS,cn_stock,C,v1,2016-09-21,17,9.307692307692244,0,,,,,-0.0151205194343146,0.0853864626878946,False,56.60258689407328,,2016,na,,na,2016-09-21,2016-08-31,0.3193743693239152,False,False
600030.SS,cn_stock,C,v1,2016-09-27,21,1.076595744680854,0,,-0.0437870811398012,,,0.0519094643013196,-0.0083894083719304,False,53.766833429182505,,2016,na,,na,2016-09-27,2016-08-31,0.38799192734611504,False,False
002475.SZ,cn_stock,C,v1,2016-09-28,22,3.1290322580645133,0,,-0.0158432353554304,,,0.1728447362846854,0.0347384028807455,False,44.57296411539724,,2016,na,,na,2016-09-28,2016-08-31,0.536326942482341,False,False
601318.SS,cn_stock,C,v1,2016-09-29,23,16.857142857142783,0,,0.0134008338296605,,,0.0573023802527181,0.0690567146635321,False,35.59146833896143,,2016,na,,na,2016-09-29,2016-08-31,0.7704339051463168,False,True
002241.SZ,cn_stock,C,v2,2016-09-29,23,0.4573170731707315,2,,0.0188778977573056,,,0.0203809382642852,-0.1241384421551916,False,32.58307138145263,,2016,na,,na,2016-09-29,2016-08-31,0.48890010090817354,False,False
