month,selected_sectors,n_selected,rs_top8,cap_month_end,b200_month_end,n_trades,trade_detail,equity_month_end
2019-08,TH881273(白酒);TH881121(半导体);TH881169(贵金属);TH881279(光伏设备);TH881272(软件开发);TH881280(风电设备);TH881281(电池);TH881267(能源金属),8,白酒+13.60%;半导体+11.86%;贵金属+9.70%;光伏设备+0.37%;软件开发+0.22%;风电设备-0.52%;电池-0.96%;能源金属-1.87%,,,1,159928.SZ@2019-08-23 r=-0.08,1000000.0
2019-09,TH881121(半导体);TH881280(风电设备);TH881267(能源金属);TH881272(软件开发);TH881279(光伏设备);TH881273(白酒);TH881109(化学制品);TH881129(通信设备),8,半导体+16.26%;风电设备+7.14%;能源金属+4.66%;软件开发+4.44%;光伏设备+4.21%;白酒+2.75%;化学制品+1.58%;通信设备+0.28%,,,0,,999166.67
2019-10,TH881272(软件开发);TH881121(半导体);TH881280(风电设备);TH881273(白酒);TH881102(养殖业);TH881134(食品加工制造);TH881278(电网设备);TH881267(能源金属),8,软件开发+7.31%;半导体+4.97%;风电设备+4.86%;白酒+4.09%;养殖业+1.69%;食品加工制造+0.95%;电网设备-0.61%;能源金属-0.83%,,,1,159928.SZ@2019-10-23 r=-1.70,982180.83
2019-11,TH881267(能源金属);TH881155(银行);TH881272(软件开发);TH881273(白酒);TH881121(半导体);TH881281(电池);TH881109(化学制品);TH881134(食品加工制造),8,能源金属+9.96%;银行+1.72%;软件开发+0.36%;白酒-0.61%;半导体-0.67%;电池-1.58%;化学制品-2.59%;食品加工制造-2.61%,,,1,159928.SZ@2019-11-01 r=-2.50,957626.31
2020-06,TH881273(白酒);TH881279(光伏设备);TH881267(能源金属);TH881121(半导体);TH881134(食品加工制造);TH881281(电池);TH881109(化学制品);TH881280(风电设备),8,白酒+29.45%;光伏设备+19.83%;能源金属+19.30%;半导体+14.24%;食品加工制造+13.03%;电池+6.28%;化学制品+1.23%;风电设备+0.34%,,,1,159928.SZ@2020-06-02 r=+6.84,957626.31
2020-07,TH881273(白酒);TH881279(光伏设备);TH881267(能源金属);TH881280(风电设备);TH881157(证券);TH881169(贵金属);TH881134(食品加工制造);TH881168(工业金属),8,白酒+23.72%;光伏设备+22.86%;能源金属+20.03%;风电设备+17.40%;证券+12.59%;贵金属+11.63%;食品加工制造+11.58%;工业金属+7.88%,,,1,512000.SS@2020-07-23 r=+0.00,957626.31
2020-09,TH881280(风电设备);TH881279(光伏设备);TH881134(食品加工制造);TH881109(化学制品);TH881169(贵金属);TH881102(养殖业);TH881281(电池);TH881145(电力),8,风电设备+46.20%;光伏设备+29.63%;食品加工制造+8.33%;化学制品+6.46%;贵金属+5.94%;养殖业+4.91%;电池+3.79%;电力+3.37%,,,0,,1023148.11
2020-10,TH881280(风电设备);TH881279(光伏设备);TH881281(电池);TH881273(白酒);TH881278(电网设备);TH881155(银行);TH881109(化学制品);TH881114(金属新材料),8,风电设备+23.20%;光伏设备+19.79%;电池+13.65%;白酒+13.05%;电网设备+1.21%;银行-1.07%;化学制品-2.03%;金属新材料-3.68%,,,1,512800.SS@2020-10-30 r=-1.33,1023148.11
2020-11,TH881267(能源金属);TH881273(白酒);TH881280(风电设备);TH881281(电池);TH881279(光伏设备);TH881168(工业金属);TH881170(小金属);TH881114(金属新材料),8,能源金属+20.02%;白酒+17.94%;风电设备+16.36%;电池+16.35%;光伏设备+13.21%;工业金属+10.65%;小金属+7.51%;金属新材料+1.31%,,,0,,1009506.14
2020-12,TH881273(白酒);TH881267(能源金属);TH881281(电池);TH881170(小金属);TH881279(光伏设备);TH881280(风电设备);TH881168(工业金属);TH881114(金属新材料),8,白酒+79.25%;能源金属+63.32%;电池+24.00%;小金属+20.51%;光伏设备+15.60%;风电设备+8.75%;工业金属+0.88%;金属新材料-1.41%,,,2,512400.SS@2020-12-03 r=-3.33;512400.SS@2020-12-10 r=+0.00,975855.93
2021-03,TH881145(电力);TH881109(化学制品);TH881155(银行);TH881170(小金属);TH881168(工业金属);TH881114(金属新材料);TH881280(风电设备);TH881278(电网设备),8,电力+15.16%;化学制品+6.20%;银行+4.94%;小金属+3.92%;工业金属+3.66%;金属新材料+0.83%;风电设备-2.26%;电网设备-3.40%,,,1,512800.SS@2021-03-31 r=-1.36,975855.93
2021-04,TH881168(工业金属);TH881145(电力);TH881109(化学制品);TH881273(白酒);TH881170(小金属);TH881114(金属新材料);TH881278(电网设备);TH881281(电池),8,工业金属+22.77%;电力+16.49%;化学制品+11.10%;白酒+10.17%;小金属+8.17%;金属新材料+6.31%;电网设备+5.63%;电池+5.19%,,,0,,962548.81
2021-06,TH881281(电池);TH881267(能源金属);TH881279(光伏设备);TH881121(半导体);TH881273(白酒);TH881170(小金属);TH881114(金属新材料);TH881109(化学制品),8,电池+48.36%;能源金属+39.40%;光伏设备+37.31%;半导体+33.40%;白酒+28.83%;小金属+15.65%;金属新材料+13.56%;化学制品+11.53%,0.4,45.0,1,512400.SS@2021-06-02 r=-2.63,937218.58
2023-04,TH881129(通信设备);TH881169(贵金属);TH881272(软件开发);TH881155(银行);TH881121(半导体);TH881157(证券);TH881145(电力);TH881156(保险),8,通信设备+22.77%;贵金属+19.56%;软件开发+13.20%;银行+6.40%;半导体+5.40%;证券+1.03%;电力+0.83%;保险+0.46%,0.4,40.9,1,518850.SS@2023-04-27 r=+2.06,937218.58
2023-05,TH881169(贵金属);TH881129(通信设备);TH881121(半导体);TH881272(软件开发);TH881145(电力);TH881155(银行);TH881278(电网设备);TH881157(证券),8,贵金属+30.19%;通信设备+21.40%;半导体+18.72%;软件开发+16.50%;电力+12.51%;银行+8.07%;电网设备+5.98%;证券+3.76%,0.4,44.2,0,,944924.59
2023-08,TH881157(证券);TH881273(白酒);TH881169(贵金属);TH881102(养殖业);TH881168(工业金属);TH881156(保险);TH881155(银行);TH881114(金属新材料),8,证券+13.75%;白酒+6.83%;贵金属+5.43%;养殖业+5.17%;工业金属+4.18%;保险+3.49%;银行+2.44%;金属新材料+1.69%,0.7,39.0,1,518850.SS@2023-08-24 r=-0.84,944924.59
2023-10,TH881169(贵金属);TH881129(通信设备);TH881121(半导体);TH881157(证券);TH881168(工业金属);TH881109(化学制品);TH881278(电网设备);TH881280(风电设备),8,贵金属+11.45%;通信设备+9.44%;半导体+8.21%;证券+7.03%;工业金属+5.77%;化学制品+5.55%;电网设备+5.17%;风电设备+4.92%,0.7,34.4,0,,939394.46
2024-02,TH881155(银行);TH881157(证券);TH881156(保险);TH881279(光伏设备);TH881145(电力);TH881267(能源金属);TH881170(小金属);TH881169(贵金属),8,银行+8.06%;证券-2.09%;保险-2.89%;光伏设备-5.76%;电力-6.50%;能源金属-8.70%;小金属-10.29%;贵金属-10.94%,1.0,14.3,2,518850.SS@2024-02-05 r=+0.00;518850.SS@2024-02-28 r=+61.00,939394.46
2024-05,TH881169(贵金属);TH881168(工业金属);TH881145(电力);TH881278(电网设备);TH881155(银行);TH881109(化学制品);TH881102(养殖业);TH881280(风电设备),8,贵金属+25.64%;工业金属+16.81%;电力+13.46%;电网设备+10.15%;银行+7.95%;化学制品+7.39%;养殖业+4.66%;风电设备+3.04%,0.7,25.5,0,,1512425.08
2024-06,TH881155(银行);TH881278(电网设备);TH881145(电力);TH881121(半导体);TH881169(贵金属);TH881114(金属新材料);TH881168(工业金属);TH881109(化学制品),8,银行+8.69%;电网设备+5.64%;电力+5.20%;半导体+4.37%;贵金属+3.12%;金属新材料-0.25%;工业金属-1.74%;化学制品-3.50%,1.0,17.1,1,159611.SZ@2024-06-13 r=-2.00,1482176.58
2024-07,TH881121(半导体);TH881155(银行);TH881278(电网设备);TH881157(证券);TH881156(保险);TH881145(电力);TH881169(贵金属);TH881114(金属新材料),8,半导体+11.46%;银行+9.61%;电网设备+2.38%;证券+1.45%;保险+0.77%;电力+0.66%;贵金属+0.23%;金属新材料-1.76%,1.0,17.2,3,159611.SZ@2024-07-10 r=-1.73;159611.SZ@2024-07-22 r=-1.13;512800.SS@2024-07-03 r=-0.68,1429958.85
2024-09,TH881156(保险);TH881157(证券);TH881272(软件开发);TH881267(能源金属);TH881279(光伏设备);TH881281(电池);TH881129(通信设备);TH881273(白酒),8,保险+34.47%;证券+24.56%;软件开发+22.83%;能源金属+13.47%;光伏设备+13.06%;电池+9.61%;通信设备+8.48%;白酒+6.67%,0.4,78.0,1,518850.SS@2024-09-09 r=+6.62,1429958.85
2024-11,TH881272(软件开发);TH881281(电池);TH881121(半导体);TH881129(通信设备);TH881267(能源金属);TH881279(光伏设备);TH881280(风电设备);TH881114(金属新材料),8,软件开发+60.57%;电池+37.74%;半导体+35.73%;通信设备+31.93%;能源金属+31.85%;光伏设备+30.57%;风电设备+26.09%;金属新材料+25.46%,0.1,90.2,0,,1524693.63
2025-02,TH881121(半导体);TH881129(通信设备);TH881272(软件开发);TH881278(电网设备);TH881114(金属新材料);TH881281(电池);TH881168(工业金属);TH881170(小金属),8,半导体+11.02%;通信设备+9.47%;软件开发+8.31%;电网设备+5.40%;金属新材料+4.52%;电池+3.93%;工业金属+2.73%;小金属+2.63%,0.2,79.0,2,515050.SS@2025-02-18 r=-2.31;512800.SS@2025-02-28 r=-1.25,1524693.63
2025-03,TH881169(贵金属);TH881170(小金属);TH881168(工业金属);TH881278(电网设备);TH881272(软件开发);TH881109(化学制品);TH881281(电池);TH881114(金属新材料),8,贵金属+27.21%;小金属+14.16%;工业金属+13.33%;电网设备+10.53%;软件开发+9.89%;化学制品+8.41%;电池+7.51%;金属新材料+7.24%,0.2,78.5,1,518850.SS@2025-03-07 r=-1.50,1509303.31
2025-08,TH881170(小金属);TH881129(通信设备);TH881114(金属新材料);TH881267(能源金属);TH881281(电池);TH881121(半导体);TH881280(风电设备);TH881272(软件开发),8,小金属+24.52%;通信设备+19.43%;金属新材料+16.26%;能源金属+15.62%;电池+13.12%;半导体+11.93%;风电设备+7.91%;软件开发+7.63%,0.1,86.6,2,515050.SS@2025-08-11 r=+37.00;512400.SS@2025-08-07 r=+14.30,1509303.31
2025-09,TH881121(半导体);TH881267(能源金属);TH881281(电池);TH881170(小金属);TH881169(贵金属);TH881280(风电设备);TH881129(通信设备);TH881168(工业金属),8,半导体+20.47%;能源金属+18.46%;电池+18.38%;小金属+15.82%;贵金属+13.54%;风电设备+7.58%;通信设备+7.37%;工业金属+7.02%,0.2,78.5,0,,1509303.31
2025-10,TH881281(电池);TH881267(能源金属);TH881168(工业金属);TH881169(贵金属);TH881121(半导体);TH881280(风电设备);TH881170(小金属);TH881279(光伏设备),8,电池+21.20%;能源金属+19.98%;工业金属+15.17%;贵金属+14.31%;半导体+10.25%;风电设备+10.09%;小金属+9.30%;光伏设备+5.03%,0.2,80.5,0,,1620991.75
2025-11,TH881267(能源金属);TH881281(电池);TH881169(贵金属);TH881168(工业金属);TH881279(光伏设备);TH881278(电网设备);TH881280(风电设备);TH881145(电力),8,能源金属+27.32%;电池+25.43%;贵金属+20.80%;工业金属+12.15%;光伏设备+6.47%;电网设备+3.61%;风电设备+2.99%;电力+1.93%,0.2,72.4,0,,1664146.65
2026-02,TH881170(小金属);TH881169(贵金属);TH881168(工业金属);TH881279(光伏设备);TH881121(半导体);TH881278(电网设备);TH881129(通信设备);TH881267(能源金属),8,小金属+69.06%;贵金属+67.28%;工业金属+29.97%;光伏设备+26.86%;半导体+25.20%;电网设备+24.25%;通信设备+23.81%;能源金属+21.70%,0.2,76.4,1,515050.SS@2026-02-26 r=-0.76,1664146.65
2026-03,TH881169(贵金属);TH881170(小金属);TH881145(电力);TH881267(能源金属);TH881279(光伏设备);TH881278(电网设备);TH881280(风电设备);TH881168(工业金属),8,贵金属+48.11%;小金属+26.92%;电力+22.65%;能源金属+21.09%;光伏设备+20.37%;电网设备+19.25%;风电设备+13.48%;工业金属+10.97%,0.4,44.1,0,,1661610.81
2026-06,TH881121(半导体);TH881129(通信设备);TH881170(小金属);TH881114(金属新材料);TH881267(能源金属);TH881281(电池);TH881109(化学制品);TH881157(证券),8,半导体+65.40%;通信设备+7.73%;小金属+7.67%;金属新材料+5.73%;能源金属-3.18%;电池-6.87%;化学制品-8.62%;证券-9.06%,0.7,28.4,1,159995.SZ@2026-06-05 r=-3.69,1618720.48
