date,sector,name_cn,rank_pct,tercile,trail_exc_60,fwd_exc_20,fwd_exc_60,fwd_exc_120
2020-09-10,TH881121.SECTOR,半导体,0.125,low,-0.08537,0.04356,0.06886,-0.13668
2020-09-10,TH881129.SECTOR,通信设备,0.0625,low,-0.15296,-0.01013,-0.1151,-0.30835
2020-09-10,TH881134.SECTOR,食品加工制造,0.625,mid,0.01165,-0.03486,-0.09682,-0.25002
2020-09-10,TH881145.SECTOR,电力,0.5625,mid,-0.00766,-0.01568,-0.078,0.03566
2020-09-10,TH881155.SECTOR,银行,0.4375,mid,-0.03831,-0.02319,-0.03531,-0.00771
2020-09-10,TH881156.SECTOR,保险,0.3125,low,-0.05225,-0.00969,-0.1548,-0.26512
2020-09-10,TH881157.SECTOR,证券,0.8125,high,0.08304,0.01508,-0.04103,-0.21357
2020-09-10,TH881168.SECTOR,工业金属,0.6875,high,0.02086,-0.04322,0.02085,0.07129
2020-09-10,TH881169.SECTOR,贵金属,0.75,high,0.05163,-0.03487,-0.16315,-0.29003
2020-09-10,TH881170.SECTOR,小金属,0.25,low,-0.06679,-0.03533,0.08165,0.30509
2020-09-10,TH881272.SECTOR,软件开发,0.1875,low,-0.07754,0.00438,-0.14265,-0.33056
2020-09-10,TH881273.SECTOR,白酒,0.875,high,0.10557,-0.01422,0.37745,0.32847
2020-09-10,TH881278.SECTOR,电网设备,0.375,mid,-0.0488,0.015,-0.07116,-0.17323
2020-09-10,TH881279.SECTOR,光伏设备,0.9375,high,0.15905,0.22389,0.25154,0.15547
2020-09-10,TH881280.SECTOR,风电设备,1.0,high,0.21877,0.27403,0.15188,0.22938
2020-09-10,TH881281.SECTOR,电池,0.5,mid,-0.02742,0.11707,0.20159,0.21763
2020-09-17,TH881121.SECTOR,半导体,0.1875,low,-0.04189,-0.04946,-0.04693,-0.1759
2020-09-17,TH881129.SECTOR,通信设备,0.0625,low,-0.10719,-0.02628,-0.18364,-0.30202
2020-09-17,TH881134.SECTOR,食品加工制造,0.625,mid,0.02997,-0.0335,-0.07698,-0.21687
2020-09-17,TH881145.SECTOR,电力,0.5,mid,0.01115,-0.03097,-0.05219,0.14943
2020-09-17,TH881155.SECTOR,银行,0.3125,low,-0.01885,0.01705,-0.05658,-0.00909
2020-09-17,TH881156.SECTOR,保险,0.125,low,-0.05274,-0.01534,-0.18455,-0.26261
2020-09-17,TH881157.SECTOR,证券,0.5625,mid,0.01866,0.01701,-0.04127,-0.18978
2020-09-17,TH881168.SECTOR,工业金属,0.8125,high,0.05184,-0.04093,0.02412,0.09627
2020-09-17,TH881169.SECTOR,贵金属,0.6875,high,0.04799,-0.02368,-0.18824,-0.26731
