,a_dens,c_dens
2017-06-30,,0.0566
2017-07-31,,0.0000
2017-08-31,,0.0000
2017-09-30,,0.0000
2017-10-31,,0.0000
2017-11-30,,0.0000
2017-12-31,,0.0000
2018-01-31,,0.0189
2018-02-28,,0.0000
2018-03-31,,0.0000
2018-04-30,,0.0377
2018-05-31,,0.0189
2018-06-30,,0.0189
2018-07-31,,0.0755
2018-08-31,,0.0000
2018-09-30,,0.2075
2018-10-31,,0.0189
2018-11-30,,0.3585
2018-12-31,,0.0755
2019-01-31,,0.1132
2019-02-28,,0.0943
2019-03-31,,0.0000
2019-04-30,,0.0000
2019-05-31,,0.0000
2019-06-30,,0.0566
2019-07-31,,0.0000
2019-08-31,0.0556,0.0000
2019-09-30,0.0556,0.0000
2019-10-31,0.1667,0.0000
2019-11-30,0.0556,0.0000
2019-12-31,0.0556,0.0000
2020-01-31,0.0556,0.0000
2020-02-29,0.0000,0.0000
2020-03-31,0.1667,0.0000
2020-04-30,0.0000,0.0000
2020-05-31,0.0000,0.0189
2020-06-30,0.3333,0.0189
2020-07-31,0.1667,0.0000
2020-08-31,0.0556,0.0000
2020-09-30,0.0000,0.0000
2020-10-31,0.1111,0.0189
2020-11-30,0.5000,0.0000
2020-12-31,0.6667,0.0189
2021-01-31,0.0556,0.0000
2021-02-28,0.1667,0.0000
2021-03-31,0.1111,0.0000
2021-04-30,0.0000,0.0566
2021-05-31,0.3333,0.0377
2021-06-30,0.3333,0.0000
2021-07-31,0.3333,0.0000
2021-08-31,0.5556,0.0000
2021-09-30,0.0000,0.0755
2021-10-31,0.0000,0.0189
2021-11-30,0.0000,0.0000
2021-12-31,0.3333,0.0000
2022-01-31,0.0000,0.0000
2022-02-28,0.0000,0.0000
2022-03-31,0.0556,0.1132
2022-04-30,0.0556,0.0189
2022-05-31,0.2222,0.3585
2022-06-30,0.0000,0.0755
2022-07-31,0.0000,0.0000
2022-08-31,0.0000,0.0000
2022-09-30,0.1667,0.0000
2022-10-31,0.0000,0.0189
2022-11-30,0.0000,0.1132
2022-12-31,0.0000,0.0377
2023-01-31,0.0000,0.0377
2023-02-28,0.0000,0.0377
2023-03-31,0.2222,0.0000
2023-04-30,0.0556,0.0189
2023-05-31,0.0556,0.0000
2023-06-30,0.1111,0.1132
2023-07-31,0.1111,0.0755
2023-08-31,0.0556,0.0377
2023-09-30,0.0556,0.0000
2023-10-31,0.0556,0.0943
2023-11-30,0.1111,0.0189
2023-12-31,0.1667,0.0000
2024-01-31,0.1667,0.0566
2024-02-29,0.3333,0.0943
2024-03-31,0.0556,0.1698
2024-04-30,0.2222,0.0189
2024-05-31,0.3889,0.0000
2024-06-30,0.0556,0.0000
2024-07-31,0.6111,0.1321
2024-08-31,0.1111,0.0377
2024-09-30,0.1111,0.0377
2024-10-31,0.0000,0.0000
2024-11-30,0.1111,0.0000
2024-12-31,0.4444,0.0000
2025-01-31,0.1111,0.0000
2025-02-28,0.1667,0.0000
2025-03-31,0.2778,0.0000
2025-04-30,0.1111,0.0000
2025-05-31,0.1111,0.0000
2025-06-30,0.2222,0.0000
2025-07-31,0.0556,0.0000
2025-08-31,1.1111,0.0000
2025-09-30,0.5000,0.0000
2025-10-31,0.0556,0.0000
2025-11-30,0.1111,0.0000
2025-12-31,0.0000,0.0000
2026-01-31,0.2778,0.0000
2026-02-28,1.6111,0.0000
2026-03-31,0.4444,0.0000
2026-04-30,0.3333,0.0000
2026-05-31,0.5556,0.0189
2026-06-30,0.8889,0.0000
2026-07-31,,0.0943
2026-08-31,,0.0943
