,equity
1986-01-02,1.0
1986-01-09,0.992242
1986-01-16,1.013745
1986-01-23,1.003608
1986-01-30,1.026955
1986-02-06,1.046922
1986-02-13,1.068733
1986-02-21,1.092541
1986-02-28,1.104368
1986-03-07,1.112662
1986-03-14,1.142153
1986-03-21,1.144611
1986-03-31,1.151062
1986-04-07,1.133859
1986-04-14,1.169801
1986-04-21,1.201135
1986-04-28,1.202363
1986-05-05,1.185775
1986-05-12,1.192226
1986-05-19,1.178709
1986-05-27,1.213115
1986-06-03,1.227246
1986-06-10,1.206664
1986-06-17,1.217416
1986-06-24,1.225403
1986-07-01,1.252129
1986-07-09,1.208507
1986-07-16,1.166402
1986-07-23,1.166967
1986-07-30,1.141252
1986-08-06,1.122868
1986-08-13,1.159296
1986-08-20,1.17124
1986-08-27,1.173629
1986-09-04,1.171538
1986-09-11,1.088829
1986-09-18,1.070057
1986-09-25,1.073102
1986-10-02,1.074257
1986-10-09,1.074782
1986-10-16,1.077775
1986-10-23,1.077775
1986-10-30,1.077775
1986-11-06,1.077775
1986-11-13,1.077775
1986-11-20,1.077775
1986-11-28,1.077775
1986-12-05,1.077775
1986-12-12,1.077775
1986-12-19,1.077775
1986-12-29,1.077775
1987-01-06,1.077775
1987-01-13,1.101206
1987-01-20,1.117451
1987-01-27,1.113746
1987-02-03,1.138255
1987-02-10,1.14994
1987-02-18,1.188699
1987-02-25,1.199813
1987-03-04,1.216058
1987-03-11,1.229452
1987-03-18,1.239427
1987-03-25,1.246837
1987-04-01,1.220618
1987-04-08,1.239427
1987-04-15,1.185564
1987-04-23,1.189711
1987-04-30,1.191318
1987-05-07,1.205005
1987-05-14,1.20529
1987-05-21,1.157047
1987-05-29,1.172674
1987-06-05,1.176334
1987-06-12,1.197733
1987-06-19,1.20815
1987-06-26,1.201393
1987-07-06,1.196888
1987-07-13,1.20083
1987-07-20,1.215189
1987-07-27,1.207587
1987-08-03,1.219412
1987-08-10,1.256577
1987-08-17,1.271781
1987-08-24,1.277694
1987-08-31,1.281073
1987-09-08,1.232082
1987-09-15,1.244189
1987-09-22,1.232927
1987-09-29,1.245034
1987-10-06,1.259956
1987-10-13,1.222498
1987-10-20,1.18959
1987-10-27,1.18959
1987-11-03,1.18959
1987-11-10,1.18959
1987-11-17,1.18959
1987-11-24,1.18959
