,equity
1986-01-02,1.0
1986-01-09,0.982413
1986-01-16,0.996998
1986-01-23,0.973547
1986-01-30,0.997761
1986-02-06,1.017651
1986-02-13,1.036386
1986-02-21,1.070805
1986-02-28,1.08177
1986-03-07,1.075334
1986-03-14,1.127678
1986-03-21,1.112375
1986-03-31,1.138881
1986-04-07,1.08986
1986-04-14,1.127881
1986-04-21,1.161204
1986-04-28,1.153789
1986-05-05,1.130664
1986-05-12,1.129955
1986-05-19,1.109264
1986-05-27,1.163826
1986-06-03,1.167416
1986-06-10,1.139403
1986-06-17,1.161937
1986-06-24,1.174597
1986-07-01,1.198264
1986-07-09,1.155856
1986-07-16,1.121271
1986-07-23,1.137125
1986-07-30,1.124605
1986-08-06,1.124978
1986-08-13,1.144732
1986-08-20,1.163837
1986-08-27,1.180285
1986-09-04,1.182755
1986-09-11,1.096002
1986-09-18,1.089937
1986-09-25,1.089937
1986-10-02,1.089937
1986-10-09,1.089937
1986-10-16,1.089937
1986-10-23,1.083587
1986-10-30,1.087558
1986-11-06,1.090991
1986-11-13,1.086462
1986-11-20,1.086062
1986-11-28,1.090768
1986-12-05,1.093714
1986-12-12,1.087942
1986-12-19,1.084771
1986-12-29,1.078802
1987-01-06,1.079295
1987-01-13,1.101658
1987-01-20,1.139611
1987-01-27,1.159277
1987-02-03,1.168629
1987-02-10,1.164788
1987-02-18,1.207926
1987-02-25,1.201773
1987-03-04,1.221323
1987-03-11,1.228474
1987-03-18,1.238926
1987-03-25,1.271086
1987-04-01,1.236981
1987-04-08,1.258902
1987-04-15,1.213568
1987-04-23,1.220382
1987-04-30,1.21217
1987-05-07,1.23114
1987-05-14,1.230125
1987-05-21,1.195529
1987-05-29,1.209576
1987-06-05,1.220787
1987-06-12,1.248127
1987-06-19,1.268428
1987-06-26,1.269214
1987-07-06,1.259958
1987-07-13,1.271156
1987-07-20,1.286692
1987-07-27,1.283634
1987-08-03,1.312229
1987-08-10,1.355326
1987-08-17,1.380573
1987-08-24,1.37735
1987-08-31,1.362764
1987-09-08,1.299606
1987-09-15,1.316043
1987-09-22,1.299378
1987-09-29,1.305793
1987-10-06,1.29671
1987-10-13,1.280579
1987-10-20,1.262438
1987-10-27,1.262438
1987-11-03,1.262438
1987-11-10,1.262438
1987-11-17,1.262438
1987-11-24,1.262438
1987-12-02,1.262438
1987-12-09,1.262438
1987-12-16,1.262438
1987-12-23,1.262438
1987-12-31,1.262438
1988-01-08,1.262438
1988-01-15,1.262438
1988-01-22,1.262438
1988-01-29,1.262438
1988-02-05,1.262438
1988-02-12,1.262438
1988-02-22,1.262438
1988-02-29,1.262438
1988-03-07,1.262438
1988-03-14,1.262438
1988-03-21,1.262438
1988-03-28,1.262438
1988-04-05,1.262438
1988-04-12,1.262438
1988-04-19,1.262438
1988-04-26,1.262438
1988-05-03,1.262438
1988-05-10,1.262438
1988-05-17,1.262438
1988-05-24,1.262438
1988-06-01,1.262438
1988-06-08,1.259444
1988-06-15,1.269157
1988-06-22,1.273554
1988-06-29,1.25581
1988-07-07,1.259083
1988-07-14,1.252231
1988-07-21,1.236217
1988-07-28,1.23337
1988-08-04,1.25966
1988-08-11,1.218824
1988-08-18,1.203666
1988-08-25,1.183338
1988-09-01,1.176849
1988-09-09,1.185444
1988-09-16,1.20237
1988-09-23,1.198416
1988-09-30,1.207968
1988-10-07,1.235334
1988-10-14,1.223916
1988-10-21,1.260167
1988-10-28,1.237377
1988-11-04,1.227515
1988-11-11,1.204971
1988-11-18,1.199351
1988-11-28,1.198503
1988-12-05,1.208062
1988-12-12,1.205306
1988-12-19,1.207616
1988-12-27,1.204413
1989-01-04,1.20188
1989-01-11,1.212193
1989-01-18,1.231622
1989-01-25,1.242841
1989-02-01,1.277013
1989-02-08,1.283718
1989-02-15,1.264763
1989-02-23,1.255349
1989-03-02,1.246322
1989-03-09,1.26343
1989-03-16,1.287114
1989-03-23,1.242153
1989-03-31,1.267471
1989-04-07,1.277314
1989-04-14,1.295367
1989-04-21,1.330829
1989-04-28,1.330958
1989-05-05,1.322232
1989-05-12,1.349011
1989-05-19,1.380819
1989-05-26,1.382324
1989-06-05,1.384215
1989-06-12,1.402311
1989-06-19,1.383614
1989-06-26,1.403859
1989-07-03,1.37218
1989-07-11,1.413229
1989-07-18,1.424276
1989-07-25,1.435151
1989-08-01,1.477577
1989-08-08,1.501648
1989-08-15,1.481703
1989-08-22,1.466573
1989-08-29,1.503754
1989-09-06,1.501175
1989-09-13,1.484927
1989-09-20,1.489268
1989-09-27,1.483379
1989-10-04,1.534273
1989-10-11,1.534487
1989-10-18,1.456009
1989-10-25,1.457848
1989-11-01,1.454617
1989-11-08,1.447037
1989-11-15,1.454777
1989-11-22,1.46063
1989-11-30,1.478059
1989-12-07,1.484895
1989-12-14,1.499163
1989-12-21,1.46893
1989-12-29,1.498911
1990-01-08,1.500566
1990-01-15,1.436625
1990-01-22,1.427133
1990-01-29,1.42665
1990-02-05,1.42665
1990-02-12,1.42665
1990-02-20,1.42665
1990-02-27,1.42665
1990-03-06,1.42665
1990-03-13,1.422396
1990-03-20,1.421393
1990-03-27,1.418201
1990-04-03,1.414909
1990-04-10,1.410199
1990-04-18,1.408229
1990-04-25,1.407731
1990-05-02,1.407731
1990-05-09,1.40847
1990-05-16,1.421832
1990-05-23,1.427008
1990-05-31,1.416353
1990-06-07,1.423882
1990-06-14,1.422901
1990-06-21,1.413373
1990-06-28,1.395734
1990-07-06,1.393122
1990-07-13,1.415188
1990-07-20,1.398822
1990-07-27,1.3877
1990-08-03,1.37602
1990-08-10,1.375534
1990-08-17,1.375534
1990-08-24,1.375534
1990-08-31,1.375534
1990-09-10,1.375534
1990-09-17,1.375534
1990-09-24,1.375534
1990-10-01,1.375534
1990-10-08,1.375534
1990-10-15,1.375534
1990-10-22,1.375534
1990-10-29,1.375534
1990-11-05,1.375534
1990-11-12,1.375534
1990-11-19,1.375534
1990-11-27,1.375534
1990-12-04,1.375534
1990-12-11,1.375534
1990-12-18,1.375534
1990-12-26,1.375534
