arm,date,prev_w,breadth,interrupted,ret60,ret120,dd_construct,dd_window21,avg_cost_vs_allin,n_buys
allin,2010-06-02,0.0,19.2,False,0.0262,0.1586,-0.2316,-0.2316,0.0,1
allin,2011-02-16,0.0,56.8,False,-0.1982,-0.2013,-0.0996,-0.0996,-0.0,1
allin,2011-04-29,0.5,45.0,False,-0.0081,-0.1214,-0.1168,-0.1168,0.0,1
allin,2012-02-03,0.0,0.0,False,0.0667,-0.0149,-0.058,-0.058,0.0,1
allin,2012-07-13,0.0,25.8,False,0.0143,0.0709,-0.0454,-0.0454,0.0,1
allin,2013-04-16,0.5,46.5,False,0.2989,0.6133,-0.0368,-0.0368,0.0,1
allin,2013-06-24,0.5,28.7,False,0.2877,0.2743,-0.067,-0.067,0.0,1
allin,2013-07-29,0.5,40.3,False,0.098,0.3192,-0.0658,-0.0658,-0.0,1
allin,2014-01-14,0.5,47.2,False,-0.0347,-0.0533,-0.0924,-0.0924,0.0,1
allin,2014-04-29,0.5,38.6,False,0.0234,0.1849,-0.0686,-0.0686,-0.0,1
allin,2014-06-05,0.5,44.9,False,0.0538,0.1483,-0.082,-0.082,0.0,1
allin,2015-07-07,0.5,19.6,False,-0.0633,0.0527,-0.1916,-0.1916,0.0,1
allin,2015-08-24,0.0,16.8,False,0.4218,0.0112,-0.1367,-0.1367,0.0,1
allin,2015-11-19,0.5,50.6,False,-0.1989,-0.2792,-0.1402,-0.1402,0.0,1
allin,2016-01-05,0.5,22.1,False,-0.0899,-0.091,-0.2276,-0.2276,-0.0,1
allin,2016-07-28,0.0,40.1,False,0.0244,-0.1195,-0.0237,-0.0237,0.0,1
allin,2017-01-17,0.5,36.0,False,-0.0047,-0.0881,-0.0163,-0.0163,0.0,1
allin,2017-03-31,0.5,41.1,False,-0.0561,-0.0522,-0.0898,-0.0898,0.0,1
allin,2019-08-06,0.5,32.5,False,0.1424,0.3599,-0.0319,-0.0319,0.0,1
allin,2019-09-27,0.5,41.8,False,0.0989,0.1446,-0.0257,-0.0257,-0.0,1
allin,2020-02-03,0.5,25.3,False,0.0774,0.4684,-0.1646,-0.1646,0.0,1
allin,2020-03-17,0.5,40.1,False,0.1967,0.3145,-0.0459,-0.0459,0.0,1
allin,2020-04-24,0.5,39.1,False,0.3024,0.3118,-0.0455,-0.0455,0.0,1
allin,2020-12-17,0.5,45.6,False,-0.0306,0.175,-0.0683,-0.0683,-0.0,1
allin,2021-06-25,0.5,43.1,False,-0.0737,-0.0139,-0.0919,-0.0919,0.0,1
allin,2021-07-28,0.5,36.4,False,-0.0379,-0.141,-0.1294,-0.1294,0.0,1
allin,2021-10-28,0.5,36.4,False,-0.0887,-0.3234,-0.0391,-0.0391,0.0,1
allin,2022-01-26,0.5,43.1,False,-0.2135,-0.0822,-0.1416,-0.1416,0.0,1
allin,2022-03-09,0.5,32.8,False,-0.0308,-0.0397,-0.2044,-0.2044,0.0,1
allin,2022-08-01,0.5,44.1,False,-0.1139,-0.0295,-0.0994,-0.0994,0.0,1
allin,2022-11-23,0.5,40.8,False,0.039,-0.0401,-0.0555,-0.0555,0.0,1
