module,symbol,signal_date,entry_date,entry_price,stop_price,exit_date,exit_reason,holding_bars,r_net,is_tail,src,r_at_5,r_at_10,r_at_15,peak_r_at_5,peak_r_at_10,peak_r_at_15,slope5_r_at_10
A,000001.SS,2021-01-21,2021-01-22,3616.54,3556.44,2021-01-29,structure_stop_C,5,-1.6378792013311223,False,ohlcv,-1.8529118136439318,-1.9081530782029952,0.9787021630615683,0.12811980033277587,0.12811980033277587,0.9787021630615683,-0.05524126455906346
A,000001.SS,2021-02-09,2021-02-10,3612.61,3492.13,2021-02-25,exit_a6_1_costbasis,6,-0.17166840969455746,False,ohlcv,0.19712815405046477,-0.8633798140770249,-2.102589641434264,0.6935590969455506,0.6935590969455506,0.6935590969455506,-1.0605079681274898
A,000001.SS,2021-07-22,2021-07-23,3571.72,3543.05,2021-07-26,exit_a6_1_costbasis,1,-1.3003739100104659,False,ohlcv,-5.580746424834396,-3.6682943843739455,-1.638646668992,-0.7436344611091731,-0.7436344611091731,-0.7436344611091731,1.9124520404604504
A,000001.SS,2025-09-08,2025-09-09,3816.66,3745.31,2025-10-20,exit_a6_1_costbasis,23,0.6317216538192055,False,ohlcv,0.614435879467417,0.16706377014716312,0.6428871758934885,0.8220042046250899,0.8364400840925069,0.8364400840925069,-0.44737210932025384
A,000001.SS,2025-09-10,2025-09-11,3806.06,3791.72,2025-10-20,exit_a6_1_costbasis,21,3.883119944211998,False,ohlcv,4.900976290097593,3.3179916317991243,8.919804741980373,4.900976290097593,4.900976290097593,8.919804741980373,-1.5829846582984688
A,000001.SS,2025-09-12,2025-09-15,3876.1,3796.43,2025-10-20,exit_a6_1_costbasis,19,-0.18107317685452262,False,ohlcv,-0.7030249780343882,-0.6023597339023439,0.16819379942261928,0.003012426258318517,0.003012426258318517,0.7263712815363353,0.10066524413204436
A,000001.SS,2025-09-25,2025-09-26,3839.86,3804.33,2025-10-20,exit_a6_1_costbasis,10,0.6149772023641984,False,ohlcv,1.6090627638615185,-0.002814522938359372,3.1086405854207486,2.648747537292405,2.648747537292405,3.1086405854207486,-1.6118772867998779
A,000001.SS,2025-10-24,2025-10-27,3969.22,3868.15,2025-11-24,structure_stop_C,20,-1.2321086375779173,False,ohlcv,-0.14277233600474798,0.28039972296428445,0.21044820421490099,0.4661125952310306,0.4661125952310306,0.5964183239339109,0.4231720589690324
A,000001.SS,2025-11-11,2025-11-12,3996.56,3990.84,2025-11-17,structure_stop_C,3,-2.097300699300749,False,ohlcv,-9.921328671329018,-22.12237762237839,-17.28146853146912,5.75874125874147,5.75874125874147,5.75874125874147,-12.201048951049371
A,000001.SS,2026-02-04,2026-02-05,4075.03,4002.78,2026-02-06,exit_a6_1_costbasis,1,-0.5370938408304472,False,ohlcv,0.7882352941176383,0.9910034602076112,0.46422145328719044,0.7882352941176383,0.9993079584774999,1.4887197231833902,0.20276816608997295
A,000001.SS,2026-02-09,2026-02-10,4127.77,4029.97,2026-02-24,exit_a6_1_costbasis,4,-0.028300306748473964,False,ohlcv,-0.10593047034765353,-0.05204498977505227,-0.04734151329243434,0.06390593047034723,0.5605316973415067,0.5605316973415067,0.05388548057260125
A,000001.SS,2026-05-26,2026-05-27,4138.81,4104.46,2026-05-28,structure_stop_C,1,-1.8238372634643303,False,ohlcv,-1.8547307132459918,-3.749053857350767,-1.3659388646288217,-1.1694323144104701,-1.1694323144104701,-1.1694323144104701,-1.894323144104775
A,000001.SZ,2019-09-02,2019-09-03,11.646,11.216,2019-09-17,exit_a6_1_costbasis,9,-0.3061534883720951,False,ohlcv,0.48837209302325196,-0.5581395348837195,1.6279069767441787,0.7674418604651138,0.7674418604651138,2.093023255813943,-1.0465116279069715
