date,base_g10_s20,base_g10_s30,base_g15_s20,base_g15_s30,rebal_g10_s20,rebal_g10_s30,rr2_g10_s20,rr2_g10_s30,rr3_g10_s20,rr3_g10_s30,rr2_rebal_g10_s20,rebal_g15_s30
2017-03-24,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2017-03-27,1.000794,1.000694,1.001182,1.001035,1.000794,1.000694,,,,,1.000794,1.001035
2017-03-28,0.999616,0.999664,0.999958,0.999963,0.999616,0.999664,,,,,0.999616,0.999963
2017-03-29,0.997747,0.997733,0.998054,0.998002,0.997747,0.997733,,,,,0.998220,0.998002
2017-03-30,0.992191,0.992872,0.992775,0.993382,0.992191,0.992872,,,,,0.992664,0.993382
2017-03-31,0.993813,0.994291,0.993938,0.994400,0.993813,0.994291,,,,,0.994286,0.994400
2017-04-05,1.000985,1.000566,1.001209,1.000762,1.000992,1.000576,,,,,1.001468,1.000771
2017-04-06,1.001920,1.001385,1.002124,1.001563,1.001928,1.001395,,,,,1.002405,1.001573
2017-04-07,1.003016,1.002343,1.003559,1.002819,1.003025,1.002355,,,,,1.003502,1.002830
2017-04-10,0.995753,0.995989,0.996524,0.996663,0.995755,0.995991,,,,,0.996229,0.996666
2017-04-11,0.997307,0.997348,0.998087,0.998031,0.997310,0.997352,,,,,0.997785,0.998036
2017-04-12,0.997608,0.997612,0.998821,0.998673,0.997612,0.997616,,,,,0.998087,0.998679
2017-04-13,0.999421,0.999198,1.000709,1.000325,0.999426,0.999205,,,,,0.999902,1.000333
2017-04-14,0.995926,0.996140,0.997505,0.997521,0.995928,0.996143,,,,,0.996402,0.997526
2017-04-17,0.992992,0.993573,0.994622,0.994998,0.992992,0.993572,,,,,0.993464,0.994999
2017-04-18,0.987985,0.989191,0.989748,0.990734,0.987979,0.989184,,,,,0.988449,0.990729
2017-04-19,0.982353,0.984264,0.984397,0.986052,0.982342,0.984249,,,,,0.982810,0.986040
2017-04-20,0.980975,0.981597,0.982885,0.983268,0.980973,0.981595,,,,,0.983769,0.983269
2017-04-21,0.979560,0.980359,0.981405,0.981974,0.979558,0.980356,,,,,0.982353,0.981973
2017-04-24,0.966498,0.968930,0.968716,0.970870,0.966483,0.968910,,,,,0.969271,0.970854
2017-04-25,0.969531,0.971584,0.971613,0.973405,0.969519,0.971568,,,,,0.972309,0.973392
2017-04-26,0.970498,0.972430,0.972318,0.974022,0.970487,0.972415,,,,,0.973278,0.974010
2017-04-27,0.972442,0.974131,0.974282,0.975741,0.972433,0.974119,,,,,0.975224,0.975731
2017-04-28,0.971255,0.973092,0.973321,0.974900,0.971245,0.973079,,,,,0.974036,0.974889
2017-05-02,0.967885,0.970144,0.969754,0.971779,0.967862,0.970113,,,,,0.970643,0.971752
2017-05-03,0.965698,0.968229,0.967688,0.969971,0.965666,0.968188,,,,,0.968441,0.969936
2017-05-04,0.961101,0.964208,0.962658,0.965569,0.961053,0.964144,,,,,0.963814,0.965513
2017-05-05,0.954381,0.958328,0.956343,0.960044,0.954307,0.958230,,,,,0.957049,0.959961
2017-05-08,0.947081,0.951940,0.949304,0.953885,0.946979,0.951806,,,,,0.949701,0.953772
2017-05-09,0.948767,0.953415,0.950944,0.955320,0.948671,0.953289,,,,,0.951397,0.955214
2017-05-10,0.939868,0.945629,0.942299,0.947756,0.939739,0.945459,,,,,0.942439,0.947613
2017-05-11,0.940795,0.946439,0.943255,0.948592,0.940669,0.946274,,,,,0.943372,0.948453
2017-05-12,0.942897,0.948279,0.945369,0.950442,0.942780,0.948124,,,,,0.945489,0.950312
2017-05-15,0.945827,0.950843,0.948312,0.953017,0.945720,0.950702,,,,,0.948438,0.952899
2017-05-16,0.957333,0.960911,0.959291,0.962624,0.957270,0.960828,,,,,0.960021,0.962553
2017-05-17,0.955759,0.959533,0.957981,0.961477,0.955690,0.959442,,,,,0.958436,0.961401
2017-05-18,0.952253,0.956465,0.955038,0.958902,0.952170,0.956357,,,,,0.954907,0.958813
2017-05-19,0.952188,0.956408,0.954864,0.958750,0.952105,0.956300,,,,,0.954841,0.958661
2017-05-22,0.948431,0.953121,0.951412,0.955730,0.948334,0.952994,,,,,0.951059,0.955625
2017-05-23,0.945810,0.950828,0.949146,0.953746,0.945703,0.950688,,,,,0.948421,0.953632
