date,hold,b9,b9_cash,main_ult,lei,combo20,ultimate
2017-03-24,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2017-03-27,0.995375,0.999500,1.000020,1.000992,1.000000,0.999600,1.000794
2017-03-28,0.994249,0.998935,0.998665,0.999520,1.000000,0.999148,0.999616
2017-03-29,0.990835,0.997220,0.997006,0.997775,0.997635,0.997303,0.997747
2017-03-30,0.978470,0.990998,0.989370,0.990830,0.997635,0.992325,0.992191
2017-03-31,0.982950,0.993266,0.992544,0.992857,0.997635,0.994140,0.993813
2017-04-05,1.001331,1.002052,1.001264,1.001823,0.997635,1.001168,1.000985
2017-04-06,1.002550,1.003271,1.002482,1.002991,0.997635,1.002144,1.001920
2017-04-07,1.003069,1.003791,1.003002,1.004361,0.997635,1.002560,1.003016
2017-04-10,0.993920,0.994138,0.993356,0.995283,0.997635,0.994838,0.995753
2017-04-11,0.998338,0.996348,0.995273,0.997224,0.997635,0.996605,0.997307
2017-04-12,0.997169,0.995765,0.994570,0.997601,0.997635,0.996139,0.997608
2017-04-13,1.001176,0.997765,0.996647,0.999867,0.997635,0.997739,0.999421
2017-04-14,0.990718,0.992554,0.991553,0.995499,0.997635,0.993570,0.995926
2017-04-17,0.986364,0.989878,0.987759,0.991832,0.997635,0.991429,0.992992
2017-04-18,0.979779,0.983269,0.981164,0.985572,0.997635,0.986142,0.987985
2017-04-19,0.972048,0.975511,0.973423,0.978533,0.997635,0.979936,0.982353
2017-04-20,0.973577,0.977045,0.974954,0.979730,0.985952,0.978826,0.980975
2017-04-21,0.971976,0.975438,0.973350,0.977963,0.985952,0.977541,0.979560
2017-04-24,0.954739,0.958140,0.956089,0.961634,0.985952,0.963702,0.966498
2017-04-25,0.958866,0.962282,0.960222,0.965426,0.985952,0.967016,0.969531
2017-04-26,0.960728,0.964150,0.962086,0.966635,0.985952,0.968510,0.970498
2017-04-27,0.963104,0.966534,0.964466,0.969065,0.985952,0.970418,0.972442
2017-04-28,0.961057,0.964481,0.962416,0.967581,0.985952,0.968775,0.971255
2017-05-02,0.957344,0.960754,0.958697,0.963369,0.985952,0.965793,0.967885
2017-05-03,0.954309,0.957709,0.955659,0.960634,0.985952,0.963358,0.965698
2017-05-04,0.949655,0.953038,0.950998,0.954889,0.985952,0.959621,0.961101
2017-05-05,0.940255,0.943605,0.941585,0.946489,0.985952,0.952074,0.954381
2017-05-08,0.930491,0.933805,0.931807,0.937364,0.985952,0.944235,0.947081
2017-05-09,0.932708,0.936030,0.934027,0.939470,0.985952,0.946015,0.948767
2017-05-10,0.920966,0.924247,0.922269,0.928347,0.985952,0.936588,0.939868
2017-05-11,0.922052,0.925336,0.923356,0.929505,0.985952,0.937459,0.940795
2017-05-12,0.924648,0.927942,0.925955,0.932134,0.985952,0.939544,0.942897
2017-05-15,0.928271,0.931578,0.929584,0.935796,0.985952,0.942452,0.945827
2017-05-16,0.943949,0.947312,0.945284,0.950179,0.985952,0.955040,0.957333
2017-05-17,0.941326,0.944679,0.942657,0.948211,0.985952,0.952933,0.955759
2017-05-18,0.935542,0.938875,0.936865,0.943828,0.985952,0.948290,0.952253
2017-05-19,0.935732,0.939066,0.937056,0.943747,0.985952,0.948443,0.952188
2017-05-22,0.930282,0.933596,0.931597,0.939051,0.985952,0.944067,0.948431
2017-05-23,0.926127,0.929426,0.927437,0.935775,0.985952,0.940731,0.945810
2017-05-24,0.928439,0.931746,0.929752,0.936740,0.985952,0.942587,0.946583
2017-05-25,0.942534,0.945892,0.943867,0.949877,0.985952,0.953904,0.957092
2017-05-26,0.940652,0.944002,0.941982,0.948325,0.985952,0.952392,0.955850
2017-05-31,0.941669,0.945023,0.943001,0.948773,0.985952,0.953209,0.956208
2017-06-01,0.932395,0.935716,0.933713,0.940486,0.985952,0.945763,0.949579
2017-06-02,0.934252,0.937580,0.935573,0.941943,0.985952,0.947254,0.950745
2017-06-05,0.934606,0.937936,0.935928,0.943489,0.985952,0.947539,0.951982
2017-06-06,0.939194,0.942539,0.940522,0.948237,0.985952,0.951222,0.955780
2017-06-07,0.955182,0.958585,0.956533,0.962683,0.985952,0.964058,0.967337
2017-06-08,0.956981,0.960390,0.958334,0.963691,0.985952,0.965502,0.968143
2017-06-09,0.958679,0.962094,0.960035,0.964284,0.985952,0.966866,0.968617
2017-06-12,0.955135,0.958537,0.956486,0.960729,0.985952,0.964020,0.965773
2017-06-13,0.965998,0.969439,0.967364,0.970700,0.985952,0.972742,0.973750
2017-06-14,0.960818,0.964241,0.962177,0.966284,0.985952,0.968583,0.970217
2017-06-15,0.963465,0.966897,0.964828,0.967840,0.985952,0.970708,0.971462
2017-06-16,0.961296,0.964720,0.962655,0.965741,0.985952,0.968966,0.969783
2017-06-19,0.968114,0.971563,0.969483,0.971813,0.985952,0.974440,0.974641
2017-06-20,0.969618,0.973072,0.970989,0.972808,0.985952,0.975648,0.975437
2017-06-21,0.975070,0.978544,0.976449,0.977795,0.985952,0.980025,0.979426
2017-06-22,0.969497,0.972951,0.970868,0.973313,0.985952,0.975551,0.975841
2017-06-23,0.976034,0.979511,0.977414,0.979348,0.985952,0.980799,0.980669
2017-06-26,0.991709,0.995242,0.993111,0.993476,0.985952,0.993384,0.991971
2017-06-27,0.991623,0.995156,0.993025,0.992930,0.985952,0.993315,0.991534
2017-06-28,0.984205,0.987711,0.985597,0.986099,0.985952,0.987359,0.986070
2017-06-29,0.986640,0.990155,0.988035,0.988042,0.985952,0.989314,0.987624
2017-06-30,0.988649,0.992171,0.990048,0.988915,0.985952,0.990927,0.988322
2017-07-03,0.989553,0.993078,0.990952,0.989477,0.973095,0.989081,0.986200
2017-07-04,0.980531,0.984024,0.981917,0.980697,0.973095,0.981838,0.979176
2017-07-05,0.991615,0.995148,0.993017,0.990650,0.973095,0.990737,0.987139
2017-07-06,0.993950,0.997491,0.995356,0.992971,0.973095,0.992612,0.988996
2017-07-07,0.998843,1.002401,1.000255,0.997092,0.973095,0.996540,0.992293
2017-07-10,0.996836,1.000387,0.998246,0.994274,0.973095,0.994929,0.990038
2017-07-11,0.992376,0.995911,0.993779,0.990579,0.962285,0.989186,0.984920
2017-07-12,0.993907,0.997448,0.995313,0.992283,0.962285,0.990415,0.986284
2017-07-13,0.999877,1.003439,1.001291,0.997953,0.962285,0.995208,0.990819
2017-07-14,0.999130,1.002689,1.000543,0.996955,0.962285,0.994608,0.990021
2017-07-17,0.971046,0.974505,0.972419,0.972364,0.964732,0.972550,0.970838
2017-07-18,0.975624,0.979099,0.977003,0.976959,0.952929,0.973865,0.972153
2017-07-19,0.997707,1.001261,0.999118,0.996898,0.952929,0.991594,0.988104
2017-07-20,1.005377,1.008959,1.006799,1.003775,0.952929,0.997753,0.993606
2017-07-21,1.004531,1.008109,1.005951,1.003589,0.957658,0.998019,0.994403
2017-07-24,1.005300,1.008881,1.006721,1.004390,0.957658,0.998636,0.995044
2017-07-25,1.001144,1.004711,1.002560,1.000862,0.957658,0.995300,0.992221
2017-07-26,1.000295,1.003858,1.001709,0.999266,0.957658,0.994618,0.990945
2017-07-27,1.006716,1.010302,1.008140,1.006100,0.957658,0.999773,0.996411
