,leg1_defense,leg2_module_e,combo_5050
1986-10,1.087987,1000000.0,1.0
1986-11,1.090768,1000000.0,1.0012780483590338
1986-12,1.078802,1000000.0,0.995785912026347
1987-01,1.160654,1000000.0,1.033562570055893
1987-02,1.202619,1000000.0,1.0522474896152085
1987-03,1.234356,1000000.0,1.0661318447509238
1987-04,1.21217,1000000.0,1.0565506537867109
1987-05,1.209576,1000000.0,1.0554201636756197
1987-06,1.256156,1000000.0,1.0757419422261243
1987-07,1.316733,1000000.0,1.1016802889100679
1987-08,1.362764,1000000.0,1.1209368296737685
1987-09,1.306238,1000000.0,1.0976891964687017
1987-10,1.262438,945108.0428415178,1.0491585098593526
1987-11,1.262438,907118.5764252096,1.0280725756756512
1987-12,1.262438,936781.8379315884,1.0448818365883659
1988-01,1.262438,967708.1862926962,1.062129384718609
1988-02,1.262438,986711.767007315,1.0725582835218703
1988-03,1.262438,970925.5496496254,1.0639784536472252
1988-04,1.262438,975238.8708957528,1.0663418072901458
1988-05,1.262438,976706.154315414,1.0671439828905152
1988-06,1.266119,996850.3178671384,1.0797044683595707
1988-07,1.260061,994233.9915194912,1.075704544810562
1988-08,1.182679,975672.3545424216,1.0326330138164306
1988-09,1.207968,994039.5621701104,1.0533930625753394
1988-10,1.239332,1006520.0490026448,1.073681194909785
1988-11,1.206122,1005672.4846581734,1.05884358235361
1988-12,1.2068,1016575.1969221756,1.0648807631837862
1989-01,1.278646,1064990.824724497,1.1219373510936061
1989-02,1.241637,1047801.5107337678,1.096646505561464
1989-03,1.267471,1064101.4078119944,1.1165850120469214
1989-04,1.330958,1104159.5454176546,1.165566551957481
1989-05,1.377725,1140475.5282050637,1.2052121366621733
1989-06,1.366807,1137880.3761568572,1.1990654593184045
1989-07,1.487592,1214091.019369318,1.2922005698448098
1989-08,1.510674,1228655.1995566385,1.3099762781995727
1989-09,1.500788,1222417.2626477203,1.3023645672508168
1989-10,1.452529,1198577.6616842672,1.2687259295104332
1989-11,1.478059,1213846.9380612604,1.2879571109716568
1989-12,1.498911,1233943.7934328592,1.3077040856695756
1990-01,1.42665,1169067.9753912715,1.2418056134515356
1990-02,1.42665,1177765.751284041,1.2464250826165213
1990-03,1.41541,1202682.5805344295,1.2546997358653527
1990-04,1.407731,1174391.8315049603,1.2365390099112488
1990-05,1.416353,1262194.432890096,1.2865502521862693
1990-06,1.396274,1252258.5706950584,1.2723670354737215
1990-07,1.39139,1246470.44402551,1.2672012058663664
1990-08,1.375534,1140252.10499495,1.20598836265469
1990-09,1.375534,1086110.0541615053,1.1773566754386062
1990-10,1.375534,1079172.26352802,1.1735963501917162
1990-11,1.375534,1140834.364270593,1.2071250178670963
1990-12,1.375534,1168477.7922339982,1.2217498724995075
1991-01,1.390595,1214876.6296458333,1.2526955693278723
1991-02,1.468601,1269970.393553636,1.3162352191505493
1991-03,1.499454,1297552.4852675125,1.344354687828444
1991-04,1.501122,1297958.5857345215,1.3453127953845723
1991-05,1.558973,1346997.179462807,1.3966498175901874
1991-06,1.484309,1283812.2019689505,1.330447852857478
1991-07,1.550894,1340160.9139460742,1.3894871196340899
1991-08,1.579711,1365949.326410066,1.4157648701369328
1991-09,1.552472,1340330.0880470306,1.390282053836791
1991-10,1.570844,1355864.1538763691,1.4065648713542354
1991-11,1.517877,1297552.4852675125,1.3526049426834907
1991-12,1.609385,1435602.5458299117,1.4653306970490023
1992-01,1.57732,1410579.7970144905,1.4379627914271411
1992-02,1.592445,1423846.3308618392,1.4516191755763943
1992-03,1.557679,1393353.6803329117,1.4202297062428806
1992-04,1.573634,1432262.7726073589,1.4473330728519438
1992-05,1.575151,1433632.3099336815,1.4487226689439296
1992-06,1.521316,1408946.052200785,1.411492630020641
1992-07,1.580044,1463967.974443286,1.4662975365839335
1992-08,1.542982,1429112.742716716,1.4316452248379599
1992-09,1.523382,1442020.7913630349,1.4290178235940119
1992-10,1.523677,1445033.8361743456,1.4306491246881217
1992-11,1.569786,1488414.6388986015,1.4737705180068137
1992-12,1.585653,1503342.773386822,1.4886093981445578
1993-01,1.596826,1513854.157834326,1.4990581828589318
1993-02,1.613566,1529604.098309541,1.5147137209083477
1993-03,1.643736,1557988.2217614097,1.542928469911972
1993-04,1.601957,1518681.8631130396,1.5038568786839792
1993-05,1.638349,1552920.8187161144,1.537890959791011
1993-06,1.639587,1554084.9306679391,1.539048427375843
1993-07,1.630853,1545867.6022210012,1.5308802984498662
1993-08,1.687006,1598698.2856391857,1.58339492764559
1993-09,1.670156,1582845.632476722,1.5676369142743727
1993-10,1.702546,1613318.2820656584,1.5979277446472904
1993-11,1.669787,1592638.0281134814,1.5723132486804592
1993-12,1.675097,1608593.3939631942,1.5826891372335299
1994-01,1.692786,1660499.5587071355,1.616580866894182
1994-02,1.669203,1610955.8902589264,1.5812035498088175
1994-03,1.660469,1537787.1037988395,1.5411580503669338
1994-04,1.660469,1555476.059699713,1.5500219160873163
1994-05,1.660469,1574713.5921719307,1.5596069549432454
1994-06,1.657049,1532624.9718466715,1.5371583990355728
1994-07,1.657049,1580770.5272701045,1.5613023828068247
1994-08,1.664419,1640066.1490787463,1.5940571385281044
1994-09,1.638799,1596084.7890472296,1.560414897784826
1994-10,1.62793,1629260.140804607,1.571457299450467
1994-11,1.609657,1565043.206716777,1.5316684197287151
1994-12,1.606929,1584246.2913683504,1.5397672940802951
1995-01,1.620685,1622618.22289854,1.5650051318491218
1995-02,1.659566,1681019.1465850198,1.6119414015528166
1995-03,1.70492,1726858.7985021498,1.6559456258937266
1995-04,1.752591,1775038.8017462268,1.702197193174064
1995-05,1.81623,1839358.9742721464,1.7639421035455003
1995-06,1.854877,1878419.0220244753,1.8014385539273245
1995-07,1.913817,1937990.0163505853,1.8586243743227544
1995-08,1.913205,1937370.5857220476,1.8580301673849626
1995-09,1.989919,2014905.6984188124,1.9324609145996816
1995-10,1.980011,2004891.2548525888,1.9228476202097493
1995-11,2.061288,2087037.9645142723,2.001705438993776
1995-12,2.097245,2123379.3650556267,2.0365920180085912
1996-01,2.165652,2192517.611422644,2.1029625465268067
1996-02,2.180668,2208174.30380885,2.1177618027074967
1996-03,2.192548,2225622.3350128997,2.131897265761485
1996-04,2.221933,2255459.398883078,2.160473623654535
1996-05,2.272604,2306908.689349222,2.209749620478617
1996-06,2.277722,2312105.2691220343,2.2147267039651184
1996-07,2.151243,2206592.486634658,2.1027017694075436
1996-08,2.163255,2248101.932355795,2.128349798053774
1996-09,2.2137,2369941.434322413,2.2108399915635135
1996-10,2.27148,2431792.0087908534,2.2685418446641297
1996-11,2.438152,2610207.1031697867,2.4349889487337495
1996-12,2.385719,2554079.5096723232,2.3826265314424098
1997-01,2.532004,2710671.017645368,2.5287140540385056
1997-02,2.547013,2726737.1130652325,2.543702623089805
1997-03,2.438474,2610551.7824664176,2.4353105107073474
1997-04,2.417053,2763006.297172212,2.4957241752807935
1997-05,2.526997,2924838.277186335,2.625573927600914
1997-06,2.632446,3051918.0407671104,2.7373937767222105
1997-07,2.820064,3290390.872247395,2.941890823118287
1997-08,2.668919,3101322.4941379903,2.7785319402898248
1997-09,2.785294,3266154.109911251,2.9129470505984822
1997-10,2.637598,3153554.243619693,2.7855029469769357
1997-11,2.693211,3294148.8866298883,2.8769616352833727
1997-12,2.726665,3345966.726357945,2.9174575606298383
1998-01,2.689991,3379926.0541528896,2.912642591176418
1998-02,2.862493,3618019.485894576,3.108620821134236
1998-03,3.005463,3798710.1369974175,3.2638775331187944
1998-04,3.032742,3833186.483737308,3.2935009347850044
1998-05,2.975647,3761027.3048350266,3.2314990467677416
1998-06,3.021813,3909344.61584665,3.3202843666675803
1998-07,3.010052,3863939.5365366735,3.2945413164575466
1998-08,3.001366,3300630.4566511414,3.049638508872993
1998-09,3.001366,3506678.437136592,3.1448281800913653
1998-10,3.001366,3788378.9289696286,3.27114424541407
1998-11,3.036074,3981802.07381829,3.373565467247571
1998-12,3.069699,4208100.600048769,3.4881121018040075
1999-01,3.091725,4381998.781262983,3.572698683895754
1999-02,3.036321,4239492.548680415,3.482593575990465
1999-03,3.060118,4405215.019501409,3.5643084763291335
1999-04,3.101048,4573593.806632494,3.656263900939246
1999-05,3.022,4458581.374285485,3.5636913279561617
1999-06,3.167905,4703059.749555167,3.7474248471995217
1999-07,3.078599,4551308.626631483,3.634145182312996
1999-08,3.029731,4522642.055165169,3.593857070661819
1999-09,3.012326,4392589.094972955,3.531861770005455
1999-10,3.012326,4669322.258462009,3.643115436065207
1999-11,3.012326,4758944.72004163,3.6780782160068957
1999-12,3.012326,5036091.406456574,3.7851783453326653
2000-01,3.012326,4778090.157745868,3.688220142942165
2000-02,3.012326,4681361.586823697,3.650887625985069
2000-03,3.012326,5137270.191513977,3.828664011399168
2000-04,2.940042,4978068.076074319,3.7234031120137483
2000-05,2.875853,4868264.685064634,3.64169282243034
2000-06,2.89086,4985553.599017914,3.6950633394767243
2000-07,2.860471,4903554.782092368,3.645255029386285
2000-08,2.939798,5203159.300646422,3.8071619476225056
2000-09,2.789863,4923149.115355667,3.607633881704376
2000-10,2.788884,4898621.984176005,3.59801428153242
2000-11,2.788884,4503806.54910396,3.453019262673295
2000-12,2.788884,4522193.580708884,3.4600678307704094
2001-01,2.788884,4679947.102599601,3.5204188392514797
2001-02,2.788884,4245046.473191164,3.3568451561086365
2001-03,2.788884,3970454.8301751423,3.2482760706360194
2001-04,2.788884,4278002.129815887,3.3740801128353466
2001-05,2.788884,4303637.6552361855,3.384189541708684
2001-06,2.788884,4195152.649619183,3.3415356462309154
2001-07,2.788884,4149777.868095585,3.323464617288166
