,cn_10y
2002-01-31,3.2186
2002-02-28,3.1315
2002-03-31,2.8551
2002-04-30,2.5022
2002-05-31,2.381
2002-06-30,2.5798
2002-07-31,2.869
2002-08-31,3.0595
2002-09-30,3.1397
2002-10-31,2.9978
2002-11-30,3.5248
2002-12-31,3.1776
2003-01-31,3.0984
2003-02-28,3.1225
2003-03-31,2.9228
2003-04-30,2.834
2003-05-31,2.8717
2003-06-30,3.0821
2003-07-31,2.9294
2003-08-31,2.831
2003-09-30,3.2369
2003-10-31,3.3235
2003-11-30,3.933
2003-12-31,3.3602
2004-01-31,3.8706
2004-02-29,3.8105
2004-03-31,3.9169
2004-04-30,4.2841
2004-05-31,4.6123
2004-06-30,4.348
2004-07-31,4.6018
2004-08-31,5.1676
2004-09-30,5.1266
2004-10-31,4.8246
2004-11-30,5.3419
2004-12-31,4.7332
2005-01-31,4.8982
2005-02-28,4.8334
2005-03-31,4.1203
2005-04-30,4.0441
2005-05-31,3.8469
2005-06-30,3.653
2005-07-31,3.3874
2005-08-31,3.5608
2005-09-30,3.2404
2005-10-31,3.0613
2005-11-30,3.3255
2005-12-31,3.1216
2006-01-31,2.9795
2006-02-28,2.9266
2006-03-31,2.94
2006-04-30,3.0
2006-05-31,3.02
2006-06-30,3.165
2006-07-31,3.26
2006-08-31,3.238
2006-09-30,2.999
2006-10-31,2.9512
2006-11-30,2.9781
2006-12-31,3.0269
2007-01-31,3.0671
2007-02-28,3.1466
2007-03-31,3.4338
2007-04-30,3.5916
2007-05-31,4.06
2007-06-30,4.45
2007-07-31,4.3401
2007-08-31,4.2743
2007-09-30,4.3877
2007-10-31,4.4937
2007-11-30,4.5086
2007-12-31,4.4253
2008-01-31,4.1937
2008-02-29,4.1283
2008-03-31,4.046
2008-04-30,4.0725
2008-05-31,4.1589
2008-06-30,4.5285
2008-07-31,4.4401
2008-08-31,4.2234
2008-09-30,3.7155
2008-10-31,3.0751
2008-11-30,2.9905
2008-12-31,2.7521
2009-01-31,3.0368
2009-02-28,3.1508
2009-03-31,3.1612
2009-04-30,3.1072
2009-05-31,3.0409
2009-06-30,3.2403
2009-07-31,3.503
2009-08-31,3.4805
