日期,指数,静态市盈率,滚动市盈率,等权静态市盈率,等权滚动市盈率
2009-10-30,0.0,119.71,86.4,115.9,94.62
2009-11-30,0.0,116.7,84.23,115.75,92.61
2009-12-31,0.0,105.57,76.2,105.51,84.87
2010-01-29,0.0,94.49,66.57,92.08,74.38
2010-02-26,0.0,101.76,72.13,101.24,75.07
2010-03-31,0.0,104.87,95.35,103.99,97.25
2010-04-30,0.0,92.47,87.18,93.4,89.24
2010-05-31,0.0,88.28,82.99,87.95,83.82
2010-06-30,938.31,75.82,71.28,76.66,73.59
2010-07-30,982.94,78.65,73.13,80.37,77.96
2010-08-31,1015.14,84.44,76.77,87.95,81.69
2010-09-30,929.6,78.54,71.44,81.22,75.09
2010-10-29,1059.13,90.77,73.66,93.5,78.02
2010-11-30,1155.33,101.74,82.59,104.6,86.77
2010-12-31,1103.36,97.87,78.44,103.67,83.57
2011-01-31,1006.37,87.21,69.31,91.13,72.55
2011-02-28,1075.72,86.71,67.87,91.4,72.72
2011-03-31,985.75,66.04,62.26,72.34,66.41
2011-04-29,900.85,56.83,52.85,60.79,57.51
2011-05-31,838.0,52.44,48.78,56.32,53.07
2011-06-30,833.54,52.47,48.81,55.99,52.7
2011-07-29,900.42,57.23,51.44,61.85,56.26
2011-08-31,913.05,59.97,52.29,64.86,58.19
2011-09-30,778.57,51.21,44.7,55.0,49.5
2011-10-31,838.27,57.56,48.45,64.02,56.3
2011-11-30,820.29,56.14,47.45,62.08,54.85
2011-12-30,707.34,49.38,41.74,54.99,48.38
2012-01-31,639.81,43.4,36.65,47.63,41.68
2012-02-29,720.65,46.54,38.36,52.98,45.3
2012-03-30,656.25,36.24,35.85,41.6,41.38
2012-04-27,657.19,36.36,35.31,42.26,45.92
2012-05-31,703.33,39.7,38.53,47.0,50.23
2012-06-29,687.65,40.44,39.26,48.31,46.01
2012-07-31,635.48,37.42,34.95,43.73,45.37
2012-08-31,650.55,39.82,36.27,47.45,47.31
2012-09-28,632.33,38.82,35.4,46.11,46.47
2012-10-31,634.14,39.34,34.2,46.3,41.27
2012-11-30,555.53,34.06,29.61,39.66,35.33
2012-12-31,654.13,41.09,35.72,48.57,43.21
2013-01-31,710.29,45.07,39.16,53.72,48.11
2013-02-28,801.85,50.06,40.28,59.7,51.88
2013-03-29,807.79,44.27,41.3,54.44,51.27
2013-04-26,838.32,44.25,41.65,53.98,49.25
2013-05-31,1013.78,53.78,50.49,67.27,60.95
2013-06-28,981.98,53.25,49.53,68.55,61.49
2013-07-31,1109.1,60.22,54.56,76.85,71.84
2013-08-30,1167.84,63.51,54.23,75.84,65.31
2013-09-30,1371.86,77.71,66.08,82.7,71.25
2013-10-31,1224.8,69.92,55.63,80.05,65.42
2013-11-29,1363.26,78.1,62.35,85.11,73.1
2013-12-31,1284.72,73.04,58.6,92.64,65.0
2014-01-30,1485.1,84.5,68.85,99.86,78.39
2014-02-28,1380.98,78.07,59.61,97.36,68.48
2014-03-31,1272.42,58.22,54.47,72.14,67.59
2014-04-30,1243.91,54.4,49.99,64.27,61.35
2014-05-30,1277.72,55.73,51.64,66.24,64.45
2014-06-30,1369.06,59.97,55.72,68.35,61.27
