日期,指数,静态市盈率,滚动市盈率,等权静态市盈率,等权滚动市盈率
2005-04-29,932.4,14.48,13.99,33.66,31.53
2005-05-31,855.95,13.17,12.58,32.25,31.23
2005-06-30,878.69,13.35,12.76,31.92,30.95
2005-07-29,888.16,13.6,12.94,29.16,28.18
2005-08-31,927.92,14.13,12.88,32.31,28.53
2005-09-30,917.39,13.86,12.63,32.44,26.51
2005-10-31,876.28,12.99,11.78,30.21,25.42
2005-11-30,873.83,12.94,11.85,30.08,25.37
2005-12-30,923.45,13.74,12.61,31.68,26.22
2006-01-25,1009.6,15.01,13.56,36.51,28.98
2006-02-28,1053.01,15.55,14.08,37.04,29.36
2006-03-31,1061.09,14.88,14.03,34.81,29.94
2006-04-28,1172.35,15.79,15.8,38.27,34.6
2006-05-31,1365.45,17.44,17.7,41.29,36.16
2006-06-30,1393.96,17.57,17.79,41.04,36.45
2006-07-31,1294.33,18.48,18.52,38.72,32.44
2006-08-31,1338.69,18.84,18.61,39.48,32.2
2006-09-29,1403.27,19.9,19.39,40.94,33.23
2006-10-31,1464.47,20.49,18.3,39.83,32.51
2006-11-30,1714.36,25.5,23.21,42.73,34.58
2006-12-29,2041.05,33.65,30.66,46.0,39.97
2007-01-31,2385.34,33.51,34.95,53.19,44.96
2007-02-28,2544.57,33.85,35.15,55.26,50.42
2007-03-30,2781.78,35.58,36.37,54.48,53.82
2007-04-30,3558.71,37.38,34.88,60.57,59.22
2007-05-31,3927.95,40.57,39.27,66.11,63.88
2007-06-29,3764.08,38.5,37.29,61.92,59.1
2007-07-31,4460.56,45.64,43.81,69.84,68.18
2007-08-31,5296.81,54.15,42.64,79.12,65.81
2007-09-28,5580.81,58.09,45.73,84.86,70.37
2007-10-31,5688.54,65.32,47.84,81.83,60.67
2007-11-30,4737.41,51.64,40.32,70.22,53.69
2007-12-28,5338.28,55.29,43.17,81.51,62.22
2008-01-31,4620.4,43.59,35.92,73.71,55.19
2008-02-29,4674.55,42.2,35.24,70.83,56.56
2008-03-31,3790.53,27.84,26.89,50.76,44.21
2008-04-30,3959.12,28.39,27.41,43.7,41.85
2008-05-30,3611.33,26.2,25.3,41.86,39.95
2008-06-30,2791.82,20.89,20.19,32.12,30.7
2008-07-31,2805.21,21.11,20.38,31.73,29.93
2008-08-29,2391.64,18.61,16.98,24.75,24.55
2008-09-26,2243.66,17.65,16.15,23.81,23.95
2008-10-31,1663.66,13.36,12.07,18.54,17.83
2008-11-28,1829.92,14.39,12.96,20.13,20.31
2008-12-31,1817.72,13.81,12.42,20.67,20.62
2009-01-23,2032.68,15.09,13.65,24.4,23.06
2009-02-27,2140.49,15.74,14.26,26.23,25.84
2009-03-31,2507.79,17.97,17.09,33.56,37.51
2009-04-30,2622.93,19.09,19.13,43.17,43.44
2009-05-27,2759.71,20.27,20.33,44.94,47.01
2009-06-30,3166.47,23.39,23.42,47.85,48.92
2009-07-31,3734.62,27.15,26.96,51.42,54.28
2009-08-31,2830.27,20.96,19.88,46.85,44.02
2009-09-30,3004.81,22.09,20.96,47.9,45.69
2009-10-30,3280.37,23.73,22.01,51.79,45.5
2009-11-30,3511.67,25.07,23.21,53.22,48.77
2009-12-31,3575.68,25.89,23.99,54.18,49.4
2010-01-29,3204.16,23.42,21.6,49.34,47.11
2010-02-26,3281.67,23.57,21.76,50.75,45.64
2010-03-31,3345.61,21.8,21.38,48.73,46.9
2010-04-30,3067.37,18.97,17.14,43.41,35.86
2010-05-31,2773.26,17.23,15.56,38.97,33.4
2010-06-30,2563.07,16.07,14.51,35.18,30.11
2010-07-30,2868.85,17.51,15.89,39.17,33.14
2010-08-31,2903.19,17.28,14.7,40.46,33.27
2010-09-30,2935.57,17.32,14.7,42.54,34.65
2010-10-29,3379.98,19.7,16.02,48.36,37.9
2010-11-30,3136.99,18.5,14.82,46.31,35.39
2010-12-31,3128.26,18.7,14.99,45.12,35.25
2011-01-31,3076.51,18.95,15.03,45.67,34.21
2011-02-28,3239.56,19.5,15.45,48.67,36.97
2011-03-31,3223.29,15.57,15.02,39.51,36.22
2011-04-29,3192.72,15.02,14.16,35.33,35.27
2011-05-31,3001.56,14.2,13.35,33.25,33.02
2011-06-30,3044.09,14.28,13.43,34.25,32.96
2011-07-29,2972.08,14.03,13.18,34.8,34.26
