
=== 标普500(^GSPC) 防守版±背离离场 1986-01-29→2026-08-14 ===
  [全窗] 防守:年化+5.2%/回撤-16% | 防守+背离离场:年化+4.3%/回撤-17% | 防守+背离减半:年化+4.8%/回撤-16%
  [前半] 防守:年化+5.5%/回撤-16% | 防守+背离离场:年化+4.6%/回撤-16% | 防守+背离减半:年化+5.1%/回撤-16%
  [后半] 防守:年化+4.9%/回撤-15% | 防守+背离离场:年化+4.0%/回撤-17% | 防守+背离减半:年化+4.5%/回撤-16%
  [2000科网顶] 防守:年化-3.6%/回撤-10% | 防守+背离离场:年化-3.6%/回撤-10% | 防守+背离减半:年化-3.6%/回撤-10%
  [2008金融危机] 防守:年化-2.7%/回撤-15% | 防守+背离离场:年化-2.2%/回撤-14% | 防守+背离减半:年化-2.4%/回撤-14%
  [2022紧缩熊] 防守:年化-1.6%/回撤-14% | 防守+背离离场:年化-3.1%/回撤-15% | 防守+背离减半:年化-2.3%/回撤-14%

=== 纳指(^IXIC) 防守版±背离离场 1986-01-29→2026-08-14 ===
  [全窗] 防守:年化+6.0%/回撤-18% | 防守+背离离场:年化+4.9%/回撤-19% | 防守+背离减半:年化+5.5%/回撤-18%
  [前半] 防守:年化+6.5%/回撤-14% | 防守+背离离场:年化+5.4%/回撤-14% | 防守+背离减半:年化+5.9%/回撤-14%
  [后半] 防守:年化+5.5%/回撤-18% | 防守+背离离场:年化+4.5%/回撤-19% | 防守+背离减半:年化+5.0%/回撤-18%
  [2000科网顶] 防守:年化-1.8%/回撤-6% | 防守+背离离场:年化-1.8%/回撤-6% | 防守+背离减半:年化-1.8%/回撤-6%
  [2008金融危机] 防守:年化-0.1%/回撤-12% | 防守+背离离场:年化-0.3%/回撤-12% | 防守+背离减半:年化-0.2%/回撤-12%
  [2022紧缩熊] 防守:年化+0.9%/回撤-9% | 防守+背离离场:年化+0.4%/回撤-8% | 防守+背离减半:年化+0.7%/回撤-9%
