标的,变体,全窗超额,全窗回撤,持有回撤,前半超额,后半超额
沪深300,冠军,-3.4%,-59%,-72%,-7.2%,+0.6%
沪深300,冠军+闸,-3.1%,-26%,-72%,-3.5%,-2.6%
创业板指,冠军,+3.8%,-41%,-70%,+4.1%,+3.6%
创业板指,冠军+闸,-1.2%,-36%,-70%,-5.3%,+3.2%
沪深300ETF,冠军,+2.2%,-31%,-46%,-0.2%,+4.7%
沪深300ETF,冠军+闸,-1.1%,-22%,-46%,-3.1%,+1.0%
中证1000ETF,冠军,+3.5%,-47%,-51%,+4.1%,+2.6%
中证1000ETF,冠军+闸,-8.8%,-17%,-51%,+4.1%,-22.8%
科创50ETF,冠军,+4.8%,-40%,-60%,+14.1%,-8.1%
科创50ETF,冠军+闸,+6.1%,-30%,-60%,+17.2%,-9.0%
有色ETF,冠军,+2.2%,-50%,-53%,+7.5%,-2.8%
有色ETF,冠军+闸,-5.0%,-33%,-53%,+2.1%,-11.8%
证券ETF,冠军,+8.3%,-45%,-45%,+8.4%,+8.1%
证券ETF,冠军+闸,+3.5%,-24%,-45%,+2.8%,+4.1%
新能车ETF,冠军,+1.5%,-53%,-67%,+10.1%,-5.7%
新能车ETF,冠军+闸,+5.2%,-24%,-67%,+12.5%,-0.9%
光伏ETF,冠军,+6.2%,-52%,-67%,+15.5%,-2.5%
光伏ETF,冠军+闸,+4.8%,-41%,-67%,+13.8%,-3.6%
军工ETF,冠军,+3.0%,-45%,-51%,+0.2%,+5.5%
军工ETF,冠军+闸,-1.2%,-36%,-51%,-4.5%,+1.9%
红利ETF,冠军,-0.7%,-42%,-75%,-4.2%,+3.0%
红利ETF,冠军+闸,-3.0%,-37%,-75%,-1.7%,-4.3%
中证医药(指数),冠军,+2.8%,-42%,-62%,-4.1%,+9.2%
中证医药(指数),冠军+闸,-1.9%,-24%,-62%,-11.5%,+7.3%
证券公司(指数),冠军,+16.3%,-47%,-73%,+24.3%,+8.2%
证券公司(指数),冠军+闸,+10.3%,-44%,-73%,+14.7%,+5.8%
有色金属(指数),冠军,+4.8%,-51%,-61%,+7.2%,+1.5%
有色金属(指数),冠军+闸,-1.5%,-31%,-61%,+3.8%,-8.0%
新能车(指数),冠军,+11.1%,-55%,-68%,+17.0%,+5.7%
新能车(指数),冠军+闸,+10.1%,-41%,-68%,+9.0%,+11.2%
中证军工(指数),冠军,+0.1%,-49%,-71%,+0.9%,-0.7%
中证军工(指数),冠军+闸,-4.5%,-35%,-71%,-3.5%,-5.5%
中证白酒(指数),冠军,+6.4%,-57%,-72%,-2.2%,+11.7%
中证白酒(指数),冠军+闸,+6.0%,-32%,-72%,-8.0%,+15.4%
中证银行(指数),冠军,+4.7%,-30%,-37%,+5.6%,+3.8%
中证银行(指数),冠军+闸,+2.6%,-17%,-37%,+2.7%,+2.5%
上证红利(指数),冠军,-4.1%,-53%,-74%,-11.9%,+3.6%
上证红利(指数),冠军+闸,-6.0%,-38%,-74%,-8.8%,-3.4%
通信(指数),冠军,+1.5%,-56%,-59%,+0.7%,+2.2%
通信(指数),冠军+闸,-1.4%,-35%,-59%,-3.1%,+0.2%
房地产ETF,冠军,+10.8%,-46%,-64%,+4.8%,+18.0%
房地产ETF,冠军+闸,-3.0%,-55%,-64%,-0.8%,-5.2%
传媒ETF,冠军,+4.9%,-43%,-53%,+12.5%,-3.9%
传媒ETF,冠军+闸,+3.6%,-43%,-53%,+11.5%,-5.4%
计算机ETF,冠军,+4.7%,-52%,-61%,+14.0%,-3.4%
计算机ETF,冠军+闸,+3.1%,-25%,-61%,+11.2%,-4.2%
创新药ETF,冠军,+9.2%,-37%,-63%,+11.5%,+6.7%
创新药ETF,冠军+闸,+4.3%,-23%,-63%,+10.4%,-2.2%
食品饮料ETF,冠军,+11.0%,-48%,-60%,+4.5%,+18.2%
食品饮料ETF,冠军+闸,+11.7%,-27%,-60%,+7.6%,+16.1%
旅游ETF,冠军,+8.2%,-44%,-54%,+1.1%,+16.5%
旅游ETF,冠军+闸,+10.1%,-24%,-54%,+6.8%,+13.6%
红利ETF沪,冠军,+4.2%,-15%,-22%,+2.2%,+6.1%
红利ETF沪,冠军+闸,-3.5%,-26%,-22%,-7.0%,-0.0%
钢铁ETF,冠军,+4.4%,-41%,-60%,+4.6%,+4.2%
钢铁ETF,冠军+闸,+6.1%,-17%,-60%,+9.8%,+2.7%
