
=== 标普500: 现行 vs 40/80候选 ===
  [全窗1986→] | 现行: 年化+4.8%/回撤-22% | 40/80: 年化+5.1%/回撤-20%
  [2000科网] | 现行: 年化-5.5%/回撤-16% | 40/80: 年化-4.2%/回撤-12%
  [2008危机] | 现行: 年化+0.2%/回撤-10% | 40/80: 年化+2.7%/回撤-10%
  [2022紧缩] | 现行: 年化-0.4%/回撤-12% | 40/80: 年化-0.8%/回撤-13%
  [2023-26AI牛] | 现行: 年化+7.5%/回撤-8% | 40/80: 年化+7.0%/回撤-9%

=== 纳指: 现行 vs 40/80候选 ===
  [全窗1986→] | 现行: 年化+7.8%/回撤-18% | 40/80: 年化+7.1%/回撤-17%
  [2000科网] | 现行: 年化-3.6%/回撤-13% | 40/80: 年化-2.2%/回撤-8%
  [2008危机] | 现行: 年化+2.9%/回撤-13% | 40/80: 年化+4.9%/回撤-9%
  [2022紧缩] | 现行: 年化+5.1%/回撤-10% | 40/80: 年化+1.0%/回撤-12%
  [2023-26AI牛] | 现行: 年化+12.9%/回撤-10% | 40/80: 年化+9.7%/回撤-11%
