=== 美股个股 × 执行门（全历史→2026-08-14，年化/回撤）===
   股票        持有      H1非黑   H2非bear      H3双门      M200
 AAPL +19%/-82% +15%/-78% +15%/-94% +12%/-86% +18%/-92%
 MSFT +25%/-69%  +9%/-68% +26%/-67% +10%/-59% +15%/-69%
 NVDA +37%/-90% +34%/-75% +29%/-88% +27%/-64% +38%/-54%
GOOGL +25%/-65% +18%/-44% +24%/-60% +18%/-43% +14%/-35%
 AMZN +31%/-94% +19%/-94% +27%/-89% +14%/-92% +15%/-88%
 META +21%/-77%  +3%/-79% +25%/-52%  +6%/-54% +20%/-41%
 TSLA +40%/-74% +27%/-65% +33%/-77% +23%/-71% +17%/-71%
  JPM +13%/-74%  +5%/-77%  +9%/-85%  +3%/-87%  +4%/-86%
  XOM +12%/-62%  -1%/-92% +11%/-68%  -1%/-92%  +7%/-54%
  JNJ +14%/-51%  +3%/-72% +13%/-55%  +3%/-72%  +8%/-55%
   PG +10%/-54%  +2%/-50%  +9%/-54%  +1%/-57%  +4%/-65%
   KO +12%/-68%  +4%/-68% +12%/-65%  +4%/-58%  +8%/-67%

评估（回撤削减幅度 / 年化代价，均值）：
  H1非黑: 回撤减 -2% / 年化损失 +10.3%pp
  H2非bear: 回撤减 0% / 年化损失 +2.4%pp
  H3双门: 回撤减 1% / 年化损失 +11.9%pp
  M200: 回撤减 9% / 年化损失 +7.6%pp
