module,rr,exit_v,zone,n,exp_r,pf,e1,e2,e2020,e2022,passed
A·early,无,a6_1_costbasis,关,111,-0.7360912991695804,0.585191513570075,-0.37364360613515024,-0.8016403500375087,7.133364618936939,,False
A·early,无,a6_1_costbasis,低+中,2,7.133364618936939,23.184687116185508,,7.133364618936939,7.133364618936939,,False
A·early,无,a6_2_top_plus_keywave,关,111,-0.8623511645160026,0.5462160114043364,-0.4494437959004681,-0.9370259013932801,7.133364618936939,,False
A·early,无,a6_2_top_plus_keywave,低+中,2,7.133364618936939,23.184687116185508,,7.133364618936939,7.133364618936939,,False
A·early,无,a6_3_structure_stop,关,111,-2.435753943924551,0.0,-2.589572075019649,-2.407935771279693,-0.32154452220029633,,False
A·early,无,a6_3_structure_stop,低+中,2,-0.32154452220029633,0.0,,-0.32154452220029633,-0.32154452220029633,,False
A·early,无,b3_dual,关,111,-0.7841551191190643,0.5452229477201379,-0.37364360613515024,-0.8583965629565807,8.488873239426429,,False
A·early,无,b3_dual,低+中,2,8.488873239426429,27.400304322828877,,8.488873239426429,8.488873239426429,,False
A·early,2,a6_1_costbasis,关,19,-1.6371381814441517,0.12044214343903897,-2.097643890807577,-1.5507933609385094,,,False
A·early,2,a6_1_costbasis,低+中,0,,,,,,,False
A·early,2,a6_2_top_plus_keywave,关,19,-2.2954207425779805,0.0941166468362502,-2.5271782994777117,-2.251966200659281,,,False
A·early,2,a6_2_top_plus_keywave,低+中,0,,,,,,,False
A·early,2,a6_3_structure_stop,关,19,-2.9026618261563413,0.0,-2.5271782994777117,-2.973064987408584,,,False
A·early,2,a6_3_structure_stop,低+中,0,,,,,,,False
A·early,2,b3_dual,关,19,-0.9443151878079822,0.41976859858972393,-2.097643890807577,-0.728066055995558,,,False
A·early,2,b3_dual,低+中,0,,,,,,,False
A·early,3,a6_1_costbasis,关,10,-2.062039479920366,0.17120065596994627,-3.2959517366903,-1.92493811805704,,,False
A·early,3,a6_1_costbasis,低+中,0,,,,,,,False
A·early,3,a6_2_top_plus_keywave,关,10,-2.2902638161367292,0.15681584018821454,-3.2959517366903,-2.178520713852999,,,False
A·early,3,a6_2_top_plus_keywave,低+中,0,,,,,,,False
A·early,3,a6_3_structure_stop,关,10,-3.270391893379684,0.0,-3.2959517366903,-3.267551910789616,,,False
